citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.4171673
aaheim_lostbenefitscarbonuptake_2018,1.1703496
aapro_digitalhealthoptimalsupportive_2020,1.5471823
abad_detectinglandslidedammedlakes_2022,1.5041828
abaduribarren_deeplearningassistedresolution_2022,1.0294123
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.3023016
abapour_bayesiangametheoreticbased_2020,1.7674297
abate_hydrologicalmodelingkobogolina_2023,1.1647444
abay_urbanisationimprovehouseholdwelfare_2023,1.5361145
abbafati_globalburden369diseases_2020,1.3767068
abbas_characterizingclassifyingurbantree_2021,1.1924294
abbas_monitoringscaleforestrestoration_2023,0.857041
abbas_predictingwaterqualityvariability_2023,1.0196438
abbasnezhad_incorporatingsocialpolicydrivers_2023,0.6767164
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.8643749
abbes_predictionnonstationarymultitemporal_2016,1.3120172
abbott_inboundarrivalsweathersurveillance_2023,0.9646094
abburu_engineeringevaluationglimpsesatellite_2015,1.6799093
abcede_insarbaseddetectionmapping_2022,1.722228
abdallah_spatialdistributionblockfalls_2010,1.2963278
abdelaal_integratedstudiesidentifysite_2021,1.4630363
abdelfattah_webbasedgisenabled_2015,1.1276876
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.8786522
abdelhaleem_applicationremotesensinggeographic_2021,1.283445
abdelhamid_evaluationecosystemservicesresult_2022,0.84335434
abdelhamid_geospatialanalysislanddriving_2021,1.1371012
abdelhamid_impactassessmentlanddynamics_2023,1.1320331
abdelhamid_pastfuturelandland_2022,1.0144308
abdelrahman_mappingsoilslandrelated_2022,1.2894964
abdelsamie_integrationruslemodelremote_2023,1.0984647
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.1968036
abdi_soilerosiondegradationassessment_2023,1.1172264
abdo_evolvingtotalevaluationmap_2020,1.2846925
abdo_modelingurbandynamicscarbon_2021,0.98995525
abdollahi_explainableartificialintelligencexai_2023,1.2670271
abdollahi_remotesensingcapabilitiesobservational_2023,1.3687665
abdollahnejad_predictiondominantforesttree_2017,1.238925
abdrabo_integratedmethodologyurbanflood_2020,1.4387391
abdul_quantifyinglandscapestructurekelantan_2021,1.0460815
abdulaziz_distributionfecalcontaminationurbanized_2023,1.455186
abdulhammed_satelliteimagesmatchingmosaic_2023,1.4363178
abdulkadirov_satelliteimagerecognitionensemble_2024,1.8071449
abdulkalam_internationalpartnershiplunarmissions_2005,1.5855448
abdulkareem_termhydrologicimpactassessment_2018,1.2854983
abdulkareem_termrunoffdynamicsassessment_2019,1.3020762
abdullah_monitoringdrasticgrowthship_2013,0.87036484
abdullah_precisionagriculturepracticesplanting_2023,1.0913641
abdullah_urbangreenbluespace_2022,0.9723518
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,0.83077544
abdullahi_gisbasedsustainablecity_2015,1.1945672
abdullahi_spatialmodellingsitesuitability_2014,1.37484
abdulmajid_influencetechnologyadoptionfarmers_2024,1.4306501
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.314446
abebe_dynamicslandlandcover_2022,1.127842
abebe_rurallandmanagementoptions_2020,1.1538829
abedi_mineralpotentialmappingcentral_2015,1.6094451
abedigheshlaghi_gisdevelopmodelforest_2019,0.9552858
aben_callviewshedecologyadvancing_2018,1.120892
abera_anthropogenicthreatswetlandresources_2022,0.9533844
abera_estimatingwaterbudgetcomponents_2017,1.4349587
abichou_uncertaintiesopticalremotesensing_2010,1.4458078
abidin_mangrovepotentialassessmentdetermining_2023,1.0959275
abiodun_centersspacesciencetechnology_1993,1.2608413
abiodun_remotesensinginformationage_1998,1.3739045
ablat_modisndvitimeseries_2021,1.2182138
abouelmagd_earthobservationsegyptiancoastal_2019,1.1178052
abousamra_detectionfillingphasesgrand_2021,1.412406
abousamra_dynamicshumaninducedlakes_2022,1.0846658
aboushaara_trackingeffectsclimatechange_2022,1.2486869
abouzahr_estimatesmaternalmortalityinterpret_2011,1.5580485
abraham_classificationdetectionnaturaldisasters_2023,1.3206086
abraham_trialsimplantablemonitoringdevices_2014,1.9035432
abrahms_dynamicensemblemodelspredict_2019,1.0854636
abrahms_ontogeneticshiftssocialexperiential_2021,1.2243032
abreu_characterizingbraziliansanitarylandfill_2016,1.5895058
abrykosov_treatmentoceantidebackground_2022,1.7852767
abuelgasim_changedetectionadaptivefuzzy_1999,1.2633492
abuelmagd_understandingclimatechangeimpact_2024,1.1521547
abujahidandalsharif_contemporarysurveyfreespace_2022,1.764436
abunnasr_automatedlandsurfacetemperature_2023,1.2361951
abunnasr_perviouschangesurrogatediverse_2021,0.79742324
abunnasr_sebuautomatedgoogleearth_2022,1.4462761
abutaleb_estimatingurbangreennessindex_2021,1.135481
abutaleb_mappingeucalyptstreesresolution_2021,1.1255299
abutalip_digitaltwinatmosphericenvironment_2023,1.7449512
acevedo_spaceactivitiesbolivarianrepublic_2011,1.6178046
achard_pantropicalmonitoringdeforestation_2007,1.1831787
acharya_quantificationmappingsatellitedriven_2020,1.3380681
acheampong_optimisationmodelincentivisingdevelopment_2021,1.5306177
achmad_impactlandlandcover_2023,1.1820427
achu_machinelearningmodellingfire_2021,0.97119725
acierto_developmenthydrologicaltelemetrysystem_2018,1.3186228
aciltasman_impactmodernspatialinformation_2008,1.4854842
ackerman_economicenvironmentalbenefitsweather_1994,1.3745818
ackermann_digitalsurfacemodelsgnss_2014,1.357256
ackman_extentintraprotocolintersitevariability_2019,1.7222279
acunaalonso_modellingevaluationlandsatellite_2022,1.0825026
ad_analyzingdepletiongroundwaterlevel_2019,1.046572
adami_seasonalityvegetationtypessouth_2018,0.88057387
adamo_expertknowledgetranslatingland_2014,0.83629715
adamo_technologicallymediatedpracticessustainability_2022,1.1971755
adamowicz_economicanalysisspeciesrisk_2016,0.9765411
adams_benefitsmexicanagricultureel_2002,1.488202
adams_emergingroleremotesensing_2006,1.4552052
adams_energyoptimizationextrasolarplanetary_2021,1.8630419
adams_improvedrangeweatherinformation_1995,1.468465
adams_mappingfloristicgradientsforest_2019,1.030126
adan_earthobservationsatellitedata_2021,0.9970406
adar_testingpasturequalityindex_2023,1.3450273
addas_proposedplanningconceptpublic_2020,1.4342191
addona_raspberrypivideocamera_2022,1.3806256
ade_genuslevelmappinginvasive_2022,1.1643786
adebola_roadmapintegratedspaceapplications_2021,1.4900799
adedeji_hybridneurofuzzyinvestigationshort_2021,1.4654005
adedeji_mappingmodelingecosystemservices_2018,0.9499837
adekunle_precisionagricultureapplicabilityopportunities_2013,1.3480957
adelowo_environmentalimpactassessmentattenda_2012,1.1901766
adeluyi_estimatingphenologicaldynamicsirrigated_2021,1.6180906
adem_estimationevapotranspirationbasedmetric_2023,1.3828363
adenle_spatialestimationvisualizationco2_2017,1.1180265
adeppady_reducingmicroservicesinterferencedeployment_2023,1.7291129
adewumi_investigatinggroundwaterpotentialnortheastern_2023,1.4061409
adeyemi_evaluationlandlandcover_2022,0.970311
