citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.8610271
aaheim_lostbenefitscarbonuptake_2018,1.868743
aapro_digitalhealthoptimalsupportive_2020,1.4699007
abad_detectinglandslidedammedlakes_2022,2.0402634
abaduribarren_deeplearningassistedresolution_2022,1.91199
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.7020636
abapour_bayesiangametheoreticbased_2020,1.7170739
abate_hydrologicalmodelingkobogolina_2023,1.785596
abay_urbanisationimprovehouseholdwelfare_2023,1.6827596
abbafati_globalburden369diseases_2020,1.6994537
abbas_characterizingclassifyingurbantree_2021,1.8842888
abbas_monitoringscaleforestrestoration_2023,1.8847592
abbas_predictingwaterqualityvariability_2023,1.8457866
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.6687504
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.4924104
abbes_predictionnonstationarymultitemporal_2016,1.7812972
abbott_inboundarrivalsweathersurveillance_2023,1.9463575
abburu_engineeringevaluationglimpsesatellite_2015,1.6681452
abcede_insarbaseddetectionmapping_2022,1.4014103
abdallah_spatialdistributionblockfalls_2010,1.77811
abdelaal_integratedstudiesidentifysite_2021,1.9313478
abdelfattah_webbasedgisenabled_2015,1.7765878
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.9362624
abdelhaleem_applicationremotesensinggeographic_2021,1.6646122
abdelhamid_evaluationecosystemservicesresult_2022,1.7364037
abdelhamid_geospatialanalysislanddriving_2021,1.8001444
abdelhamid_impactassessmentlanddynamics_2023,1.8651828
abdelhamid_pastfuturelandland_2022,1.8205202
abdelrahman_mappingsoilslandrelated_2022,1.6539195
abdelsamie_integrationruslemodelremote_2023,1.8197045
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.8045057
abdi_soilerosiondegradationassessment_2023,1.8061535
abdo_evolvingtotalevaluationmap_2020,2.0109053
abdo_modelingurbandynamicscarbon_2021,1.7425842
abdollahi_explainableartificialintelligencexai_2023,1.7872796
abdollahi_remotesensingcapabilitiesobservational_2023,1.7387208
abdollahnejad_predictiondominantforesttree_2017,1.8111969
abdrabo_integratedmethodologyurbanflood_2020,1.7619131
abdul_quantifyinglandscapestructurekelantan_2021,1.4014103
abdulaziz_distributionfecalcontaminationurbanized_2023,1.8504605
abdulhammed_satelliteimagesmatchingmosaic_2023,1.4014101
abdulkadirov_satelliteimagerecognitionensemble_2024,1.6744574
abdulkalam_internationalpartnershiplunarmissions_2005,1.7329111
abdulkareem_termhydrologicimpactassessment_2018,1.7524426
abdulkareem_termrunoffdynamicsassessment_2019,1.8501194
abdullah_monitoringdrasticgrowthship_2013,1.8372579
abdullah_precisionagriculturepracticesplanting_2023,1.4014103
abdullah_urbangreenbluespace_2022,1.7857611
abdullahalmamun_ecosystemservicesassessmentvaluation_2017,1.7866895
abdullahi_gisbasedsustainablecity_2015,1.6987958
abdullahi_spatialmodellingsitesuitability_2014,1.5520933
abdulmajid_influencetechnologyadoptionfarmers_2024,1.461919
abdusalam_characteristicsimpactfactorsevapotranspiration_2018,1.2951614
abebe_dynamicslandlandcover_2022,1.8203044
abebe_rurallandmanagementoptions_2020,1.6598482
abedi_mineralpotentialmappingcentral_2015,1.8305396
abedigheshlaghi_gisdevelopmodelforest_2019,1.7912362
aben_callviewshedecologyadvancing_2018,1.7403393
