citation,dist
aahd_estimationgroundwatervolumespumped_2009,1.7580464
aaheim_lostbenefitscarbonuptake_2018,1.7524533
aapro_digitalhealthoptimalsupportive_2020,1.4360691
abad_detectinglandslidedammedlakes_2022,1.7068609
abaduribarren_deeplearningassistedresolution_2022,1.6754138
abaduribarren_modelingenvironmentalinfluenceatlantic_2019,1.633286
abapour_bayesiangametheoreticbased_2020,1.3405669
abate_hydrologicalmodelingkobogolina_2023,1.782064
abay_urbanisationimprovehouseholdwelfare_2023,1.7565972
abbafati_globalburden369diseases_2020,1.4200399
abbas_characterizingclassifyingurbantree_2021,1.7716963
abbas_monitoringscaleforestrestoration_2023,1.7428414
abbas_predictingwaterqualityvariability_2023,1.7966174
abbasnezhad_incorporatingsocialpolicydrivers_2023,1.5229167
abbaszadeh_attitudesextramaritalrelationsrelated_2019,1.7513467
abbes_predictionnonstationarymultitemporal_2016,1.6792431
abbott_inboundarrivalsweathersurveillance_2023,1.8993288
abburu_engineeringevaluationglimpsesatellite_2015,1.6492534
abcede_insarbaseddetectionmapping_2022,1.7488309
abdallah_spatialdistributionblockfalls_2010,1.7310703
abdelaal_integratedstudiesidentifysite_2021,1.8805051
abdelfattah_webbasedgisenabled_2015,1.3193219
abdelghafar_anomalydetectionsatellitetelemetry_2019,1.7946479
abdelhaleem_applicationremotesensinggeographic_2021,1.6807384
abdelhamid_evaluationecosystemservicesresult_2022,1.498652
abdelhamid_geospatialanalysislanddriving_2021,1.6515865
abdelhamid_impactassessmentlanddynamics_2023,1.5320565
abdelhamid_pastfuturelandland_2022,1.5710161
abdelrahman_mappingsoilslandrelated_2022,1.6447175
abdelsamie_integrationruslemodelremote_2023,1.74123
abdhamid_investigationpotentialsolarphotovoltaic_2021,1.4505303
abdi_soilerosiondegradationassessment_2023,1.6415718
abdo_evolvingtotalevaluationmap_2020,1.8450822
abdo_modelingurbandynamicscarbon_2021,1.7490518
abdollahi_explainableartificialintelligencexai_2023,1.492598
abdollahi_remotesensingcapabilitiesobservational_2023,1.515497
abdollahnejad_predictiondominantforesttree_2017,1.7038658
abdrabo_integratedmethodologyurbanflood_2020,1.6294242
