title,abstract,year,author,keywords,doi,tags,screening_status,excl_reasons
Where's Woolly? An Integrative Use Of Remote Sensing To Improve Predictions Of The Spatial Distribution Of An Invasive Forest Pest The Hemlock Woolly Adelgid,"Non-native pests and pathogens present serious challenges to the management of forested ecosystems around the world. Early detection of pest and pathogen invasions may allow timely control and prevention methods to be implemented. Species distribution models (SDMs) and remote sensing (RS) methods have both been used effectively to determine locations of pest and pathogen damage. However, previous work integrating these two methods has rarely used RS metrics that have biological meaning. We use RS difference indices that show changes in forest cover from defoliation in order to map Hemlock Woolly Adelgid (HWA), Adelges tsugae, locations using MaxEnt in the Delaware Water Gap National Recreation Area (DWGNRA). Brightness, greenness, wetness, and Normalized Difference Vegetation Index (NDVI) were calculated from Landsat Thematic Mapper (TM) images for December 1982 and 2010. A difference for each index was created by subtracting the 1982 value from the 2010 value. We compared two models, one using difference indices and the other using 2010 indices along with other ancillary data layers, to determine if the more complicated but more biologically relevant difference indices were necessary for improved model performance. Variables with low importance were removed from both models, leaving NDVI, Wetness, soil, and elevation in the two final models. The difference model had an improvement in accuracy of three percent, across a number of threshold values. Despite this small difference in accuracy, however, the infected area predicted by the difference model (5.1\% of total area) was approximately 1/2 of that predicted by the single year model (9.6\% of total area). These results suggest that using remote sensing difference indices improves model accuracy slightly in terms of errors of omission, but also decreases predicted area of forest infestation by about 50\%, suggesting that errors of commission would be substantially reduced using the difference approach. This method can provide forest managers more accurate information on the best locations to sample and treat. (C) 2015 Elsevier B.V. All rights reserved.",2015,"{""Jones, Chris"",""Moody, Aaron"",""Song, Conghe""}","{""Hemlock Woolly Adelgid; Remote sensing; MaxEnt; Species distribution model; Wetness; NDVI""}",10.1016/j.foreco.2015.09.013,{},included,NA
Land Use Change And Environmental Sustainability: The Case Of Lagos Metropolis,"Land use is a most important factor in the distribution and functioning of ecosystems and benefits derived by man. The Malthusian geometric population growth and continuous demands for food, shelter, clothing, energy and even pleasure has led to depletion of natural resources. Land is limited in supply and its finite nature makes it a scarce resource that cannot meet its demand. The use of land is a reflection of our decisions, which will determine how sustainable our future will be. Detecting land use changes requires timely and accurate information which can be assured by using remotely sensed data and GIS. Analyzing the correlation between land use changes and their impacts is essential for spatial planning at various spatial levels (global, national, regional and local levels). A cursory look at the sporadic growth of the Lagos metropolis reveals an unquestionable exert of pressure on the existing rural land, agricultural and forests resources. This paper examines Spatio-temporal trends in land use and land cover changes in the Lagos Metropolitan region, especially the loss of forest resources and agricultural land to urban development. Landsat images were used to produce land use classification maps for a period spanning sixteen years (1990 and 2006). The study was limited to these two dates due to cost and difficulty of acquiring satellite imageries. The dynamics of land use change and its impact were discussed as major findings. The paper submits that effective spatial planning could minimize the impacts of land use changes that threaten biodiversity and ecosystems though timely and proper monitoring using remotesensing and GIS; it also recommends integrated spatial planning approach and deployment of environmental management plans. © 2012 WIT Press.",2011,"{""Dekolo, S. O."",""Nwokoro, I. I. C.""}","{""Geographic information systems"",""Lagos [Lagos (STT)]"",""Lagos [Nigeria]"",""Land use change"",Nigeria,""Remote sensing"",""Sustainable development"",""Urban growth"",""environmental management"",""forest resource""}",10.2495/sc120141,{},included,NA
"Characterizing Off-Highway Road Use With Remote-Sensing, Social Media And Crowd-Sourced Data: An Application To Grizzly Bear (Ursus Arctos) Habitat","Characterizing roads is important for conservation since the relationship between road use and ecological impact can vary across species. However, road use is challenging to monitor due to limited data and high spatial-temporal variability, especially for unpaved roads, which often coincide with critical habitats. In this study, we developed and evaluated two methods to characterize off-highway road use across a large management area of grizzly bear (Ursus arctos) habitat using: (1) a 'network-based' approach to connect human activity hotspots identified from social media posts and remotely detected disturbances and (2) an 'image-based' approach, in which we modeled road surface conditions and travel speed from high spatial resolution satellite imagery trained with crowd-sourced smartphone data. To assess the differences between these approaches and their utility for characterizing roads in the context of habitat integrity, we evaluated how behavioural patterns of global positioning system (GPS)-collared grizzly bears were related to road use characterized by these methods compared to (a) assuming all roads have equal human activity and (b) using a 'reference' road classification from a government database. The network- and image-based methods showed similar patterns of road use and grizzly bear response compared to the reference, and all three revealed nocturnal behaviour near high-use roads and better predicted grizzly bear habitat selection compared to assuming all roads had equal human activity. The network- and image-based methods show promise as cost-effective approaches to characterize road use for conservation applications where data is not available.",2021,"{""Coops, Nicholas C."",""Goodbody, Tristan R. H."",""Kearney, Sean P."",""Larsen, Terrence A."",""Stenhouse, Gordon B.""}","{""spatial ecology; geotagged social media data; circuit theory; road ecology; road use; telemetry; hum""}",10.3390/rs13132547,{maybe},included,NA
The Value Of Site-Specific Information And The Environment: Technology Adoption And Pesticide Use Under Uncertainty,"Remote sensing technology offers an opportunity to significantly increase the amount of site-specific information about field characteristics such as pest populations. Coupled with variable rate application technologies, this added information has the potential to provide environmental benefits through reduced pesticide applications. However, producers face a complicated adoption decision because output prices and crop yields are uncertain. A model is developed to examine the potential value of remote sensing information to pesticide applications in an option-value framework under uncertainty. Simulations suggest that remote sensing information could decrease pesticide use, but uncertainty and irreversibility are likely to limit technological adoption by farmers. Potential cost-share subsidies are discussed. (c) 2005 Elsevier Ltd. All rights reserved.",2005,"{""Coble, KH"",""Hudson, D"",""Isik, M""}","{""environmental policy; green payments; option value; uncertainty; pesticide regulation; remote sensin""}",10.1016/j.jenvman.2005.01.024,{},included,NA
Where Have All The People Gone? Enhancing Global Conservation Using Night Lights And Social Media,"Conservation prioritization at large scales is complex, combining biological, environmental, and social factors. While conservation scientists now more often aim to incorporate human-related factors, a critical yet unquantified challenge remains: to identify which areas people use for recreation outside urban centers. To address this gap in applied ecology and conservation, we developed a novel approach for quantifying human presence beyond populated areas by combining social media ""big data"" and remote sensing tools. We used data from the Flickr photo-sharing website as a surrogate for identifying spatial variation in visitation globally, and complemented this estimate with spatially explicit information on stable night lights between 2004 and 2012, used as a proxy for identifying urban and industrial centers. Natural and seminatural areas attracting visitors were defined as areas both highly photographed and non-lit. The number of Flickr photographers within protected areas was found to be a reliable surrogate for estimating visitor numbers as confirmed by local authority censuses (r = 0.8). Half of all visitors' photos taken in protected areas originated from under 1\% of all protected areas on Earth (250 of 27 000). The most photographed protected areas globally included Yosemite and Yellowstone National Parks (USA), and the Lake and Peak Districts (UK). Factors explaining the spatial variation in protected areas Flickr photo coverage included their type (e.g., UNESCO World Heritage sites have higher visitation) and accessibility to roads and trails. Using this approach, we identified photography hotspots, which draw many visitors and are also unlit (i.e., are located outside urban centers), but currently remain largely unprotected, such as Brazil's Pantanal and Bolivia's Salar de Uyuni. The integrated big data approach developed here demonstrates the benefits of combining remote sensing sources and novel geo-tagged and crowd-sourced information from social media in future efforts to identify spatial conservation gaps and pressures in real time, and their spatial and temporal variation globally.",2015,"{""Crandall, David"",""Kark, Salit"",""Levin, Noam""}","{""conservation; defense meteorological satellite program (DMSP); Flickr; geo-tagged data; light pollut""}",10.1890/15-0113.1.sm,{},included,NA
Portability Of Semantic And Spatial-Temporal Machine Learning Methods To Analyse Social Media For Near-Real-Time Disaster Monitoring,"Up-to-date information about an emergency is crucial for effective disaster management. However, severe restrictions impede the creation of spatiotemporal information by current remote sensing-based monitoring systems, especially at the beginning of a disaster. Multiple publications have shown promising results in complementing monitoring systems through spatiotemporal information extracted from social media data. However, various monitoring system criteria, such as near-real-time capabilities or applicability for different disaster types and use cases, have not yet been addressed. This paper presents an improved version of a recently proposed methodology to identify disaster-impacted areas (hot spots and cold spots) by combining semantic and geospatial machine learning methods. The process of identifying impacted areas is automated using semi-supervised topic models for various kinds of natural disasters. We validated the portability of our approach through experiments with multiple natural disasters and disaster types with differing characteristics, whereby one use case served to prove the near-real-time capability of our approach. We demonstrated the validity of the produced information by comparing the results with official authority datasets provided by the United States Geological Survey and the National Hurricane Centre. The validation shows that our approach produces reliable results that match the official authority datasets. Furthermore, the analysis result values are shown and compared to the outputs of the remote sensing-based Copernicus Emergency Management Service. The information derived from different sources can thus be considered to reliably detect disaster-impacted areas that were not detected by the Copernicus Emergency Management Service, particularly in densely populated cities.",2021,"{""Havas, Clemens"",""Resch, Bernd""}","{""Social media; Disaster management; Machine learning; Semantic topic analysis; Geospatial analysis""}",10.1007/s11069-021-04808-4,{},included,NA
"Assessing The Influence Of Land-Cover Change And Conflicting Land-Use Authorizations On Ecosystem Conversion On The Forest Frontier Of Madre De Dios, Peru","Despite the many benefits natural forests provide, they are being lost worldwide at unsustainable rates as development frontiers expand. One approach to improving the efficacy of natural forest conservation efforts is to refine local forest conservation policies based on insights from the place-based study of conservation policies and land-use and land-cover change (LULC) dynamics. To demonstrate the strength of this approach, this research explores the dynamics of LULC and conservation policies on the forest frontier of Madre de Dios, Peru. The main objectives of this research are to evaluate the efficacy of designated conservation lands in a rapidly expanding frontier landscape and to assess the effect on ecosystem conversion of granting conflicting land-use designations, such as mining concessions, inside conservation areas. Using statistical matching and a GIS-based analysis of LULC, this research shows that for the period 2006-2011, designated conservation lands on the forest frontier of Madre de Dios significantly reduced ecosystem losses compared to non-conservation lands, but the effect was highly variable across conservation designations. Also, when present, conflicting land-use authorizations inside conservation areas, specifically overlapping mining and agricultural titles, eliminated the policy additionality of designating lands for conservation. This finding demonstrates that authorizing conflicting land-use rights inside conservation areas should be avoided to ensure intended land conservation outcomes. This case study also provides examples of how local forest conservation policies can be improved through detailed and frequent analyses of LULC and conservation policies, particularly in dynamic frontier landscapes where LULC and socio-economic conditions are rapidly changing. (C) 2014 Elsevier Ltd. All rights reserved.",2014,"{""Gmur, Stephan J."",""Scullion, Jason J."",""Sienkiewicz, Alison"",""Trujillo, Cristina"",""Vogt, Kristiina A.""}","{""Ecosystem conservation; Land conflict; Conservation additionality; Matching; Remote sensing; Frontie""}",10.1016/j.biocon.2014.01.036,{},included,NA
Environmental Indicators Combined With Risk Analysis To Evaluate Potential Wildfire Incidence On The Dadu Plateau In Taiwan,"Wildfire is a common disaster in the world, and it has a considerable impact on the safety of residents and ecological disturbance. Periodic wildfires are an urgent problem to be solved. This research uses big data from relevant departments to extract environmental indicators that affect wildfires, including satellite images, meteorological observations, and field surveys and establishes a risk model for the Spatio-temporal distribution of wildfires based on risk analysis. Previous studies using Differenced Normalized Burn Ratio (dNBR) to assess fire severity and distinguish wildfire ruins did not deal with the impact of atmospheric humidity on dNBR values. In this study, an adjustable fire threshold was developed to enable dNBR to improve the accuracy of identifying wildfire locations. Regarding the temporal distribution of wildfire risks, environmental vulnerability cannot specifically reflect the frequency of actual wildfires. If the hazard degree is introduced to calculate the wildfire risk, the coefficient of determination can be increased from 0.49 to 0.79. The verification of the village boundary zone depicts that the risk analysis can effectively show the temporal and spatial distribution of wildfire hotspots. On this basis, a village-level wildfire disaster prevention strategy can be formulated.",2022,"{""Chen, Yung-Chau"",""Lin, Chao-Yuan"",""Shieh, Pei-Ying"",""Wang, Po-Cheng"",""Wu, Shao-Wei""}","{""Remote sensing; Principal component analysis; Fire hazard; Fire vulnerability; Normalized burn ratio""}",10.1007/s11069-022-05300-3,{},included,NA
Application Of High-Resolution Stereo Satellite Images To Detailed Landslide Hazard Assessment,"This study investigates and demonstrates the state of the art in remote sensing techniques for detailed landslide hazard assessment applicable to large areas. Since the most common methods of landslide hazard assessment using simple inventories and weighted overlays are heavily dependent on three-dimensional terrain visualization and analysis, stereo satellite images from the IKONOS Very High Resolution (VHR) sensor are used for this study. The DEMs created from IKONOS stereo images appear to be much more accurate and sensitive to micro-scale terrain features than a DEM created from digital contour data with a 2 m contour interval. Pan-sharpened stereo IKONOS images permit interpretation of recent landslides as small as 2-3 m in width as well as relict landslides older than 50 years. A cost-benefit analysis comparing stereo air photo interpretation with stereo satellite image interpretation suggests that stereo satellite imagery is usually more cost-effective for detailed landslide hazard assessment over large areas. © 2005 Elsevier B.V. All rights reserved.",2006,"{""Nichol, J. E."",""Shaker, A."",""Wong, M. S.""}","{DEM,""Hong Kong""}",10.1016/j.geomorph.2005.10.001,{},included,NA
Global Multi-Scale Grid Integer Coding And Spatial Indexing: A Novel Approach For Big Earth Observation Data,"With the exponentially growing earth observation data of specific sensor-determined resolutions and update frequencies, earth observation has irreversibly arrived in the Big Data era, enabling new insights in science and engineering. With great opportunity comes great challenges regarding efficient and effective data management because earth observation data is of different scales and characterized by complexity in spatial relationships related to the real world. To overcome the challenges is crucial for, for instance, data mining, land surveying, and especially emergency mapping for disaster response. To improve the querying efficiency of big earth observation data, we proposed a novel data management approach: Global Multi-scale Grid Integer Coding and Spatial Indexing. Among our contributions are: (1) proposing Global Multi-scale Grid Integer Coding Model (GMGICM), which presents clustering property in both the scale dimension and spatial dimension, and theoretically facilitates an efficient querying; (2) deliberately applying GMGICM on multi-scale earth observation data spatial indexing, which results in one-dimensional data index, which can be queried using simple B-tree, inversion, and other one-dimensional indexes; (3) designing a strategy to assure the completeness of spatial querying, which is not well solved by existing grid-based coding models. The advantages of our proposed approach have been demonstrated with both simulated and real remote sensing data, with spatial operation 20 times as fast as Geohash and spatial querying 10 times as fast as Oracle Spatial on average. The proposed approach can be easily adapted for three or higher-dimensional earth observation data and bring potential benefit to all big earth observation data analytic projects.",2020,"{""Guo, Congzhou"",""Lai, Guangling"",""Lei, Yi"",""Li, He"",""Qiu, Chunping"",""Tong, Xiaochong"",""Wu, Xiangyu"",""Zhang, Yong"",""Zhang, Yongsheng""}","{""Multi-scale grid; Integer Coding; Clustering property; Data management; Big earth observation data; "",querying}",10.1016/j.isprsjprs.2020.03.010,{},included,NA
"Analysis Of Suspended Particulate Matter And Its Drivers In Sahelian Ponds And Lakes By Remote Sensing (Landsat And Modis): Gourma Region, Mali","The Sahelian region is characterized by significant variations in precipitation, impacting water quantity and quality. Suspended particulate matter (SPM) dynamics has a significant impact on inland water ecology and water resource management. In-situ data in this region are scarce and, consequently, the environmental factors triggering SPM variability are yet to be understood. This study addresses these issues using remote sensing optical data. Turbidity and SPM of the Agoufou Lake in Sahelian Mali were measured from October 2014 to present, providing a large range of 'values (SPM ranging from 106 to 4178 mg/L). These data are compared to satellite reflectance from Landsat (ETM+, OLI) and MODIS (MOD09GQ, MYD09GQ). For each of these sensors, a spectral band in the near infrared region is found to be well suited to retrieve turbidity and SPM, up to very high values (R-2 = 0.70) seldom addressed by remote sensing studies. The satellite estimates are then employed to assess the SPM dynamics in the main lakes and ponds of the Gourma region and its links to environmental and anthropogenic factors. The main SPM seasonal peak is observed in the rainy season (June to September) in relation to precipitation and sediment transport. A second important peak occurs during the dry season, highlighting the importance of resuspension mechanisms in maintaining high values of SPM. Three different periods are observed: first, a relatively low winds period in the early dry season, when SPM decreases rapidly due to deposition; then, a period of wind-driven resuspension in JanuaryMarch; and lastly, an SPM deposition period in April-May, when the monsoon replaces the winter trade wind. Overall, a significant increase of 27\% in SPM values is observed between 2000 and 2016 in the Agoufou Lake. The significant spatio-temporal variability in SPM revealed by this study highlights the importance of high resolution optical sensors for continuous monitoring of water quality in these poorly instrumented regions.",2017,"{""Diawara, Mamadou"",""Grippa, Manuela"",""Kergoat, Laurent"",""Martinez, Jean-Michel"",""Merlet, Sebastien"",""Robert, Elodie"",""Soumaguel, Nogmana""}","{""SPM; turbidity; surface water; remote sensing; West Africa""}",10.3390/rs9121272,{},included,NA
Use And Benefits Of Nasa's Recover For Post-Fire Decision Support,"Today's extended fire seasons and large fire footprints have prompted state and federal land-management agencies to devote increasingly large portions of their budgets to wildfire management. As fire costs continue to rise, timely and comprehensive fire information becomes increasingly critical to response and rehabilitation efforts. The NASA Rehabilitation Capability Convergence for Ecosystem Recovery (RECOVER) post-fire decision support system is a server-based application designed to rapidly provide land managers with the information needed to develop a comprehensive rehabilitation plan. This study evaluated the efficacy of RECOVER through structured interviews with land managers (n = 19) who used RECOVER and were responsible for post-fire rehabilitation efforts on over 715 000 ha of fire-affected lands. Although the benefit of better-informed decisions is difficult to quantify, the results of this study illustrate that RECOVER's decision support capabilities provided information to land managers that either validated or altered their decisions on post-fire treatments estimated at over US\$ 1.2 million and saved nearly 800 h of staff time by streamlining data collection as well as communication with local stakeholders and partnering agencies.",2018,"{""Lindquist, Eric"",""Lippitt, Frances"",""Schnase, John L."",""Stegner, Tesa"",""Toombs, William"",""Weber, Keith""}","{""communication; fire management; planning; remote sensing""}",10.1071/wf18010,{},included,NA
