given,family,sequence,affiliation,doi,ORCID,authenticated-orcid,error,name,suffix
Prakash,Khadka,additional,"Risk and Resilience, International Institute for Applied Systems Analysis, A-2361 Laxenburg, Austria",10.3390/su12229448,NA,NA,NA,NA,NA
Preshika,Baskota,additional,"Climate and Resilience, Practical Action Consulting South Asia, Kathmandu 44600, Nepal",10.3390/su12229448,NA,NA,NA,NA,NA
Puja,Shakya,additional,"Climate and Resilience, Practical Action Consulting South Asia, Kathmandu 44600, Nepal",10.3390/su12229448,NA,NA,NA,NA,NA
Wei,Liu,additional,"Risk and Resilience, International Institute for Applied Systems Analysis, A-2361 Laxenburg, Austria",10.3390/su12229448,NA,NA,NA,NA,NA
Uttam,Pudasaini,additional,"Geomatics, Naxa Private Limited, Kathmandu 44600, Nepal",10.3390/su12229448,NA,NA,NA,NA,NA
Roniksh,B.C.,additional,"Geomatics, Naxa Private Limited, Kathmandu 44600, Nepal",10.3390/su12229448,NA,NA,NA,NA,NA
Roniksh,B.C.,additional,"Department of Environmental Science, Tri-Chandra Multiple Campus, Tribhuvan University, Kathmandu 44605, Nepal",10.3390/su12229448,NA,NA,NA,NA,NA
Jonathan,Paul,additional,"Department of Earth Sciences, School of Life Sciences and the Environment, Royal Holloway, University of London, Egham TW20 0EX, UK",10.3390/su12229448,NA,NA,NA,NA,NA
Wouter,Buytaert,additional,"Department of Civil and Environmental Engineering, Imperial College London, London SW7 2AZ, UK",10.3390/su12229448,https://orcid.org/0000-0001-6994-4454,FALSE,NA,NA,NA
Sumit,Vij,additional,"Public Administration and Policy Group, Wageningen University &amp; Research, 6706 KN Wageningen, The Netherlands",10.3390/su12229448,https://orcid.org/0000-0001-5252-797X,FALSE,NA,NA,NA
Sumit,Vij,additional,"Earth &amp; Climate Cluster, Department of Earth Sciences, Faculty of Earth &amp; Life Sciences, Vrije University Amsterdam, 1081 HV Amsterdam, The Netherlands",10.3390/su12229448,https://orcid.org/0000-0001-5252-797X,FALSE,NA,NA,NA
Sun-Young,Park,first,"Department of Economics, Korea University, Seoul, Republic of Korea",https://doi.org/10.1080/00036846.2017.1368995,https://orcid.org/0000-0002-4950-0909,FALSE,NA,NA,NA
Seung-Hoon,Yoo,additional,"Department of Energy Policy, Graduate School of Energy &amp; Environment, Seoul National University of Science &amp; Technology, Seoul, Republic of Korea",https://doi.org/10.1080/00036846.2017.1368995,https://orcid.org/0000-0001-5048-219X,FALSE,NA,NA,NA
Francoise,Pearlman,first,NA,10.1007/978-3-319-01821-8_10,NA,NA,NA,NA,NA
Richard,Bernknopf,additional,NA,10.1007/978-3-319-01821-8_10,NA,NA,NA,NA,NA
Mary Ann,Stewart,additional,NA,10.1007/978-3-319-01821-8_10,NA,NA,NA,NA,NA
Jay S.,Pearlman,additional,NA,10.1007/978-3-319-01821-8_10,NA,NA,NA,NA,NA
E.H,Petersen,first,NA,https://doi.org/10.1016/s0308-521x(01)00012-9,NA,NA,NA,NA,NA
R.W,Fraser,additional,NA,https://doi.org/10.1016/s0308-521x(01)00012-9,NA,NA,NA,NA,NA
S.,Quiroga,first,NA,https://doi.org/10.5194/nhess-11-643-2011,NA,NA,NA,NA,NA
L.,Garrote,additional,NA,https://doi.org/10.5194/nhess-11-643-2011,NA,NA,NA,NA,NA
A.,Iglesias,additional,NA,https://doi.org/10.5194/nhess-11-643-2011,NA,NA,NA,NA,NA
Z.,Fernández-Haddad,additional,NA,https://doi.org/10.5194/nhess-11-643-2011,NA,NA,NA,NA,NA
J.,Schlickenrieder,additional,NA,https://doi.org/10.5194/nhess-11-643-2011,NA,NA,NA,NA,NA
B.,de Lama,additional,NA,https://doi.org/10.5194/nhess-11-643-2011,NA,NA,NA,NA,NA
C.,Mosso,additional,NA,https://doi.org/10.5194/nhess-11-643-2011,NA,NA,NA,NA,NA
A.,Sánchez-Arcilla,additional,NA,https://doi.org/10.5194/nhess-11-643-2011,NA,NA,NA,NA,NA
Albert,Rango,first,NA,10.1111/j.1752-1688.1980.tb02549.x,NA,NA,NA,NA,NA
Rita D.,Roberts,first,"National Center for Atmospheric Research, Boulder, Colorado;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Steven J.,Goodman,additional,"Thunderbolt Global Analytics, Huntsville, Alabama;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
James W.,Wilson,additional,"National Center for Atmospheric Research, Boulder, Colorado;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Paul,Watkiss,additional,"Paul Watkiss Associates, Oxford, United Kingdom;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Robert,Powell,additional,"Independent Humanitarian Communications and Media Consultant, Dunbar, Scotland;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Ralph A.,Petersen,additional,"Space Science and Engineering Center, University of Wisconsin–Madison, Madison, Wisconsin;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Caroline,Bain,additional,"Met Office, Exeter, United Kingdom;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
John,Faragher,additional,"Met Office, Exeter, United Kingdom;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Ladislaus B.,Chang’a,additional,"Tanzania Meteorological Authority, Dar es Salaam, Tanzania;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Julius Kiprop,Kapkwomu,additional,"Uganda National Meteorological Authority, Kampala, Uganda;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Paul N.,Oloo,additional,"Kenya Meteorological Department, Nairobi, Kenya;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Joseph N.,Sebaziga,additional,"Rwanda Meteorology Agency, Kigali, Rwanda;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Andrew,Hartley,additional,"Met Office, Exeter, United Kingdom;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Timothy,Donovan,additional,"Met Office, Exeter, United Kingdom;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Marion,Mittermaier,additional,"Met Office, Exeter, United Kingdom;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Lee,Cronce,additional,"Space Science and Engineering Center, University of Wisconsin–Madison, Madison, Wisconsin;",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Katrina S.,Virts,additional,"University of Alabama in Huntsville, Huntsville, Alabama",10.1175/bams-d-20-0290.1,NA,NA,NA,NA,NA
Kimberly S.,Rollins,first,NA,https://doi.org/10.1017/s1350482703005048,NA,NA,NA,NA,NA
Joseph,Shaykewich,additional,NA,https://doi.org/10.1017/s1350482703005048,NA,NA,NA,NA,NA
K W,Ross,first,NA,10.1088/1748-9326/4/2/024009,NA,NA,NA,NA,NA
M E,Brown,additional,NA,10.1088/1748-9326/4/2/024009,NA,NA,NA,NA,NA
J P,Verdin,additional,NA,10.1088/1748-9326/4/2/024009,NA,NA,NA,NA,NA
L W,Underwood,additional,NA,10.1088/1748-9326/4/2/024009,NA,NA,NA,NA,NA
Tobias F.,R�theli,first,NA,10.1007/s11294-004-7165-x,NA,NA,NA,NA,NA
Mathieu,Rouget,first,NA,10.1016/s0006-3207(02)00415-9,NA,NA,NA,NA,NA
NA,NA,NA,NA,10.2902/1725-0463.2010.05.art9,NA,NA,try error,NA,NA
Vilane G.,Sales,first,NA,10.1016/j.apgeog.2022.102651,NA,NA,NA,NA,NA
Eric,Strobl,additional,NA,10.1016/j.apgeog.2022.102651,NA,NA,NA,NA,NA
Robert J.R.,Elliott,additional,NA,10.1016/j.apgeog.2022.102651,NA,NA,NA,NA,NA
Peter G.,Sassone,first,NA,10.1007/bf02423388,NA,NA,NA,NA,NA
Geoff,Sawyer,first,NA,10.3389/fenvs.2022.804862,NA,NA,NA,NA,NA
Eleftherios,Mamais,additional,NA,10.3389/fenvs.2022.804862,NA,NA,NA,NA,NA
Dimitri,Papadakis,additional,NA,10.3389/fenvs.2022.804862,NA,NA,NA,NA,NA
Emma,Schiavon,first,Istituto Universitario di Studi Superiori di Pavia (IUSS)  Pavia Italy,10.1029/2023jg007569,https://orcid.org/0000-0001-9573-4303,FALSE,NA,NA,NA
Andrea,Taramelli,additional,Istituto Universitario di Studi Superiori di Pavia (IUSS)  Pavia Italy,10.1029/2023jg007569,https://orcid.org/0000-0003-0865-4124,FALSE,NA,NA,NA
Andrea,Taramelli,additional,Institute for Environmental Protection and Research (ISPRA)  Roma Italy,10.1029/2023jg007569,https://orcid.org/0000-0003-0865-4124,FALSE,NA,NA,NA
Antonella,Tornato,additional,Institute for Environmental Protection and Research (ISPRA)  Roma Italy,10.1029/2023jg007569,https://orcid.org/0000-0003-2450-6375,FALSE,NA,NA,NA
Christine M.,Lee,additional,Jet Propulsion Laboratory California Institute of Technology  Pasadena CA USA,10.1029/2023jg007569,https://orcid.org/0000-0003-1615-236X,FALSE,NA,NA,NA
Jeffrey C.,Luvall,additional,NASA Marshall Space Flight Center (MSFC)  Huntsville AL USA,10.1029/2023jg007569,https://orcid.org/0000-0003-0336-2237,FALSE,NA,NA,NA
Stephanie,Schollaert Uz,additional,NASA Goddard Space Flight Center (GSFC)  Greenbelt MD USA,10.1029/2023jg007569,https://orcid.org/0000-0002-0937-1487,FALSE,NA,NA,NA
Philip A.,Townsend,additional,Department of Forest &amp; Wildlife Ecology University of Wisconsin‐Madison  Madison WI USA,10.1029/2023jg007569,https://orcid.org/0000-0001-7003-8774,FALSE,NA,NA,NA
Valentina,Cima,additional,Istituto Universitario di Studi Superiori di Pavia (IUSS)  Pavia Italy,10.1029/2023jg007569,https://orcid.org/0009-0003-4584-7440,FALSE,NA,NA,NA
Serena,Geraldini,additional,Institute for Environmental Protection and Research (ISPRA)  Roma Italy,10.1029/2023jg007569,https://orcid.org/0009-0003-2202-1742,FALSE,NA,NA,NA
Alessandra,Nguyen Xuan,additional,Institute for Environmental Protection and Research (ISPRA)  Roma Italy,10.1029/2023jg007569,https://orcid.org/0000-0003-3443-1741,FALSE,NA,NA,NA
Emiliana,Valentini,additional,Institute of Polar Sciences of the Italian National Research Council (ISP CNR)  Rome Italy,10.1029/2023jg007569,https://orcid.org/0000-0002-4257-7858,FALSE,NA,NA,NA
Charles E.,Miller,additional,Jet Propulsion Laboratory California Institute of Technology  Pasadena CA USA,10.1029/2023jg007569,https://orcid.org/0000-0002-9380-4838,FALSE,NA,NA,NA
Charles M.,Schweik,first,NA,10.1111/1540-6237.00081,NA,NA,NA,NA,NA
Craig W.,Thomas,additional,NA,10.1111/1540-6237.00081,NA,NA,NA,NA,NA
Santhosh K,Seelan,first,NA,10.1016/j.rse.2003.04.007,NA,NA,NA,NA,NA
Soizik,Laguette,additional,NA,10.1016/j.rse.2003.04.007,NA,NA,NA,NA,NA
Grant M,Casady,additional,NA,10.1016/j.rse.2003.04.007,NA,NA,NA,NA,NA
George A,Seielstad,additional,NA,10.1016/j.rse.2003.04.007,NA,NA,NA,NA,NA
George,Seielstad,first,NA,10.1117/12.454211,NA,NA,NA,NA,NA
Soizik,Laguette,additional,NA,10.1117/12.454211,NA,NA,NA,NA,NA
Santhosh K.,Seelan,additional,NA,10.1117/12.454211,NA,NA,NA,NA,NA
Rick,Lawrence,additional,NA,10.1117/12.454211,NA,NA,NA,NA,NA
Gerald A.,Nielsen,additional,NA,10.1117/12.454211,NA,NA,NA,NA,NA
David,Clay,additional,NA,10.1117/12.454211,NA,NA,NA,NA,NA
Kevin,Dalsted,additional,NA,10.1117/12.454211,NA,NA,NA,NA,NA
Jennifer C.,Selgrath,first,Project Seahorse Fisheries Centre The University of British Columbia  Vancouver British Columbia V6T 1Z4 Canada,10.1002/ecs2.1325,NA,NA,NA,NA,NA
Jennifer C.,Selgrath,first,Department of Forest &amp; Conservation Sciences The University of British Columbia  Vancouver British Columbia V6T 1Z4 Canada,10.1002/ecs2.1325,NA,NA,NA,NA,NA
Chris,Roelfsema,additional,Biophysical Remote Sensing Group School of Geography Planning and Environmental Management The University of Queensland  Brisbane Queensland 4072 Australia,10.1002/ecs2.1325,NA,NA,NA,NA,NA
Sarah E.,Gergel,additional,Department of Forest &amp; Conservation Sciences The University of British Columbia  Vancouver British Columbia V6T 1Z4 Canada,10.1002/ecs2.1325,NA,NA,NA,NA,NA
Amanda C. J.,Vincent,additional,Project Seahorse Fisheries Centre The University of British Columbia  Vancouver British Columbia V6T 1Z4 Canada,10.1002/ecs2.1325,NA,NA,NA,NA,NA
NA,NA,NA,NA,https://doi.org/10.13031/trans.59.11589,NA,NA,try error,NA,NA
Katherine,Smith,first,Countryside and Community Research Institute University of Gloucestershire Cheltenham UK,10.1111/geoj.12323,http://orcid.org/0000-0002-4788-6270,FALSE,NA,NA,NA
Robert,Berry,additional,Countryside and Community Research Institute University of Gloucestershire Cheltenham UK,10.1111/geoj.12323,NA,NA,NA,NA,NA
Lucy E.,Clarke,additional,School of Natural and Social Sciences University of Gloucestershire Cheltenham UK,10.1111/geoj.12323,http://orcid.org/0000-0002-8174-3839,FALSE,NA,NA,NA
Isabella S.,Smythe,first,"School of International and Public Affairs, Columbia University, New York, NY 10027",https://doi.org/10.1073/pnas.2120025119,https://orcid.org/0000-0002-4943-231X,FALSE,NA,NA,NA
Joshua E.,Blumenstock,additional,"School of Information, University of California, Berkeley, CA 94720",https://doi.org/10.1073/pnas.2120025119,https://orcid.org/0000-0002-1813-7414,FALSE,NA,NA,NA
Andrew R.,Solow,first,NA,https://doi.org/10.1023/a:1005342500057,NA,NA,NA,NA,NA
Richard F.,Adams,additional,NA,https://doi.org/10.1023/a:1005342500057,NA,NA,NA,NA,NA
Kelly J.,Bryant,additional,NA,https://doi.org/10.1023/a:1005342500057,NA,NA,NA,NA,NA
David M.,Legler,additional,NA,https://doi.org/10.1023/a:1005342500057,NA,NA,NA,NA,NA
James J.,O'Brien,additional,NA,https://doi.org/10.1023/a:1005342500057,NA,NA,NA,NA,NA
Bruce A.,McCarl,additional,NA,https://doi.org/10.1023/a:1005342500057,NA,NA,NA,NA,NA
William,Nayda,additional,NA,https://doi.org/10.1023/a:1005342500057,NA,NA,NA,NA,NA
Rodney,Weiher,additional,NA,https://doi.org/10.1023/a:1005342500057,NA,NA,NA,NA,NA
Marco,Sozzi,first,"Department of Land Environment Agriculture and Forestry, University of Padova, 35020 Legnaro, Italy",10.3390/agronomy11112098,https://orcid.org/0000-0001-8941-1903,FALSE,NA,NA,NA
Ahmed,Kayad,additional,"Department of Land Environment Agriculture and Forestry, University of Padova, 35020 Legnaro, Italy",10.3390/agronomy11112098,https://orcid.org/0000-0003-3396-938X,FALSE,NA,NA,NA
Stefano,Gobbo,additional,"Department of Agronomy, Food, Natural Resources, Animals, and Environment, University of Padova, 35020 Legnaro, Italy",10.3390/agronomy11112098,https://orcid.org/0000-0002-1354-2023,FALSE,NA,NA,NA
Alessia,Cogato,additional,"Department of Land Environment Agriculture and Forestry, University of Padova, 35020 Legnaro, Italy",10.3390/agronomy11112098,https://orcid.org/0000-0001-8354-7324,FALSE,NA,NA,NA
Luigi,Sartori,additional,"Department of Land Environment Agriculture and Forestry, University of Padova, 35020 Legnaro, Italy",10.3390/agronomy11112098,https://orcid.org/0000-0001-6437-3402,FALSE,NA,NA,NA
Francesco,Marinello,additional,"Department of Land Environment Agriculture and Forestry, University of Padova, 35020 Legnaro, Italy",10.3390/agronomy11112098,https://orcid.org/0000-0002-3283-5665,FALSE,NA,NA,NA
Karin,Späti,first,NA,10.1016/j.ecolecon.2021.107047,NA,NA,NA,NA,NA
Robert,Huber,additional,NA,10.1016/j.ecolecon.2021.107047,NA,NA,NA,NA,NA
Robert,Finger,additional,NA,10.1016/j.ecolecon.2021.107047,NA,NA,NA,NA,NA
Jan H,Stel,first,NA,https://doi.org/10.1016/0308-597x(96)00029-2,NA,NA,NA,NA,NA
Brian F,Mannix,additional,NA,https://doi.org/10.1016/0308-597x(96)00029-2,NA,NA,NA,NA,NA
Signe,Stroming,first,School of Foreign Service Georgetown University  Washington DC USA,10.1029/2020gh000254,https://orcid.org/0000-0001-6908-1046,FALSE,NA,NA,NA
Molly,Robertson,additional,Resources for the Future  Washington DC USA,10.1029/2020gh000254,https://orcid.org/0000-0002-0776-712X,FALSE,NA,NA,NA
Bethany,Mabee,additional,Resources for the Future  Washington DC USA,10.1029/2020gh000254,https://orcid.org/0000-0002-8186-4104,FALSE,NA,NA,NA
Yusuke,Kuwayama,additional,Resources for the Future  Washington DC USA,10.1029/2020gh000254,https://orcid.org/0000-0001-8933-9876,FALSE,NA,NA,NA
Blake,Schaeffer,additional,Office of Research and Development United States Environmental Protection Agency  Research Triangle Park NC USA,10.1029/2020gh000254,https://orcid.org/0000-0001-9794-3977,FALSE,NA,NA,NA
Diane M.,Styers,first,"Department of Geosciences & Natural Resources, Western Carolina University, Cullowhee, North Carolina 28723",10.1080/10899995.2018.1411699,NA,NA,NA,NA,NA
NA,NA,NA,NA,https://www.rff.org/valuables/impact-assessments/,NA,NA,try error,NA,NA
Yikuan,Tang,first,NA,10.1016/j.jclepro.2020.121792,NA,NA,NA,NA,NA
Fan,Zhang,additional,NA,10.1016/j.jclepro.2020.121792,NA,NA,NA,NA,NA
Bernard A.,Engel,additional,NA,10.1016/j.jclepro.2020.121792,NA,NA,NA,NA,NA
Xiao,Liu,additional,NA,10.1016/j.jclepro.2020.121792,NA,NA,NA,NA,NA
Qiong,Yue,additional,NA,10.1016/j.jclepro.2020.121792,NA,NA,NA,NA,NA
Ping,Guo,additional,NA,10.1016/j.jclepro.2020.121792,NA,NA,NA,NA,NA
Topi,Tanhuanpää,first,NA,10.1007/s13280-023-01885-6,https://orcid.org/0000-0002-5509-6922,FALSE,NA,NA,NA
Ninni,Mikkonen,additional,NA,10.1007/s13280-023-01885-6,NA,NA,NA,NA,NA
Heini,Kujala,additional,NA,10.1007/s13280-023-01885-6,NA,NA,NA,NA,NA
Einari,Heinaro,additional,NA,10.1007/s13280-023-01885-6,NA,NA,NA,NA,NA
Janne,Mäyrä,additional,NA,10.1007/s13280-023-01885-6,NA,NA,NA,NA,NA
Timo,Kumpula,additional,NA,10.1007/s13280-023-01885-6,NA,NA,NA,NA,NA
Andrea,Taramelli,first,"Institute for Environmental Protection and Research (ISPRA), Via Vitaliano Brancati 48, 00144 Rome, Italy",10.3390/rs12081286,https://orcid.org/0000-0003-0865-4124,FALSE,NA,NA,NA
Andrea,Taramelli,first,"Institute for Advanced Study of Pavia (IUSS), Palazzo del Broletto, Piazza della Vittoria 15, 27100 Pavia, Italy",10.3390/rs12081286,https://orcid.org/0000-0003-0865-4124,FALSE,NA,NA,NA
Antonella,Tornato,additional,"Institute for Environmental Protection and Research (ISPRA), Via Vitaliano Brancati 48, 00144 Rome, Italy",10.3390/rs12081286,NA,NA,NA,NA,NA
Maria Lucia,Magliozzi,additional,"e-Geos, an ASI and Telespazio company, Via Tiburtina 965, 00156 Rome, Italy",10.3390/rs12081286,NA,NA,NA,NA,NA
Stefano,Mariani,additional,"Institute for Environmental Protection and Research (ISPRA), Via Vitaliano Brancati 48, 00144 Rome, Italy",10.3390/rs12081286,https://orcid.org/0000-0003-2363-9176,FALSE,NA,NA,NA
Emiliana,Valentini,additional,"Institute for Environmental Protection and Research (ISPRA), Via Vitaliano Brancati 48, 00144 Rome, Italy",10.3390/rs12081286,NA,NA,NA,NA,NA
Massimo,Zavagli,additional,"e-Geos, an ASI and Telespazio company, Via Tiburtina 965, 00156 Rome, Italy",10.3390/rs12081286,NA,NA,NA,NA,NA
Mario,Costantini,additional,"e-Geos, an ASI and Telespazio company, Via Tiburtina 965, 00156 Rome, Italy",10.3390/rs12081286,NA,NA,NA,NA,NA
Jens,Nieke,additional,"European Space Agency – ESTEC, Keplerlaan 1, PO Box 299, 2200 AG Noordwijk ZN, The Netherlands",10.3390/rs12081286,NA,NA,NA,NA,NA
Jennifer,Adams,additional,"European Space Agency – ESRIN, via Galileo Galilei 1, 00044 Frascati Rome, Italy",10.3390/rs12081286,https://orcid.org/0000-0002-8410-2172,FALSE,NA,NA,NA
Michael,Rast,additional,"European Space Agency – ESRIN, via Galileo Galilei 1, 00044 Frascati Rome, Italy",10.3390/rs12081286,NA,NA,NA,NA,NA
Alessandra,Tassa,first,NA,10.3389/fenvs.2022.788843,NA,NA,NA,NA,NA
Stephanie,Willekens,additional,NA,10.3389/fenvs.2022.788843,NA,NA,NA,NA,NA
Arne,Lahcen,additional,NA,10.3389/fenvs.2022.788843,NA,NA,NA,NA,NA
Laurent,Laurich,additional,NA,10.3389/fenvs.2022.788843,NA,NA,NA,NA,NA
Charlotte,Mathieu,additional,NA,10.3389/fenvs.2022.788843,NA,NA,NA,NA,NA
William,Toombs,first,NA,10.1071/wf18010,NA,NA,NA,NA,NA
Keith,Weber,additional,NA,10.1071/wf18010,NA,NA,NA,NA,NA
Tesa,Stegner,additional,NA,10.1071/wf18010,NA,NA,NA,NA,NA
John L.,Schnase,additional,NA,10.1071/wf18010,NA,NA,NA,NA,NA
Eric,Lindquist,additional,NA,10.1071/wf18010,NA,NA,NA,NA,NA
Frances,Lippitt,additional,NA,10.1071/wf18010,NA,NA,NA,NA,NA
S.N.,Trigg,first,NA,10.1016/j.jenvman.2005.12.008,NA,NA,NA,NA,NA
D.P.,Roy,additional,NA,10.1016/j.jenvman.2005.12.008,NA,NA,NA,NA,NA
Kush R.,Varshney,first,"DataKind DataCorps, New York, New York.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
Kush R.,Varshney,first,"Mathematical Sciences and Analytics Department, IBM Thomas J. Watson Research Center, Yorktown Heights, New York.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
George H.,Chen,additional,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, Massachusetts.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
Brian,Abelson,additional,"DataKind DataCorps, New York, New York.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
Brian,Abelson,additional,"Enigma, New York, New York.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
Kendall,Nowocin,additional,"Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, Massachusetts.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
Vivek,Sakhrani,additional,"Engineering Systems Division, Massachusetts Institute of Technology, Cambridge, Massachusetts.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
Ling,Xu,additional,"Health Sciences and Technology Division, Massachusetts Institute of Technology, Cambridge, Massachusetts.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
Brian L.,Spatocco,additional,"Department of Materials Science and Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts.",10.1089/big.2014.0061,NA,NA,NA,NA,NA
Francesco,Vuolo,first,NA,10.3389/fenvs.2015.00052,NA,NA,NA,NA,NA
Laura,Essl,additional,NA,10.3389/fenvs.2015.00052,NA,NA,NA,NA,NA
Clement,Atzberger,additional,NA,10.3389/fenvs.2015.00052,NA,NA,NA,NA,NA
Haozhou,Wang,first,NA,10.34133/plantphenomics.0086,https://orcid.org/0000-0001-6135-402X,FALSE,NA,NA,NA
Tang,Li,additional,NA,10.34133/plantphenomics.0086,NA,NA,NA,NA,NA
Erika,Nishida,additional,NA,10.34133/plantphenomics.0086,NA,NA,NA,NA,NA
Yoichiro,Kato,additional,NA,10.34133/plantphenomics.0086,NA,NA,NA,NA,NA
Yuya,Fukano,additional,NA,10.34133/plantphenomics.0086,NA,NA,NA,NA,NA
Wei,Guo,additional,NA,10.34133/plantphenomics.0086,https://orcid.org/0000-0002-3017-5464,FALSE,NA,NA,NA
Katharine F.,Wellman,first,NA,https://doi.org/10.1080/08920750701868051,NA,NA,NA,NA,NA
Marcus,Hartley,additional,NA,https://doi.org/10.1080/08920750701868051,NA,NA,NA,NA,NA
Kenneth,Wieand,first,NA,http://10.1080/08920750701866436,NA,NA,NA,NA,NA
Sofie,Wikberg,first,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
Karin,Perhans,additional,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
Claes,Kindstrand,additional,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
Line Boberg,Djupström,additional,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
Mattias,Boman,additional,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
Leif,Mattsson,additional,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
Leif Martin,Schroeder,additional,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
Jan,Weslien,additional,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
Lena,Gustafsson,additional,NA,10.1016/j.biocon.2008.11.014,NA,NA,NA,NA,NA
D S,Wilks,first,NA,https://doi.org/10.1017/s1350482701002092,NA,NA,NA,NA,NA
Christopher,Yeh,first,NA,10.1038/s41467-020-16185-w,https://orcid.org/0000-0002-7624-6168,FALSE,NA,NA,NA
Anthony,Perez,additional,NA,10.1038/s41467-020-16185-w,https://orcid.org/0000-0003-4781-176X,FALSE,NA,NA,NA
Anne,Driscoll,additional,NA,10.1038/s41467-020-16185-w,NA,NA,NA,NA,NA
George,Azzari,additional,NA,10.1038/s41467-020-16185-w,NA,NA,NA,NA,NA
Zhongyi,Tang,additional,NA,10.1038/s41467-020-16185-w,NA,NA,NA,NA,NA
David,Lobell,additional,NA,10.1038/s41467-020-16185-w,NA,NA,NA,NA,NA
Stefano,Ermon,additional,NA,10.1038/s41467-020-16185-w,https://orcid.org/0000-0003-0039-2887,FALSE,NA,NA,NA
Marshall,Burke,additional,NA,10.1038/s41467-020-16185-w,https://orcid.org/0000-0003-4288-5858,FALSE,NA,NA,NA
Daniel R.,Zeh,first,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Michelle R.,Heupel,additional,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Colin J.,Limpus,additional,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Mark,Hamann,additional,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Mariana M.P.B.,Fuentes,additional,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Russel C.,Babcock,additional,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Richard D.,Pillans,additional,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Kathy A.,Townsend,additional,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Helene,Marsh,additional,NA,10.1016/j.jembe.2014.11.013,NA,NA,NA,NA,NA
Jadwiga R.,Ziolkowska,first,NA,https://doi.org/10.1016/j.agee.2018.07.008,NA,NA,NA,NA,NA
