author,year,title,doi,key,notes
ACIL Tasman,2008,The Impact Of Modern Spatial Information Technologies On The Australian Economy,https://www.crcsi.com.au/assets/resources/e2b13d9b-9be9-4338-ad68-b6758f759355.pdf,aciltasman_impactmodernspatialinformation_2008,NA
"Adams, Richard",2002,The Benefits To Mexican Agriculture Of An El Niño-Southern Oscillation (Enso) Early Warning System,https://doi.org/10.1016/s0168-1923(02)00201-0,adams_benefitsmexicanagricultureel_2002,NA
"Adams, Richard",1995,Value Of Improved Long-Range Weather Information,https://doi.org/10.1111/j.1465-7287.1995.tb00720.x,adams_improvedrangeweatherinformation_1995,NA
"Al-Ekabi, Cenan",2018,Reflecting On A Decade Of Collaboration Between Nasa And Usaid: Deriving Value From Space For International Development,978-3-319-72465-2,alekabi_reflectingdecadecollaborationnasa_2018,NA
"Alvino, Letizia",2019,Investigating The Global Socio-Economic Benefits Of Satellite Industry And Remote Sensing Applications,https://research.tilburguniversity.edu/en/publications/investigating-the-global-socio-economic-benefits-of-satellite-ind,alvino_investigatingglobalsocioeconomic_2019,NA
"Amegnaglo, Coco",2017,"Contingent Valuation Study Of The Benefits Of Seasonal Climate Forecasts For Maize Farmers In The Republic Of Benin, West Africa",http://dx.doi.org/10.1016/j.cliser.2017.06.007,amegnaglo_contingentvaluationstudybenefits_2017,NA
"Anderson, Katherine",2017,Earth Observation In Service Of The 2030 Agenda For Sustainable Development,https://doi.org/10.1080/10095020.2017.1333230,anderson_earthobservationservice2030_2017,NA
"Andries, Ana",2022,Using Data From Earth Observation To Support Sustainable Development Indicators: An Analysis Of The Literature And Challenges For The Future,10.3390/su14031191,andries_dataearthobservationsupport_2022,NA
"Babcock, Bruce",1990,The Value Of Weather Information In Market Equilibrium,https://doi.org/10.2307/1243145,babcock_weatherinformationmarketequilibrium_1990,NA
"Barker, Louisa",2021,Leveraging The Power Of Location Information And Technologies To Improve Public Services At The Local Level,https://doi.org/10.2760/67126,barker_leveragingpowerlocationinformation_2021,NA
"Barrie, L.",2010,Earth Observations And Health Decisions,https://www.isprs.org/proceedings/xxxviii/part8/headline/geo%20special%20session%20-%201/geo12_20100320035836.pdf,barrie_earthobservationshealthdecisions_2010,NA
"Berenter, Jared",2021,Valuing User Preferences For Geospatial Fire Monitoring In Guatemala,10.3390/su132112077,berenter_valuinguserpreferencesgeospatial_2021,NA
"Bernknopf, Richard",2021,Earth Observations Can Enable Cost-Effective Conservation Of Eastern North Pacific Blue Whales: A Value Of Information Analysis,https://media.rff.org/documents/earth_observations_can_enable_cost-effective_conservation_of._bm_rb_ld.pdf,bernknopf_earthobservationsenablecost_2021,NA
"Bernknopf, Richard",2015,Economic Assessment Of The Use Value Of Geospatial Information,https://doi.org/10.3390/ijgi4031142,bernknopf_economicassessmentgeospatialinformation_2015,NA
"Bernknopf, R.",2021,Monetising The Savings Of Remotely Sensed Data And Information In Burn Area Emergency Response (Baer) Wildfire Assessment,10.1071/wf19209,bernknopf_monetisingsavingsremotelysensed_2021,NA
