title,abstract,year,author,doi,tags,screening_status,excl_reasons
Using Bioacoustics To Enhance The Efficiency Of Spotted Owl Surveys And Facilitate Forest Restoration,"The California spotted owl (Strix occidentalis occidentalis) is an older-forest associated species that resides at the center of forest management planning in the Sierra Nevada and Southern California, USA, which are experiencing increasingly large and severe wildfires and drought-related tree mortality. We leveraged advances in passive acoustic survey technologies to develop an acoustically assisted survey design that could increase the efficiency and effectiveness of project-level surveys for spotted owls, allowing surveys to be completed in a single year instead of in multiple years. We deployed an array of autonomous recording units (ARUs) across a landscape and identified spotted owl vocalizations in the resulting audio using BirdNET. We then evaluated spatio-temporal patterns in spotted owl vocalizations near occupied territories and the ability of a crew naïve to the location of occupied territories to locate spotted owls based on patterns of acoustic detections. After only 3 weeks of acoustic surveys, ≥1 ARU within 750 m of all 17 occupied territories obtained spotted owl detections across ≥2 nights. When active surveys using broadcast calling were conducted near ARUs with spotted owl detections by surveyors naïve to territory occupancy status and locations, surveyors located owls in 93% to 100% of occupied territories with ≤3 surveys. To further improve the efficiency of spotted owl surveys, we developed a statistical model to identify and prioritize areas across the Sierra Nevada for different survey methods (active only, acoustically assisted, no surveys) based on the expected probability of occupancy predicted from remotely sensed measurements of tree height and historical occupancy. Depending on managers' tolerance for false negatives, this model could help identify large areas that might not benefit from surveys based on low expected occupancy probabilities and areas where acoustically assisted surveys might enhance survey effectiveness and efficiency. Collectively, these findings can help managers streamline the survey process and thus increase the pace of forest restoration while minimizing potential near-term adverse effects on California spotted owls. © 2023 The Authors. The Journal of Wildlife Management published by Wiley Periodicals LLC on behalf of The Wildlife Society.",2024,"{""Berigan, W. J."",""Kahl, S."",""Kelly, K. G."",""Klinck, H."",""Kramer, H. A."",""Manley, P. N."",""Peery, M. Z."",""Reid, D. S."",""Sawyer, S. C."",""Whitmore, S. A."",""Wood, C. M.""}",10.1002/jwmg.22533,{},included,NA
"Modelling And Evaluation Of Land Use Changes Through Satellite Images In A Multifunctional Catchment: Social, Economic And Environmental Implications","Floods are recurrent phenomena with significant environmental and socio-economic impacts. The risk of flooding increases when land use changes. The objective of this research is to detect land cover changes via Sentinel-2 images in the Umia Basin (Galicia, NW Spain) in 2016-2021 and to analyse the associated flood risk. This study focuses on how forest use and nature-based solutions (NBS) can reduce the risk and hazard of flooding in cities and crops in the high-risk area. A flood simulation was performed with the land use obtained from Sentinel-2 (Observed) and three more simulations were performed changing the location of afforestation and NBS, i.e. ""S-Upstream"", ""S-Downstream"" and ""S-Total"". Finally, the environmental, economic and social impacts of the scenarios designed and estimated are analysed and discussed. Land cover change was successfully monitored with Sentinel-2 imagery. The catchment area showed noteworthy changes in land use, most notably for the category of trees, which covered 6700 ha in 2016 and 10,911 ha in 2021. However riparian vegetation decreased by almost 11\%. For the flood hazard simulations, an average reduction in peak discharge was obtained for all three scenarios (9.3\% for S-Up; 8.6\% for S-Down and 13\% for S-Total). From the economic perspective, all three scenarios show a positive net present value for the period studied. However, S-Down is the scenario with the lowest benefits (euro15,476,487), while S-Up and S-Total show better values at euro29,580,643 and euro65,158,130 respectively. However, investment cost is much higher for the S-Total scenario, and upstream actions affect the whole catchment, so S-Up is the best decision. This study concludes that the information provided by satellites is a large-scale analysis tool for small heterogeneous plots that facilitates the comprehensive analysis of a territory. This information can be incorporated into flood analysis models, facilitating simulation through the use of NBS. It has been proven that the use of reforestation upstream only is almost as beneficial as reforestation in the entire catchment and is economically more viable. This confirms that the methodology used reduces flood hazard, despite the territorial complexity, facilitating decision making on the use of NBS.",NA,NA,10.1016/j.ecoinf.2022.101777,{},included,NA
"On The Future Of Argo: A Global, Full-Depth, Multi-Disciplinary Array","The Argo Program has been implemented and sustained for almost two decades, as a global array of about 4000 profiling floats. Argo provides continuous observations of ocean temperature and salinity versus pressure, from the sea surface to 2000 dbar. The successful installation of the Argo array and its innovative data management system arose opportunistically from the combination of great scientific need and technological innovation. Through the data system, Argo provides fundamental physical observations with broad societally-valuable applications, built on the cost-efficient and robust technologies of autonomous profiling floats. Following recent advances in platform and sensor technologies, even greater opportunity exists now than 20 years ago to (i) improve Argo's global coverage and value beyond the original design, (ii) extend Argo to span the full ocean depth, (iii) add biogeochemical sensors for improved understanding of oceanic cycles of carbon, nutrients, and ecosystems, and (iv) consider experimental sensors that might be included in the future, for example to document the spatial and temporal patterns of ocean mixing. For Core Argo and each of these enhancements, the past, present, and future progression along a path from experimental deployments to regional pilot arrays to global implementation is described. The objective is to create a fully global, top-to-bottom, dynamically complete, and multidisciplinary Argo Program that will integrate seamlessly with satellite and with other in situ elements of the Global Ocean Observing System (Legler et al., 2015). The integrated system will deliver operational reanalysis and forecasting capability, and assessment of the state and variability of the climate system with respect to physical, biogeochemical, and ecosystems parameters. It will enable basic research of unprecedented breadth and magnitude, and a wealth of ocean-education and outreach opportunities.",2019,"{""Alford, Matthew H."",""Bakker, Dorothee"",""Baringer, Molly"",""Belbeoch, Mathieu"",""Bittig, Henry C."",""Boss, Emmanuel"",""Calil, Paulo"",""Carse, Fiona"",""Carval, Thierry"",""Chai, Fei"",""Claustre, Herve"",""Conchubhair, Diarmuid O."",""Dall'Olmo, Giorgio"",""Desbruyeres, Damien"",""Fennel, Katja"",""Fer, Ilker"",""Ferrari, Raffaele"",""Forget, Gael"",""Freeland, Howard"",""Fujiki, Tetsuichi"",""Garabato, Alberto Naveira"",""Gehlen, Marion"",""Greenan, Blair"",""Hallberg, Robert"",""Hibiya, Toshiyuki"",""Hosoda, Shigeki"",""Jayne, Steven"",""Jochum, Markus"",""Johnson, Gregory C."",""Johnson, Kenneth"",""Kang, KiRyong"",""King, Brian"",""Kolodziejczyk, Nicolas"",""Kortzinger, Arne"",""Le Traon, Pierre-Yves"",""Lenn, Yueng-Djern"",""Maze, Guillaume"",""Mork, Kjell Arne"",""Morris, Tamaryn"",""Moum, James"",""Nagai, Takeyoshi"",""Nash, Jonathan"",""Oke, Peter"",""Olsen, Are"",""Owens, W. Brechner"",""Pattabhi, Rama Rao"",""Pouliquen, Sylvie"",""Prakash, Satya"",""Purkey, Sarah"",""Riser, Stephen"",""Roemmich, Dean"",""Scanderbeg, Megan"",""Schmechtig, Catherine"",""Schmid, Claudia"",""Shroyer, Emily"",""Sterl, Andreas"",""Suga, Toshio"",""Sutton, Philip"",""Talley, Lynne"",""Tanhua, Toste"",""Thierry, Virginie"",""Thomalla, Sandy"",""Toole, John"",""Troisi, Ariel"",""Trull, Thomas W."",""Turton, Jon"",""Velez-Belchi, Pedro Joaquin"",""Walczowski, Waldemar"",""Wang, Haili"",""Wanninkhof, Rik"",""Waterhouse, Amy F."",""Waterman, Stephanie"",""Watson, Andrew"",""Wijffels, Susan"",""Wilson, Cara"",""Wong, Annie P. S."",""Xu, Jianping"",""Yasuda, Ichiro"",""Zilberman, Nathalie"",""d'Ortenzio, Fabrizio""}",10.3389/fmars.2019.00439,{},included,NA
Remote Sensing Agricultural Crop Type For Sustainable Development In South Africa,"Effective water resource management improves food production and consents scare water resources, especially in developing countries such as South Africa. The goal of this project was to assist the Republic of South Africa Department of Water Affairs & Forestry to identify a cost-effective remote sensing methodology to accurately measure and monitor agricultural land use for National Water Act water management purposes. The most accurate results were obtained using object-oriented image segmentation techniques applied to SPOT multispectral and panchromatic data (overall accuracy = 89.41%). Accurate classifications were also obtained using just the SPOT multispectral data (85.33%). When applied to Landsat ETM+ and TM data in 2003 and 2005, the image segmentation approach out-performed all other algorithms yielding classification accuracies of 85.71% and 84. 30%, respectively. This is important because Landsat TM type data cover more geography (e.g., 185 & 185 km) than SPOT data (e.g., 60 × 60 km) and are more economical per km2. These findings are of value to the Republic of South Africa as well as other countries throughout Africa that are trying to implement National Water Acts that rely on remote sensing to provide some of the critical land cover information.",NA,NA,10.1080/10106040608542378,{},included,NA
Spatial Coverage Of Monitoring Networks: A Climate Observing System Simulation Experiment,"Observing systems consisting of a finite number of in situ monitoring stations can provide high-quality measurements with the ability to quality assure both the instruments and the data but offer limited information over larger geographic areas. This paper quantifies the spatial coverage represented by a finite set of monitoring stations by using global data-data that are possibly of lower resolution and quality. For illustration purposes, merged satellite temperature data from Microwave Sounding Units are used to estimate the representativeness of the Global Climate Observing System Reference Upper-Air Network (GRUAN). While many metrics exist for evaluating the representativeness of a site, the ability to have highly accurate monthly averaged data is essential for both trend detection and climatology evaluation. The calculated correlations of the monthly averaged upper-troposphere satellite-derived temperatures over the GRUAN stations with all other pixels around the globe show that the current 9 certified GRUAN stations have moderate correlations (r >= 0.7) for approximately 10\% of the earth, but an expanded network incorporating another 15 stations would result in moderate correlations for just over 60\% of the earth. This analysis indicates that the value of additional stations can be quantified by using historical, satellite, or model data and can be used to reveal critical gaps in current monitoring capabilities. Evaluating the value of potential additional stations and prioritizing their initiation can optimize networks. The expansion of networks can be evaluated in a manner that allows for optimal benefit on the basis of optimization theory and economic analyses.",NA,NA,10.1175/jamc-d-17-0040.1,"{""probably not""}",included,NA
Sar And Lidar Temporal Data Fusion Approaches To Boreal Wetland Ecosystem Monitoring,"The objective of this study was to develop a decision-based methodology, focused on data fusion for wetland classification based on surface water hydroperiod and associated riparian (transitional area between aquatic and upland zones) vegetation community attributes. Multi-temporal, multi-mode data were examined from airborne Lidar (Teledyne Optech, Inc., Toronto, ON, Canada, Titan), synthetic aperture radar (Radarsat-2, single and quad polarization), and optical (SPOT) sensors with near-coincident acquisition dates. Results were compared with 31 field measurement points for six wetlands at riparian transition zones and surface water extents in the Utikuma Regional Study Area (URSA). The methodology was repeated in the Peace-Athabasca Delta (PAD) to determine the transferability of the methods to other boreal environments. Water mask frequency analysis showed accuracies of 93\% to 97\%, and kappa values of 0.8-0.9 when compared to optical data. Concordance results comparing the semi-permanent/permanent hydroperiod between 2015 and 2016 were found to be 98\% similar, suggesting little change in wetland surface water extent between these two years. The results illustrate that the decision-based methodology and data fusion could be applied to a wide range of boreal wetland types and, so far, is not geographically limited. This provides a platform for land use permitting, reclamation monitoring, and wetland regulation in a region of rapid development and uncertainty due to climate change. The methodology offers an innovative time series-based boreal wetland classification approach using data fusion of multiple remote sensing data sources.",2019,"{""Brisco, Brian"",""Chasmer, Laura"",""Cobbaert, Danielle"",""Devito, Kevin"",""Hopkinson, Chris"",""Montgomery, Joshua""}",10.3390/rs11020161,{maybe?},included,NA
Mapping For Coral Reef Conservation: Comparing The Value Of Participatory And Remote Sensing Approaches,"Detailed habitat maps are critical for conservation planning, yet for many coastal habitats only coarse-resolution maps are available. As the logistic and technological constraints of habitat mapping become increasingly tractable, habitat map comparisons are warranted. Here we compare two mapping approaches: local environmental knowledge (LEK) obtained from interviews; and remote sensing analysis (RS) of high spatial resolution satellite imagery (2.0 m pixel) using object-based image analysis. For a coral reef ecosystem, we compare the accuracy of these two approaches for mapping shallow seafloor habitats and contrast their characterization of habitat area and seascape connectivity. We also explore several implications for conservation planning. When evaluated using independent ground verification data, LEK-derived maps achieved a lower overall accuracy than RS-derived maps (LEK: 66\%; RS: 76\%). A comparison of mapped habitats found low overall agreement between LEK and RS maps. The RS map identified 5.4 times more habitat edges (the border between adjacent habitat classes) and 3.7-6.4 times greater seascape connectivity. Since the spatial arrangement of habitats affects many species (e.g., movement, predation risk), such discrepancies in landscape metrics are important to consider in conservation planning. Our results help identify strengths and weakness of both mapping approaches for conservation planning. Because RS provided a more accurate estimate of habitat distributions, it would be better for conservation planning for species sensitive to fine-spatial scale seascape patterns (e.g., habitat edges), whereas LEK is more cost effective and appropriate for mapping coarse habitat patterns. Goals for maps used in conservation should be identified early in their development.",NA,NA,10.1002/ecs2.1325,{},included,NA
Monitoring Canopy Quality And Improving Equitable Outcomes Of Urban Tree Planting Using Lidar And Machine Learning,"Urban tree canopies are fundamental to mitigating the impacts of climate change within cities as well as providing a range of other important ecosystem, health, and amenity benefits. However, urban tree planting initiatives do not typically utilize data about both the horizontal and vertical dimensions of the tree canopy, despite height being a critical determinant of the quality and value of urban canopy cover. We present a novel pipeline that uses airborne LiDAR data to train a multi-task machine learning model to generate estimates of both canopy cover and height in urban areas. We apply this to multi-source multi-spectral imagery for the case study of Chicago, USA. Our results indicate that a multi-task UNet convolutional neural network can be used to generate reliable estimates of canopy cover and height from aerial and satellite imagery. We then use these canopy estimates to allocate 75,000 trees from Chicago's recent green initiative under four scenarios, minimizing the urban heat island effect and then optimizing for an equitable canopy distribution, comparing results when only canopy cover is used, and when both canopy cover and height are considered. Through the introduction of this novel pipeline, we show that including canopy height within decision-making processes allows the distribution of new trees to be optimised to further reduce the urban heat island effect in localities where trees have the highest cooling potential and allows trees to be more equitably distributed to communities with lower quality canopies.",2023,"{""Disney, Mathias"",""Francis, John"",""Law, Stephen""}",10.1016/j.ufug.2023.128115,{},included,NA
Sentinel-1 Snow Depth Retrieval At Sub-Kilometer Resolution Over The European Alps,"Seasonal snow is an essential water resource in many mountain regions. However, the spatio-temporal variability in mountain snow depth or snow water equivalent (SWE) at regional to global scales is not well understood due to the lack of high-resolution satellite observations and robust retrieval algorithms. We investigate the ability of the Sentinel-1 mission to monitor snow depth at sub-kilometer (100 m, 500 m, and 1 km) resolutions over the European Alps for 2017-2019. The Sentinel-1 backscatter observations, especially in cross-polarization, show a high correlation with regional model simulations of snow depth over Austria and Switzerland. The observed changes in radar backscatter with the accumulation or ablation of snow are used in an empirical change detection algorithm to retrieve snow depth. The algorithm includes the detection of dry and wet snow conditions. Compared to in situ measurements at 743 sites in the European Alps, dry snow depth retrievals at 500 m and 1 km resolution have a spatio-temporal correlation of 0.89. The mean absolute error equals 20 \%-30 \% of the measured values for snow depths between 1.5 and 3 m. The performance slightly degrades for retrievals at the finer 100 m spatial resolution as well as for retrievals of shallower and deeper snow. The results demonstrate the ability of Sentinel-1 to provide snow estimates in mountainous regions where satellite-based estimates of snow mass are currently lacking. The retrievals can improve our knowledge of seasonal snow mass in areas with complex topography and benefit a number of applications, such as water resource management, flood forecasting, and numerical weather prediction. However, future research is recommended to further investigate the physical basis of the sensitivity of Sentinel-1 backscatter observations to snow accumulation.",NA,NA,10.5194/tc-16-159-2022,"{validation,""probably not""}",included,NA
Vermont Global Warming Solutions Act: The Costs Of Inaction From Land Conversions,"The Vermont (VT) Global Warming Solutions Act (GWSA, 2020) sets greenhouse gas (GHG) emissions reduction targets at 26\% below 2005 by 2025, 40\% below 1990 by 2030 and 80\% below 1990 by 2050 for energy-related emissions only. Vermont's omission of GHG emissions from land conversions could result in significant costs of inaction (COI), which could hinder the state's mitigation and adaptation plans and result in climate crisis-related risks (e.g., credit downgrade). Science-based spatio-temporal data of GHG emissions from soils because of land conversions can be integrated into the conceptual framework of ""action"" versus ""inaction"" to prevent GHG emissions. The application of soil information data and remote sensing analysis can identify the GHG emissions from land conversions, which can be expressed as ""realized"" social costs of ""inaction"". This study demonstrates the rapid assessment of the value of regulating ecosystems services (ES) from soil organic carbon (SOC), soil inorganic carbon (SIC), and total soil carbon (TSC) stocks, based on the concept of the avoided social cost of carbon dioxide (CO2) emissions for VT by soil order and county using remote sensing and information from the State Soil Geographic (STATSGO) and Soil Survey Geographic Database (SSURGO) databases. Classified land cover data for 2001 and 2016 were downloaded from the Multi-Resolution Land Characteristics Consortium (MRLC) website. These results provide accurate and quantitative spatio-temporal information about likely GHG emissions, which can be linked to VT's climate action plan. A failure to considerably reduce emissions from land conversions would increase climate change costs and potential legal consequences for VT and beyond its borders.",NA,NA,10.3390/laws11030048,{},included,NA
