title,author,year,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,Quick notes,economic_method,societal_benefit,value_units,eo_data,applied_science_theme,Notes
Development of a Hydrological Telemetry System in Bago River,"Acierto, R. A. and Kawasaki, A. and Zin, W. W. and Oo, A. T. and Ra, K. and Komori, D.",2018,8952,"The paper ""Development of a Hydrological Telemetry System in Bago River"" by Acierto et al. focuses on the establishment of a telemetry system to monitor hydrological data in the Bago River basin, Myanmar. The methods used to estimate or quantify the societal benefits of satellite or Earth observation data are summarized as follows:    1. **Telemetry System Establishment**: The authors describe a participatory approach to co-establish a hydrological telemetry system involving multiple stakeholders, including local agencies responsible for water management. This system aims to enhance flood forecasting and disaster risk reduction in the flood-prone Bago River basin.    2. **Data Collection and Monitoring**: The telemetry system consists of multiple weather and water level stations, which continuously monitor parameters such as rainfall, air temperature, humidity, and water levels. Data from these stations are collected at regular intervals (e.g., every 10 minutes) and transmitted for analysis.    3. **Utilization of Satellite Data**: The study evaluates satellite rainfall estimates from two sources: the Global Precipitation Measurement (GPM) and Global Satellite Mapping of Precipitation (GSMap). It assesses the effectiveness of these satellite products in detecting rainfall events and augmenting the telemetry system's data, particularly in ungauged areas of the basin.    4. **Statistical Analysis**: A combination of descriptive statistical metrics (mean bias, root-mean-square error, Pearson correlation coefficient) and categorical statistics (Probability of Detection, False Alarm Rate, Critical Success Index, Heidke Skill Score) are employed to compare the accuracy and reliability of satellite rainfall estimates against ground truth data from the telemetry system. This analysis helps quantify the performance of satellite data in supporting local water management efforts.    5. **Integration of Data for Risk Reduction**: By combining telemetry and satellite data, the system aims to provide a comprehensive understanding of hydrological conditions, which is critical for effective flood forecasting and disaster risk management. The benefits are highlighted in terms of improved monitoring capabilities and timely access to data that can enhance decision-making for flood risk reduction.    6. **Capacity Building and Local Engagement**: The paper emphasizes the importance of local stakeholder engagement in the establishment and maintenance of the telemetry system. This participatory approach not only builds local capacity but also ensures that the data collected is relevant and utilized effectively for societal benefits.    In summary, the methods in the paper illustrate a comprehensive approach to integrating ground-based telemetry with satellite observations to enhance hydrological monitoring and flood risk management in the Bago River basin, demonstrating the societal benefits of improved data accessibility and decision-making in disaster-prone areas.",NA,1,Exclude,Does not value data,Validation/calibration but hints at usages; collaboration among stakeholders,,,,Precipitation satellite data,Water resources,
Mapping Floristic Gradients of Forest Composition Using an Ordination-Regression Approach with Landsat Oli and Terrain Data in the Central Hardwoods Region,"Adams, B. T. and Matthews, S. N. and Peters, M. P. and Prasad, A. and Iverson, L. R.",2019,14512,"The paper titled ""Mapping Floristic Gradients of Forest Composition Using an Ordination-Regression Approach with Landsat OLI and Terrain Data in the Central Hardwoods Region"" presents a novel methodology for estimating and quantifying the societal benefits of satellite or Earth observation data, particularly in the context of forest composition and management. Here’s a summary of the methods used in the study:    ### Overview of Methods  1. **Data Collection**:     - Field data was collected from 699 vegetation plots (0.04 ha each) in southeastern Ohio, representing a diverse array of forest types and conditions. The plots included both overstory and understory species, allowing for a comprehensive understanding of the forest composition.    2. **Ordination Analysis**:     - Non-metric multidimensional scaling (NMDS) was employed to reduce the dimensionality of the ecological dataset. This method transformed the complex data from field plots into a lower-dimensional space, capturing the main patterns of floristic variation across the sampled plots.    3. **Remote Sensing Data**:     - Multitemporal Landsat 8 Operational Land Imager (OLI) imagery was utilized to capture spectral reflectance, which relates to vegetation characteristics. The study also incorporated various terrain variables derived from a digital terrain model (DTM), enhancing the predictive modeling of forest composition.    4. **Regression Modeling**:     - Random Forests (RF) models were applied to relate the ordination scores (from NMDS) with the spectral and terrain data. This ensemble-learning approach was used to predict the position of each pixel in ordination space across the study area, allowing for the mapping of floristic gradients.    5. **Gradient Mapping**:     - The outputs from the RF models were transformed into RGB color composites, visually representing the floristic gradients across the landscape. Each color in the composite indicated the estimated taxonomic composition of the forest stands based on their ordination scores.    ### Estimating Societal Benefits  The methodology provides societal benefits by:  - **Informing Forest Management**: The resulting floristic gradient maps can guide management strategies aimed at forest restoration and conservation, particularly for mixed-oak ecosystems.  - **Supporting Biodiversity Conservation**: By capturing detailed floristic patterns, the approach aids in understanding and protecting biodiversity, which is essential for ecosystem resilience.  - **Enhancing Spatial Knowledge**: The study offers a spatially explicit representation of forest composition that can be applied in various ecological assessments and policy-making contexts.  - **Facilitating Climate Adaptation**: The insights gained from the gradient mapping can help in planning for species adaptation to changing climatic conditions, thereby supporting long-term ecological stability.    In conclusion, the combination of field data, satellite imagery, and advanced statistical techniques enables this study to provide a robust framework for understanding forest composition and its implications for ecological management and conservation.",NA,1,Exclude,Does not value data,"Cool methodology for classifying forest composition, but doesn't apply it.  NMDS for dim reduction, then plot to RGB for visualization�",,,,,Ecosystem conservation,
Diagnosing Irrigation Performance and Water Productivity through Satellite Remote Sensing and Secondary Data in a Large Irrigation System of Pakistan,"Ahmad, M. D. and Turral, H. and Nazeer, A.",2009,11127,"The paper ""Diagnosing Irrigation Performance and Water Productivity Through Satellite Remote Sensing and Secondary Data in a Large Irrigation System of Pakistan"" explores the application of satellite remote sensing technology to evaluate irrigation performance and water productivity in Pakistan's Rechna Doab irrigation system. The methods employed in this study to estimate or quantify the societal benefits of Earth Observation data can be summarized as follows:    ### 1. **Surface Energy Balance Algorithm for Land (SEBAL)**  - **Evapotranspiration Estimation**: The SEBAL model was applied to estimate actual evapotranspiration (ETA) using satellite imagery from MODIS (Moderate Resolution Imaging Spectroradiometer). This model accounts for various parameters such as net radiation, soil heat flux, and sensible heat flux, providing a pixel-by-pixel calculation of water consumption.  - **Calibration and Validation**: The model was validated against field instruments (e.g., weighing lysimeter, scintillometer, Bowen ratio, and eddy-correlation towers), with the results indicating high accuracy (errors of 5-16% depending on the scale).    ### 2. **Remote Sensing Data Collection**  - **Satellite Imagery**: The study utilized cloud-free MODIS scenes covering the Rechna Doab area from April 2001 to May 2002 to gather data on land surface parameters (e.g., albedo, vegetation index).  - **Meteorological Data**: Daily weather data (temperature, humidity, wind speed) from nearby stations were integrated with satellite data to enhance the accuracy of evapotranspiration estimates.    ### 3. **Performance Indicators**  - **Equity, Adequacy, and Reliability**: Remote sensing-based indicators were created to evaluate irrigation performance, specifically focusing on equity (fair distribution of water), adequacy (sufficiency of water supply), and reliability (consistency of water availability).  - **Water Productivity**: The study defined water productivity as the gross value of production (GVP) per unit of actual evapotranspiration, allowing for an assessment of agricultural efficiency at various irrigation subdivisions.    ### 4. **Data Integration and Analysis**  - **Secondary Data Utilization**: The study combined remote sensing data with secondary agricultural statistics (such as crop area, production, and prices) obtained from government sources to provide a comprehensive analysis of water use and productivity.  - **Geographic Information Systems (GIS)**: GIS was employed to analyze spatial and temporal variations in evapotranspiration and to compute water productivity across different administrative units of the irrigation system.    ### 5. **Sustainability Assessment**  - **Groundwater Consumption Analysis**: The study assessed groundwater consumption patterns and their impact on sustainability, considering factors like groundwater quality and the risk of salinization.  - **Policy Implications**: The findings highlighted areas for potential improvement in irrigation management, particularly in terms of reallocating water resources to enhance productivity and sustainability in water-scarce regions.    ### Conclusion  The methods outlined in this study illustrate a robust application of satellite remote sensing coupled with secondary data to inform irrigation management and agricultural productivity. This approach provides valuable insights for policymakers and managers aiming to optimize water use in agriculture, especially in regions facing water scarcity and climate change challenges. The use of SEBAL and remote sensing technologies enables the systematic monitoring of irrigation performance, facilitating evidence-based decision-making for sustainable water resource management.",NA,1,Include,,"Uses RO data in conjunction with others to improve understanding of water consumption; this allows deeper understandings of patterns of water use equity and sustainability.  The value is in the improvement in understanding - there's no decision analyzed in the paper, but reduction in uncertainty around these values must be worth something...  do they actually quantify the improvement in uncertainty though?",,"water use equity, sustainability",land/water productivity,modis,Water resources,
Assessment of the Utility of Remote Sensing Techniques for Monitoring Compliance with Direct Payment Programs,"Ahn, H. and Ryu, J. H. and Lee, K.",2023,4759,"The paper titled ""Assessment of the Utility of Remote Sensing Techniques for Monitoring Compliance with Direct Payment Programs"" evaluates the effectiveness of remote sensing technologies, particularly satellite imagery, in monitoring agricultural compliance with public-interest direct payment programs in South Korea. The authors highlight the inefficiencies of traditional on-site inspections and propose remote sensing as a solution to enhance monitoring efficiency.    ### Key Methods Used in the Study:    1. **Satellite Imagery Acquisition**: The authors utilized satellite images from the PlanetScope satellite during the farming season in Gimje and Hapcheon, South Korea. These images were critical for analyzing vegetation indices and spatial variations in cultivated areas.    2. **Vegetation Indices**: The study employed the Normalized Difference Vegetation Index (NDVI) to assess vegetation health and to differentiate between cultivated and uncultivated land. NDVI is calculated using the formula:     \[     NDVI = \frac{\rho_{NIR} - \rho_{red}}{\rho_{NIR} + \rho_{red}}     \]     where \( \rho_{NIR} \) is the reflectance in the near-infrared band and \( \rho_{red} \) is the reflectance in the red band. NDVI values range from -1 to +1, with higher values indicating healthier vegetation.    3. **Coefficient of Variation (CV)**: The authors calculated the coefficient of variation of NDVI values within specific areas to assess the spatial variability of vegetation. This metric helps in identifying mixed-crop areas or facilities interspersed within agricultural land.    4. **Ground Truth Validation**: The study included validation against on-site inspection data to ensure the accuracy of the satellite-derived classifications. This involved comparing the satellite observations with the actual land use as determined through field inspections.    5. **Area Detection Parameters**: The authors established minimum area detection standards based on the spatial resolution of the satellite imagery (3.7 meters). They defined a threshold of 5 × 5 pixels (225 m²) for analyzing farmland to ensure a reliable assessment of compliance.    6. **Comparison of Mapping Techniques**: The research compared the effectiveness of satellite-derived farm maps against traditional cadastral maps to highlight differences in accuracy and utility for compliance monitoring.    7. **Case Studies**: The authors conducted specific case studies in the agricultural regions of Gimje and Hapcheon. They analyzed compliance rates and the ability to detect issues based on NDVI and CV results, providing a quantitative assessment of the remote sensing approach.    ### Conclusion:  The study concluded that remote sensing techniques, particularly the use of satellite imagery and vegetation indices like NDVI, can significantly improve the efficiency and effectiveness of compliance monitoring for direct payment programs. It emphasized the potential for future satellite missions to enhance monitoring capabilities further, especially for strategic crop subsidy applications.",NA,1,Exclude,not in English!,"Bummer, this would probably have been a good one - imrpovement in operational efficiency.",,,,,,
Wetland Landscape Spatio-Temporal Degradation Dynamics Using the New Google Earth Engine Cloud-Based Platform: Opportunities for Non-Specialists in Remote Sensing,"Alonso, A. and {Munoz-Carpena}, R. and Kennedy, R. E. and Murcia, C.",2016,11917,"The paper titled ""Wetland landscape spatio-temporal degradation dynamics using the new Google Earth Engine cloud-based platform: opportunities for non-specialists in remote sensing"" discusses the application of Google Earth Engine (GEE) to analyze the spatio-temporal dynamics of wetland degradation in the Tempisque watershed, Costa Rica. Here’s a summary of the methods used, particularly those for estimating or quantifying the societal benefits of satellite or Earth Observation data:    ### Methods Overview:    1. **Data Acquisition and Preprocessing**:     - The authors utilized satellite imagery from Landsat and MODIS as primary data sources, leveraging the extensive archives available through GEE. They focused on generating time series of the Normalized Difference Vegetation Index (NDVI), which serves as an indicator of vegetation health and cover.    2. **Google Earth Engine (GEE)**:     - GEE is highlighted as a powerful cloud-based platform that democratizes access to remote sensing data, enabling users without advanced remote sensing expertise to perform complex geospatial analyses. The platform provides access to petabytes of publicly available satellite data and facilitates the processing of these datasets in the cloud, which eliminates the need for extensive local computing resources.    3. **NDVI Calculation**:     - NDVI was computed using the formula:       \[ NDVI = \frac{NIR - Red}{NIR + Red} \]     - The authors compared NDVI values derived from various collections of Landsat and MODIS data to identify which datasets provided the best quality results for their specific study area.    4. **Temporal Analysis**:     - The study involved generating time series of NDVI values spatially aggregated over various polygons defined within the watershed. This spatial aggregation allows for the analysis of vegetation dynamics over time, which is crucial for understanding wetland health and degradation.    5. **Cloud Contamination Filtering**:     - A significant challenge addressed was the noise caused by cloud cover in satellite images. The authors implemented a three-step approach to filter out images with excessive cloud cover and to mask pixels affected by clouds, allowing for more accurate NDVI time series.    6. **Long-term Monitoring**:     - The authors emphasized the importance of long-term monitoring of vegetation change as a means to inform restoration and management programs. They discussed how historical satellite data can reveal trends and patterns in wetland health that are critical for adaptive management strategies.    7. **Socio-Economic and Environmental Covariates**:     - In addition to NDVI, the study aimed to explore causal relationships between vegetation responses and various socio-economic and environmental covariates. This involves linking vegetation dynamics to factors such as hydrology, climate, and human land use practices.    8. **Outcome Evaluation**:     - The paper discusses the implications of the observed vegetation changes and how they relate to human impacts on the ecosystem, particularly through the lens of wetland degradation and restoration potential.    ### Societal Benefits:  The societal benefits estimated or quantified through this methodology include:  - **Enhanced Understanding of Ecosystem Dynamics**: By mapping and analyzing vegetation changes over time, the study provides insights into how human activities impact wetlands, which is vital for conservation and restoration efforts.  - **Informing Policy and Management Decisions**: The findings can guide policymakers and land managers in making informed decisions regarding wetland management and conservation strategies.  - **Accessibility for Non-Specialists**: The use of GEE opens opportunities for engineers, scientists, and managers without advanced remote sensing knowledge to analyze and interpret satellite data, thus promoting broader participation in environmental monitoring and management.    In summary, the methods employed in this paper leverage the capabilities of Google Earth Engine to produce actionable insights on wetland health and degradation, ultimately contributing to effective management and conservation strategies that benefit society.",NA,1,Exclude,Does not value data,"Uses NDVI from MODIS and Landsat to calculate time series of vegetation dynamics, but doesn't strictly tie to societal benefits",,,,modis; landsat,Forestry,
National Forest Carbon Inventories: Policy Needs and Assessment Capacity,"Andersson, K. and Evans, T. P. and Richards, K. R.",2009,23145,"The paper ""National Forest Carbon Inventories: Policy Needs and Assessment Capacity"" by Krister Andersson, Tom P. Evans, and Kenneth R. Richards explores the importance of national forest carbon inventories in the context of climate change and the role of remote sensing technologies in these inventories. The authors aim to bridge the gap between policy makers and scientists by addressing the methods used for estimating and quantifying societal benefits from satellite or Earth Observation data.    ### Summary of Methods    1. **Overview of Carbon Inventory Approaches**: The paper provides a detailed overview of the various methods and tools for developing national-level forest carbon inventories, emphasizing the integration of remote sensing technologies. The authors highlight the significance of understanding both the capabilities and limitations of these technologies in informing policy.    2. **Remote Sensing Technologies**:     - **Types of Sensors**: The authors categorize remote sensing instruments into active (e.g., Synthetic Aperture Radar, Lidar) and passive sensors (e.g., aerial photographs, satellite imagery) based on how they collect data. They discuss the advantages and limitations of each type, focusing on factors such as spatial resolution, temporal coverage, and cost.     - **Data Integration**: The paper emphasizes the necessity of combining remote sensing data with ground-based field measurements to enhance the accuracy of carbon stock estimates. This integration allows for a comprehensive assessment of forest characteristics, including biomass density and land cover changes.    3. **Field Measurements**:     - **Allometric Equations**: The authors discuss the use of allometric equations, which correlate tree measurements (such as diameter at breast height) with biomass and carbon content. This approach allows for non-destructive estimation of carbon stocks.     - **Sampling Strategies**: The importance of stratified sampling is highlighted, as it can improve cost-efficiency and accuracy in measuring carbon stocks by focusing field measurements in areas with higher variability in carbon density.    4. **Assessment of Trade-offs**:     - The paper discusses the trade-offs involved in designing carbon inventories, particularly concerning costs, accuracy, precision, timing, and transparency. It highlights the need for policy makers to balance these factors when implementing carbon inventory systems.     - The authors suggest that frequent and timely reporting of inventory results is essential for effective policy responses, while also acknowledging the economic and logistical challenges associated with high-frequency inventories.    5. **Policy Functions Supported by Inventories**:     - The authors identify four main policy functions that national forest carbon inventories serve: reporting, policy formation, policy evaluation, and policy implementation. Each function has specific information needs that the inventory methods must address.     - The paper emphasizes that effective communication between scientists and policy makers is crucial for developing inventory approaches that meet these needs.    6. **Recommendations for Implementation**:     - The paper concludes with recommendations for improving national forest carbon inventories, including investing in capacity building, enhancing data sharing, and ensuring transparency in reporting methods. The authors advocate for the development of flexible approaches tailored to the specific contexts of different countries.    ### Societal Benefits of Satellite or Earth Observation Data  The societal benefits quantified through these methods primarily relate to enhanced understanding and management of forest carbon stocks, which are critical for mitigating climate change. By providing accurate and timely data on forest carbon dynamics, these inventories can inform policy decisions, facilitate compliance with international agreements, and support efforts to promote sustainable forest management practices. The integration of remote sensing and field data strengthens the reliability of carbon estimates, ultimately aiding in the implementation of effective climate policies and fostering global efforts to combat climate change.     In summary, the paper presents a comprehensive framework for utilizing remote sensing and field data in national forest carbon inventories, emphasizing the importance of these methods for informing climate policy and enhancing societal benefits.",NA,1,Exclude,Does not value data,"Focuses on forest carbon inventories to link policy and scientific communities.  RO is an important component, but not the main focus of the paper; additionally, the societal benefits (other than presumably carbon sequestration) are not a major focus",,,,general,Forestry,
Mapping Landscape-Scale Peatland Degradation Using Airborne Lidar and Multispectral Data,"Carless, D. and Luscombe, D. J. and Gatis, N. and Anderson, K. and Brazier, R. E.",2019,13277,"The paper titled ""Mapping landscape-scale peatland degradation using airborne lidar and multispectral data"" by Carless et al. (2019) outlines a comprehensive methodology for assessing peatland degradation through the integration of various remote sensing datasets. Here is a summary of the key methods employed, particularly those used to estimate or quantify the societal benefits of satellite or Earth Observation data:    ### Methods Overview    1. **Study Area and Data Sources**:     - The study focused on Dartmoor National Park in the UK, which features extensive blanket bogs.     - Data sources included airborne lidar (Light Detection and Ranging), Compact Airborne Spectrographic Imager (CASI) hyperspectral data, and aerial imagery, all of which provided fine-scale, large-extent information suitable for mapping peatland features.    2. **Data Processing**:     - Lidar data was processed to create a Digital Surface Model (DSM) with a 1 m resolution and a 2 cm vertical resolution.     - A ""de-trended"" lidar DSM was generated to isolate micro-topographic features without the influence of larger landscape structures.    3. **Feature Identification and Digitization**:     - Features contributing to peatland degradation were identified through visual interpretation and manual digitization in GIS software (ArcGIS).     - Specific features mapped included anthropogenic drainage ditches, peat cuttings, erosional gullies, and bare peat areas.    4. **Quantification of Degradation Features**:     - The extent of various mapped features was quantified, allowing for a detailed assessment of degradation across the landscape.     - Buffers were applied to certain features to estimate the wider ecohydrological impact. For instance, a 3 m buffer was used for drainage ditches to account for water table drawdown effects.    5. **Estimation of Ecohydrological Impact**:     - The analysis produced estimates of ecohydrological degradation by applying buffers to identified features, resulting in a total area of approximately 29 km² (9.2% of the Dartmoor peatland) identified as significantly and directly ecohydrologically degraded.     - This quantification aids in understanding the spatial extent of degradation and its implications for ecosystem services such as carbon storage, water quality, and biodiversity.    6. **Validation and Accuracy Assessment**:     - Field validation was conducted to confirm the accuracy of mapped features. The study reported validation accuracies between 67-94% for different feature types, thereby enhancing the reliability of the remote sensing-derived data.     - The validation process involved comparing mapped features against GPS coordinates collected in the field to assess locational accuracy.    7. **Societal Benefits**:     - The combined use of high-resolution remote sensing data allows for more effective monitoring and management of peatlands, which are crucial for carbon sequestration and climate regulation.     - The method provides a framework for prioritizing restoration efforts, optimizing resource allocation to areas most affected by anthropogenic activities, thereby supporting ecosystem service delivery and enhancing societal benefits.    ### Conclusions  The integration of lidar, hyperspectral data, and aerial imagery proved effective in providing a fine-scale understanding of peatland degradation. This methodology not only facilitates the identification and quantification of degradation features but also supports informed decision-making for peatland restoration and management, ultimately benefiting ecosystem services and resilience against climate change. The approach serves as a model for similar assessments in other regions, highlighting the utility of Earth Observation data in environmental management practices.",NA,1,Exclude,Does not value data,"Calibration/validation clearly shows that this method has promise, but actual decisions and/or quantifications of specific societal benefits is not made.",,,,,,
The Value of Remotely Sensed vs. Field-surveyed Habitat Structure for Predicting Bird Abundance: A Case Study in Traditional Orchards,"Chaparro, Laura and Schmieder, Klaus and Schurr, Frank M.",2022,10311,"The paper by Chaparro et al. (2022) focuses on comparing the effectiveness of remotely sensed data versus field surveys in estimating habitat structure to predict bird abundance in traditional orchards in southwestern Germany. The study employs several methods to quantify the societal benefits of satellite or Earth observation data:    1. **Study Design and Data Collection**:     - The researchers conducted bird surveys across 120 plots (1 km² each) within traditional orchards. Each plot was subdivided into 100 subplots (1 ha) where bird abundance was recorded during four visits per year over an 11-year period (2006-2017).     - Remotely sensed habitat structure data were derived from aerial photogrammetric analyses, which included tree density and height heterogeneity, while field surveys included detailed assessments of tree species density and pruning state.    2. **Species Distribution Models (SDMs)**:     - The study developed two types of SDMs: one utilizing remote sensing data (Remote Sensing SDMs) and the other using field survey data (Field Survey SDMs). Both models included climate and land use variables to assess their impacts on bird abundance.     - The models were compared through the Akaike Information Criterion (AICc) to determine how well they predicted bird abundance with and without habitat structure data.    3. **Model Performance Evaluation**:     - The effectiveness of the models was evaluated by analyzing the improvement in predictive power when incorporating habitat structure data. The researchers specifically examined the partial R² values to quantify the contribution of each variable class (climate, land use, remote sensing, and field survey variables) to the models' explanatory power.    4. **Comparative Analysis**:     - The study highlighted the different impacts of remotely sensed versus field-surveyed variables on model performance. The inclusion of remotely sensed variables generally improved the models for most bird species, while field-surveyed variables showed more variability in their effect.     - Additionally, the analysis identified specific habitat structure variables that were particularly important for predicting bird abundance. For example, overall tree density from remote sensing data had a strong positive effect, while pear tree density from field surveys showed a unimodal response by several bird species.    5. **Conservation Implications**:     - The findings suggest that remote sensing data can be a valuable tool for monitoring habitat structure and informing conservation strategies, especially when traditional field surveys are challenging due to resource constraints.     - The study also emphasizes the need for future remote sensing techniques to focus on capturing key habitat characteristics that are critical for bird conservation, thus demonstrating the societal benefits of utilizing such data in ecological research and biodiversity management.    In summary, the methods employed in the study effectively leverage both remote sensing and field surveys to understand and predict bird abundance based on habitat structure, highlighting the potential of satellite data in ecological modeling and conservation efforts.",NA,1,Exclude,Does not value data,"Validates remote sensing as a way to predict bird abundance vs. field-survey data.  But, leaves ""conservation implications"" in purely conceptual terms.  RO and field survey data adds ""habitat structure"" info to climatic and land use variables.",,,,aerial photographs,Ecosystem conservation,
Revisiting the Environmental Kuznets Curve for City-Level Co2 Emissions: Based on Corrected Npp-Viirs Nighttime Light Data in China,"Chen, Hongxing and Zhang, Xiaoling and Wu, Rongwei and Cai, Tianyi",2020,17192,"The paper titled ""Revisiting the Environmental Kuznets Curve for City-Level CO2 Emissions: Based on Corrected NPP-VIIRS Nighttime Light Data in China"" by Hongxing Chen et al. employs several key methods to estimate and quantify societal benefits associated with satellite or Earth observation data, specifically focusing on carbon dioxide (CO2) emissions in China. Below is a summary of the methods used in the research:    1. **Data Collection**: The study utilizes corrected nighttime light (NTL) data from the NPP-VIIRS (National Polar-orbiting Partnership - Visible Infrared Imaging Radiometer Suite) for the years 2015 and 2016. This dataset is combined with additional socio-economic indicators (e.g., GDP per capita, urbanization rate, industrial structure) and energy consumption statistics from provincial and city-level statistical yearbooks.    2. **CO2 Emissions Estimation**: The authors employ a top-down method to allocate CO2 emissions derived from energy consumption. The estimation of provincial and city-level CO2 emissions utilizes a formula that incorporates various energy types and their corresponding emission factors. This method is positioned as more feasible and reliable compared to traditional methods that largely rely on statistical data.    3. **Modeling Approaches**: The study applies the STIRPAT (Stochastic Impacts by Regression on Population, Affluence, and Technology) model to explore the relationship between economic growth and CO2 emissions. The model includes variables such as population density, urbanization rate, and investment in fixed assets to understand their impact on carbon emissions.    4. **Spatial Econometric Analysis**: To examine the Environmental Kuznets Curve (EKC) at the city level, the study incorporates spatial econometric models, specifically the Spatial Lag Model (SLM) and Spatial Error Model (SEM). These models account for spatial dependence in CO2 emissions across neighboring cities, which is critical for accurate estimation.    5. **Hot Spot and Cold Spot Analysis**: The authors conduct spatial analysis to identify areas with high (hot spots) and low (cold spots) CO2 emissions. This analysis helps visualize the geographical distribution of emissions and indicates regions that may require targeted emissions reduction strategies.    6. **Testing the EKC Hypothesis**: The study tests the EKC hypothesis using the relationship between urban economic development (measured by GDP per capita) and CO2 emissions. The results suggest an inverted U-shape relationship, indicating that as cities develop, CO2 emissions initially increase before reaching a turning point, after which emissions begin to decline.    7. **Visualization and Mapping**: The study employs GIS tools (ArcGIS) to visualize the spatial distribution of CO2 emissions, providing a clear depiction of emissions across various provinces and cities in China.    8. **Correlation and Validation**: The authors validate their CO2 estimation method by comparing estimated emissions against statistical data, achieving a high correlation (R² values) between the two, which reinforces the credibility of their approach.    The societal benefits of using satellite or Earth observation data, as highlighted in the paper, include enhanced understanding of city-level emissions, better-informed policy-making for emissions reductions, and the ability to visualize and target high-emission areas for more effective environmental management. This approach is significant for addressing the challenges posed by climate change in urban settings.",NA,1,Exclude,Does not value data,"Estimates CO2 emissions from VIIRS night light data, and looks for a Kuznets inflection point at which increasing wealth starts to lead to reduced pollution (and doesn't find that inflection point).  BUT: no decisions, no quantification of societal benefits.",,,,VIIRS,Carbon,
The Role of Remote Sensing in the Development of Smart Indicators for Ecosystem Services Assessment,"Dawson, T. P. and Cutler, M. E. J. and Brown, C.",2016,11499,"The paper ""The role of remote sensing in the development of smart indicators for ecosystem services assessment,"" authored by Terence P. Dawson, Cutler M. E. J., and Chloe Brown, focuses on utilizing remote sensing technologies to develop indicators that can effectively monitor ecosystem services and assess the health of ecosystems. The methods employed in the paper can be summarized as follows:    ### Overview of Methods    1. **SMART Framework**:     - The authors use the SMART criteria (Specific, Measurable, Achievable, Realistic, Time-sensitive) to guide the development of indicators for ecosystem services. This framework helps in defining clear monitoring and management goals for ecosystem health.    2. **Remote Sensing Data**:     - The paper emphasizes the use of various remote sensing technologies, including satellite imagery and airborne sensors, to collect data on multiple spatial and temporal scales. This data is crucial for monitoring ecosystem dynamics and assessing the delivery of ecosystem services.    3. **Development of Landscape Indicators**:     - Indicators derived from remote sensing data, such as vegetation indices (e.g., NDVI - Normalized Difference Vegetation Index), are explored as advanced methods for monitoring ecosystem health. These indicators facilitate comparisons across different spatial scales and ecosystems.    4. **Case Studies**:     - The paper presents three case studies to illustrate the application of remote sensing in developing indicators for specific ecosystems:       - **Tropical Forests**: The study assesses carbon storage and provisioning services in southeast Madagascar's littoral forests by combining remote sensing techniques with ecological field surveys. It uses artificial neural networks (ANNs) to predict forest basal area from Landsat imagery, reinforcing the link between forest structure and ecosystem services.       - **Synthetic Aperture Radar (SAR)**: This method is discussed for its ability to estimate biomass and carbon content in forest plantations, showcasing the utility of SAR in monitoring forest resources without being hindered by cloud cover.       - **Peatland Assessment**: The authors highlight the challenges of using remote sensing in mapping peatland habitats but also discuss advancements in high-resolution satellite sensors that can effectively capture habitat fragmentation and degradation.    5. **Methodological Challenges**:     - The authors acknowledge limitations in remote sensing, particularly regarding the detection of certain organisms and ecosystem processes. They propose the integration of remote sensing data with ecosystem process models and ground-based observations to enhance the accuracy and reliability of indicators.    6. **Future Directions**:     - The paper discusses the potential of emerging remote sensing technologies (e.g., hyperspectral and lidar) to further refine indicators of ecosystem services. It emphasizes the need for standardized products to ensure consistency and comparability in remote sensing data.    ### Conclusion  The authors conclude that while remote sensing offers significant advantages for monitoring ecosystem services, including the ability to provide broad-scale and timely data, there are still challenges that need to be addressed. The development of robust indicators through remote sensing, coupled with ground validation, holds promise for enhancing the understanding and management of ecosystem services. The integration of advanced technologies and methodologies will be crucial for future research and application in this field.",NA,1,Exclude,Does not value data,"Shows that various RO data (LandSat, SAR, WorldView2) can be useful in detecting/observing state of environmental biodiversity (forest/carbon storage, forest biomass/carbon, and peat bogs respectively), they don't actually attempt to quantify the added value.",,,,"landsat, sar, worldview",Carbon,
