title,author,year,key,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,quick_notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Remote Sensing Capabilities for Observational Drought Assessment,"Abdollahi, K. and Eslami, Z.",2023,abdollahi_remotesensingcapabilitiesobservational_2023,12153,"The paper explores the societal benefits of satellite or Earth observation (EO) data, specifically in the context of drought monitoring. The authors employ various remote sensing (RS) techniques to assess drought conditions through the analysis of spatiotemporal changes in hydrological variables like precipitation, soil moisture, evapotranspiration, and land surface temperature. They utilize both active and passive RS methods to derive data from different sources, including satellites and ground-based sensors.    Key methodologies include drought object modeling (DOM), which converts RS images into geographic phenomena for better interpretation. The authors also employ statistical algorithms for pixel classification, enhancing the identification of drought conditions. Remote sensing products, such as leaf area index and snow cover measurements, are integrated to quantify vegetation health and water availability.    The analysis emphasizes the advantages of RS data over traditional ground measurements, including broader spatial coverage and more frequent data collection. The authors advocate for the integration of RS data with in-situ measurements and hydrological models to improve drought assessment accuracy and support effective water resource management, thereby highlighting the critical role of EO data in mitigating societal impacts of drought.",NA,1,exclude,review,,,,,,,
Centers for Space Science and Technology Education - a United-Nations Initiative,"ABIODUN, {\relax AA",1993,abiodun_centersspacesciencetechnology_1993,4664,"The paper by Adigun Ade Abiodun discusses the establishment of regional centers for space science and technology education under a United Nations initiative, aimed at enhancing the capacity of developing countries to utilize satellite and Earth Observation data for environmental management and resource harnessing. The methodology focuses on educational and training programs designed to build local expertise in remote sensing technologies.     Key methods include conducting workshops and training courses to develop skills among educators and researchers in remote sensing, satellite meteorology, and environmental information systems. The curriculum emphasizes in-depth education and research, integrating remote sensing into local practices and policies. The centers will also engage in pilot projects to apply learned skills in real-world contexts, thereby facilitating knowledge transfer and practical application of Earth Observation data.     Moreover, the paper highlights the importance of establishing a professional approach to environmental information systems, where education and long-term capacity building are prioritized over short-term training. This comprehensive educational framework is intended to empower nations to effectively manage their natural resources and address global environmental issues, ultimately quantifying the societal benefits of satellite data through improved local practices and sustainable development initiatives.",NA,1,exclude,data is not valued,"proposes centres to promote space science & tech ed, but doesn't get down to the value of the ESI",,,,,,
Sebu: A Novel Fully Automated Google Earth Engine Surface Energy Balance Model for Urban Areas,"Abunnasr, Yaser and Mhawej, Mario and Chrysoulakis, Nektarios",2022,abunnasr_sebuautomatedgoogleearth_2022,14560,"The paper presents a novel automated Surface Energy Balance model for urban areas (SEBU), leveraging satellite data from sources like Landsat, MODIS, and Sentinel-1, accessed via Google Earth Engine (GEE). The model generates monthly spatially-distributed estimates of turbulent sensible (qh) and latent heat (qe) at a resolution of 100 meters.    SEBU addresses the complexity and input requirements of existing models by employing an innovative ""hot/cold pixels"" approach, commonly used in agricultural settings, and integrates dynamic internal calibrations to enhance accuracy. The model's robustness is validated through comparisons with ground-based flux tower measurements across diverse urban environments and climates—cold (Denver), arid (Phoenix), warm (Heraklion), and equatorial (Singapore).    Key methods include calculating reference evapotranspiration using the Penman-Monteith formula, retrieving satellite-derived variables (e.g., NDVI, land surface temperature), and employing automatic hot/cold pixel identification to refine qh and qe estimations. The model outputs were calibrated against field data, yielding mean absolute errors of 6.13 W/m² for qe and 14.46 W/m² for qh, demonstrating its potential for timely urban climate information dissemination beneficial to researchers and policymakers alike.",NA,1,,,"""Policy makers and even local dwellers would then benefit from their findings.""",,,,,,
"Trends and Projections Analysis of Precipitation and Temperature Data Using Ccsm4 and Gsmap\_nrt: Case Study in Sohar, Sultanate of Oman","Afandy, M. and Alamrani, A. and Ibrahim, O. and Maghawry, S. A.",2023,afandy_trendsprojectionsanalysisprecipitation_2023,5263,"The paper employs a mixed-methods approach to evaluate and correct satellite-derived precipitation and temperature data from GSMap_NRT and CCSM4 models against ground station observations in Sohar, Oman. The methodology consists of qualitative and quantitative validation techniques.     Qualitative assessments involve comparing satellite estimations with actual rainfall data from the Majis ground station, focusing on how closely the two datasets align. Quantitative validation uses statistical indices to measure the accuracy of the satellite data, including relative bias, mean error, Nash-Sutcliffe efficiency, root mean square error, and coefficient correlation.    To improve satellite data reliability, the authors conduct a correction process using the correlation between satellite and ground-based measurements, particularly addressing overestimations in summer rainfall. The study also assesses the performance of GSMap_NRT's capability to detect precipitation events through metrics such as probability of detection (POD) and false alarm ratio (FAR). The results highlight the necessity for further enhancement of satellite data quality due to discrepancies in rainfall and temperature estimates, particularly in arid regions like Oman, which are vulnerable to climate change impacts.",NA,1,,,,,,,,,
Predicting Poverty Index Using Deep Learning on Remote Sensing and Household Data,"Agarwal, P. and Garg, N. and Singh, P.",2019,agarwal_predictingpovertyindexdeep_2019,4653,"The paper employs a deep learning approach to estimate poverty indices using satellite and household survey data. Specifically, it utilizes a Convolutional Neural Network (CNN), specifically the Inception Net-V3 model, which is pretrained on the ImageNet dataset. The methodology involves three main phases:     1. **Model Training**: Daylight images and nightlight intensity data are sourced from publicly available datasets, including Google Static Maps API and the DMSP-OLS dataset. The CNN is fine-tuned to predict nightlight intensity based on these daylight images, creating a feature vector for further analysis.    2. **Wealth Score Estimation**: The extracted features from the CNN are processed alongside demographic health survey (DHS) data to compute a cluster-level wealth score using Ridge regression, which helps mitigate overfitting due to limited training data.    3. **Prediction**: The model predicts poverty levels across 28,393 clusters, achieving a Pearson correlation coefficient of 0.73 and an R-squared value of 0.54, indicating a substantial correlation between the predicted and actual wealth scores.     This method demonstrates the potential of leveraging remote sensing data and machine learning to inform policy-making aimed at poverty alleviation.",NA,1,,,,,,,,,
Operational Evaluation of a Wildfire Air Quality Model from a Forecaster Point of View,"Ainslie, Bruce and So, Rita and Chen, Jack",2022,ainslie_operationalevaluationwildfireair_2022,18939,"In this study, Ainslie et al. evaluate the performance of the Wildfire Air Quality Model (FAQM) using two distinct user perspectives: those who take forecasts at face value and those who integrate them with other information sources. The evaluation involved a user survey to identify key metrics and user needs, revealing a focus on short-term (24-hour) forecasts that would trigger air quality advisories. The researchers created gridded PM2.5 concentration fields using machine learning to downscale satellite and meteorological data, thereby providing a reliable dataset for performance assessment over three wildfire seasons (2016–2018) in Western Canada.    For users taking forecasts at face value, model performance was quantified using the Pierce Skill Score (PSS), while for those using forecasts as supplementary information, the Divergence Skill Score (DSS) was applied, calculated through binomial regression to convert forecasts into event probabilities. The study found that while the FAQM did not outperform a simple persistence model when taken at face value, it was superior when considered as an information source. This dual evaluation framework highlights the importance of context in assessing the societal benefits of operational forecasting models.",NA,1,,,,,,,,,
"Advances in Remote Sensing of Coastal Wetlands: Lidar, Sar, and Object-Oriented Case Studies from North Carolina","Allen, T. R.",2014,allen_advancesremotesensingcoastal_2014,11733,"The paper employs various remote sensing technologies, including Light Detection and Ranging (LiDAR) and Synthetic Aperture Radar (SAR), to estimate and quantify societal benefits derived from coastal wetlands. It presents multiple case studies from North Carolina, focusing on advanced image processing methods such as object-based image analysis (OBIA) and multi-sensor integration to enhance the accuracy of wetland mapping and monitoring.     The methods include the use of multi-date SAR and LiDAR imagery for mapping salt marshes, which aids in understanding their ecological functions such as carbon sequestration and storm surge mitigation. The study emphasizes the importance of accurate elevation mapping derived from LiDAR to predict wetland responses to sea-level rise.     Moreover, it highlights the integration of various data sources to improve the framework for monitoring invasive species like Phragmites australis and the overall health of wetland ecosystems. By employing robust classification algorithms, the research aims to provide timely information for resource management, thereby enhancing the societal benefits of wetlands, which include habitat provision for wildlife, water filtration, and carbon storage.",NA,1,,,,,,,,,
Bioclimatic Variables from Precipitation and Temperature Records vs. Remote Sensing-Based Bioclimatic Variables: Which Side Can Perform Better in Species Distribution Modeling?,"Amiri, Mohadeseh and Tarkesh, Mostafa and Jafari, Reza and Jetschke, Gottfried",2020,amiri_bioclimaticvariablesprecipitationtemperature_2020,12397,"The paper compares the effectiveness of bioclimatic variables derived from traditional precipitation and temperature records against those obtained from remote sensing in species distribution modeling (SDM) for *Artemisia sieberi* in Central Iran. Two scenarios were analyzed: Scenario I utilized historical meteorological data, while Scenario II relied on remote sensing data from MODIS and the Persian algorithm for precipitation. The study employed five SDM techniques: Generalized Linear Model (GLM), Random Forest (RF), Classification Tree Analysis (CTA), Multivariate Adaptive Regression Splines (MARS), and Maximum Entropy (MaxEnt).    To evaluate the performance of both scenarios, the authors calculated various bioclimatic variables over the period from 2001 to 2017. They conducted independent sample t-tests on the area under the curve (AUC) ratios to assess the predictive accuracy of the models, finding that remote sensing-derived variables produced significantly better predictions (p < .01). The results underscored the importance of using up-to-date remote sensing data for improving the accuracy of SDMs, emphasizing their role in ecological management and conservation strategies. The findings suggest that remote sensing can effectively fill gaps in traditional data, particularly in areas with limited meteorological coverage.",NA,1,,,,,,,,,
Use of Remote Sensing and Gis for Identifying Tanks and Rehabilitation Benefits to the Rural Areas,"Anand, S. and Kakumanu, K. R. and Amarasinghe, U. A.",2019,anand_remotesensinggisidentifying_2019,9691,"The study employs remote sensing (RS) and geographical information systems (GIS) to assess and quantify the societal benefits of small tank rehabilitation for water security in the Bhadrachalam catchment of the Godavari River Basin, India. The methodology involves identifying potential tank locations through multi-temporal satellite imagery, specifically Landsat 8, to delineate water spread areas pre- and post-monsoon.     Key steps include atmospheric correction of satellite images, image processing to classify land cover using techniques such as the Modified Normalized Difference Water Index (MNDWI) and Principal Component Analysis (PCA), and unsupervised classification (ISODATA) to enhance water features. The study then conducts a cost-benefit analysis (CBA) across different scenarios to evaluate the economic viability of tank rehabilitation, incorporating factors such as increased agricultural yield, area under cultivation, and maintenance costs.     Field surveys and focus group discussions capture local farmers’ perceptions regarding tank conditions and management, enhancing the findings with qualitative data. Overall, the analysis demonstrates that tank rehabilitation not only improves water security but also fosters economic benefits for rural communities, highlighting the importance of integrated water management strategies.",NA,1,,,,,,,,,
Mapping of Potential Fuel Regions Using Uncrewed Aerial Vehicles for Wildfire Prevention,"Andrada, Maria Eduarda and Russell, David and {Arevalo-Ramirez}, Tito and Kuang, Winnie and Kantor, George and Yandun, Francisco",2023,andrada_mappingpotentialfuelregions_2023,14839,"The study employs a comprehensive methodology to assess the societal benefits of satellite and Earth Observation data through the use of uncrewed aerial vehicles (UAVs) for wildfire prevention. The research involves the design of a custom UAV payload equipped with various sensors, including Light Detection and Ranging (LiDAR), cameras, a Global Navigation Satellite System (GNSS), and an Inertial Measurement Unit (IMU). The UAV utilizes simultaneous localization and mapping (SLAM) techniques, specifically Fast LiDAR-Inertial Odometry with Scan Context (FastLIoSC) and LiDAR-Inertial Odometry Smoothing and Mapping (LIOSAM), to ensure accurate pose estimation and map generation in dynamic forest environments.    Fuel mapping is achieved through semantic segmentation, which classifies vegetation types based on the USDA fire behavior fuel model. The integrated system provides real-time representations of forest fuel properties, facilitating targeted wildfire prevention measures. The effectiveness of the UAV system is validated through extensive field tests, demonstrating its reliability in accurate data collection and mapping. The study highlights the potential societal benefits of utilizing UAVs and Earth Observation data for efficient forest management and conservation efforts, ultimately contributing to enhanced wildfire prevention strategies.",NA,1,,,,,,,,,
