title,author,year,abstract,key,include,src,notes
A Generic Self-Supervised Learning (Ssl) Framework For Representation Learning From Spectral-Spatial Features Of Unlabeled Remote Sensing Imagery,"Zhang, Xin and Han, Liangxiu",2023,"Remote sensing data has been widely used for various Earth Observation (EO) missions such as land use and cover classification, weather forecasting, agricultural management, and environmental monitoring. Most existing remote-sensing-data-based models are based on supervised learning that requires large and representative human-labeled data for model training, which is costly and time-consuming. The recent introduction of self-supervised learning (SSL) enables models to learn a representation from orders of magnitude more unlabeled data. The success of SSL is heavily dependent on a pre-designed pretext task, which introduces an inductive bias into the model from a large amount of unlabeled data. Since remote sensing imagery has rich spectral information beyond the standard RGB color space, it may not be straightforward to extend to the multi/hyperspectral domain the pretext tasks established in computer vision based on RGB images. To address this challenge, this work proposed a generic self-supervised learning framework based on remote sensing data at both the object and pixel levels. The method contains two novel pretext tasks, one for object-based and one for pixel-based remote sensing data analysis methods. One pretext task is used to reconstruct the spectral profile from the masked data, which can be used to extract a representation of pixel information and improve the performance of downstream tasks associated with pixel-based analysis. The second pretext task is used to identify objects from multiple views of the same object in multispectral data, which can be used to extract a representation and improve the performance of downstream tasks associated with object-based analysis. The results of two typical downstream task evaluation exercises (a multilabel land cover classification task on Sentinel-2 multispectral datasets and a ground soil parameter retrieval task on hyperspectral datasets) demonstrate that the proposed SSL method learns a target representation that covers both spatial and spectral information from massive unlabeled data. A comparison with currently available SSL methods shows that the proposed method, which emphasizes both spectral and spatial features, outperforms existing SSL methods on multi- and hyperspectral remote sensing datasets. We believe that this approach has the potential to be effective in a wider range of remote sensing applications and we will explore its utility in more remote sensing applications in the future.",zhang_genericsupervisedlearningssl_2023,FALSE,class_round2,NA
Space As An Enabler In The Maritime Sector,"Papadimitriou, Angeliki and Pangalos, Katherine and Duvaux-Bechon, Isabelle and Giannopapa, Christina",2019,"Space can be used as a tool for business decision and policy makers. The maritime sector is rapidly evolving as far as business and industrial activities are concerned. Space can assist in transforming this sector through satellite navigation and positioning, telecommunications and integrated applications as well as earth observation. Additionally, space can be used as a tool in developing, implementing maritime affairs. This paper focuses on the role of space in maritime policy. Space technologies have been serving the maritime community for over fourty years. Satellite technology is becoming increasingly important for a wide range of maritime activities through enhanced navigation accuracy, marine environmental monitoring and maritime surveillance. For this reason, agreements between the European Space Agency (ESA) and the European Maritime Safety Agency (EMSA), have been signed in 2007 and 2010, strengthening the framework for cooperation between the two agencies for the use of space-based systems in support of maritime activities. The first part of the paper summarizes European maritime related policy areas where space assets can contribute to achieve their objectives. The second part of the paper addresses how ESA's initiatives and programs could contribute and support the maritime sector in Europe. The main purpose of this paper is to come up with conclusions on whether and how the use of space assets, technology and applications, can contribute in achieving the maritime policy objectives for the benefit of Europe.",papadimitriou_spaceenablermaritimesector_2019,FALSE,class_round2,NA
Structural Health Monitoring Of Oil And Gas Pipelines Through Internet Of Remote Things,"Shyamala Kumari, C. and Nivedhitha, G. and Meena, K.",2020,"Internet of Things paradigm via satellite communication acts as a great aspect inenterprising the perception for an universe which is coupled genuinely. Satellites provide wall to wall broadcasting and authenticity in all the localities including remote locations that can’t be accessed through terrestrial access networks. This indicates there is kinship in most of the secluded areas such that they can work in the atmosphere and in the sea premises, permitting their applications beyond distinct barter sections. The objective of this paper is to use IoT through satellite articulation for structural monitoring of Oil and gas pipe lines. This prototypefetches knowledge from sensors or RFID and fires management messages to actuators. In several applications, sensors and actuators are disseminated over a wide space or they may be deployed in remote areas.Satellite communication plays a distinctive role in Internet of Remote Things (IoRT) by intercommunicating among their satellite systems and the backing of IPv6 over satellite, sensors and actuators.The proposed structural health monitoring system combines satellite communication automationsandIoT to render better results than the existing techniques. In this paper, Oil and Gas pipeline monitoring will be analyzed through satellite and IoT paradigms. Intertwining global IoT networking system precisely to IoT utility through satellite broadband is increasing worldwide, which provides facilities for the usage of Wide-Area Network with relatively low power and a hybrid one (HLPWAN) to satellite portals. © 2020, Institute of Advanced Scientific Research, Inc.. All rights reserved.",shyamalakumari_structuralhealthmonitoringoil_2020,FALSE,class_round2,NA
Valuation Of Ecotourism Resources Using A Contingent Valuation Method: The Case Of The Korean Dmz,"Lee, Choong-Ki and Mjelde, James W.",2007,"The Korean Demilitarized Zone (DMZ), which has been untouched by human interference for the last half century, has become a sanctuary for rare species of animals and plants. Conflicts concerning development between communities and environmentalists are arising. Estimates of the preservation value of the DMZ are necessary for society to properly address these issues. Such estimates will help policy-makers address issues of conservation management, sustainable development, and public financial support. Given this situation, the objectives are two-fold. The primary objective of this study is to obtain estimates of the preservation value of the Korean DMZ and Civilian Control Zone (CCZ). A secondary objective is to examine the potential for hypothetic bias in respondents' answers in a contingent valuation method framework. Findings suggest hypothetical bias is present in the survey. including a real payment vehicle may reduce hypothetical bias in eliciting willingness-to-pay (WTP). Best estimates are the mean WTP is US \$ 16.74 per capita. Aggregate preservation value lies between US \$264 and \$602 million. These findings indicate that conservation of the DMZ and CCZ is not only important for moral and ecological reasons, but the DMZ and CCZ are of considerable economic value to South Koreans. Any development unfriendly to the environment will degrade the quality of the ecosystem of the DMZ, as well as, decrease its economic value. (c) 2006 Elsevier B.V. All rights reserved.",lee_valuationecotourismresourcescontingent_2007,FALSE,class_round2,NA
Review Of State-Of-The-Art Decision Support Systems (Dsss) For Prevention And Suppression Of Forest Fires,"Sakellariou, Stavros and Tampekis, Stergios and Samara, Fani and Sfougaris, Athanassios and Christopoulou, Olga",2017,"Forest ecosystems are our priceless natural resource and are a key component of the global carbon budget. Forest fires can be a hazard to the viability and sustainable management of forests with consequences for natural and cultural environments, economies, and the life quality of local and regional populations. Thus, the selection of strategies to manage forest fires, while considering both functional and economic efficiency, is of primary importance. The use of decision support systems (DSSs) by managers of forest fires has rapidly increased. This has strengthened capacity to prevent and suppress forest fires while protecting human lives and property. DSSs are a tool that can benefit incident management and decision making and policy, especially for emergencies such as natural disasters. In this study we reviewed state-of-the-art DSSs that use: database management systems and mathematical/economic algorithms for spatial optimization of firefighting forces; forest fire simulators and satellite technology for immediate detection and prediction of evolution of forest fires; GIS platforms that incorporate several tools to manipulate, process and analyze geographic data and develop strategic and operational plans.",sakellariou_reviewartdecisionsupport_2017,FALSE,class_round2,NA
A Review Of Property Rights In Outer Space From A Land Management Perspective,"de Vries, Walter Timo and Hugentobler, Urs",2021,"Purpose - In light of the discussions on outer space property management, this conceptual review paper aims to discuss and evaluate if, when and under which conditions certain land management and property right frameworks can apply to allocate and/or restrict property rights in outer space. Design/methodology/approach - This paper applies a pragmatic review approach which seeks to better understand if and how the basic tenets of the land management frameworks could better shape and revise the challenges in outer space regulations. Findings - Despite the fact that regulatory guidelines on outer space rights are existing, the analysis shows that these lack a number of practical tools and measures aiming at intervening if stakeholders do not follow the rules. With the use of land management frameworks, it is possible to derive policy options for making the outer space management more practical and action-oriented, in particular for the removal of space debris. These include amongst others more attention for formulating global public restrictions in outer space, incorporating regulatory guidelines for accessing open space regimes, addressing responsiveness and robustness in adherence and compliance to regulations Research limitations/implications - Given the conceptual and discursive character of the paper, there are no specific empirical data, yet several recommendations for further research include expanding the boundary work between the land management and regulatory outer space domain. Practical implications - The insights derived from land management and real estate related property theories could potentially provide new starting points for (re)formulating the regulatory framework for outer space property discourses. Social implications - Interpreting the outer space regulations from known and practiced land management perspective helps to bridge the policy-society knowledge and necessity gap on outer space activities. Originality/value - The specific land management perspective and discursive analysis on outer space debris provide new options for devising and extending regulatory guidelines for assigning responsibilities on outer space debris and debris rights, restrictions and responsibilities.",devries_reviewpropertyrightsouter_2021,FALSE,class_round2,NA
"A Framework For Assessing Readiness Of Satellite Assembly, Integration And Testing Organization","Lima, Isomar and Sorice Genaro, Andreia Fatima and Loureiro, Geilson and Mattiello-Francisco, Fatima and Robledo Asencio, Jenny Carolina",2022,"Purpose: The success of satellites in orbit depends on the quality of the engineering processes adopted in the development cycle of the mission. The facilities and processes provided by Assembly, Integration and Testing (AIT) laboratories support the verification and validation of satellite' systems regarding their capacities to operating into space environmental conditions. Choose an ideal AIT organization to a particular satellite project requires knowing their processes and services provided. This paper presents a framework for evaluating the services for satellite AIT provided by an AIT organization. The framework, named PRONT-AIT, allows to assess the organization's readiness based on both process areas and criteria of adherence to the stakeholder's requirements. Methodology/approach - Inspired by the CMMI model, the framework was structured in process areas, covering management and technical processes of the AIT organization, that supports 5 levels of readiness. Each readiness level expresses the organization maturity in terms of the processes and practices established to provide the services required by a particular space project. Findings - The framework's effectiveness is demonstrated through its use to assess the readiness of a particular AIT organization on meeting the specific requirements of two types of satellites: remote sensing and CubeSat satellites. The results reveal that the example organization readiness fully reached level 2 (Manageable Readiness) for remote sensing satellite and partially reached level 2 for CubeSat satellite. Originality/value - The framework has a good value to satellite project managers because it supports them on evaluating an AIT organization prior to contracting its services. Higher readiness level revealed by PRONT-AIT gives to the satellite project manager more confidence on the AIT organization capacities. Thus, an AIT organization is not chosen solely on the basis of the facilities it offers and the cost of the services but also on the level of readiness revealed by this framework.",lima_frameworkassessingreadinesssatellite_2022,FALSE,class_round2,NA
Improved Classification Of Conservation Tillage Adoption Using High Temporal And Synthetic Satellite Imagery,"Watts, Jennifer D. and Powell, Scott L. and Lawrence, Rick L. and Hilker, Thomas",2011,"Conservation tillage management has been advocated for carbon sequestration and soil quality preservation purposes. Past satellite image analyses have had difficulty in differentiating between no-till (NT) and minimal tillage (MT) conservation classes due to similarities in surface residues, and may have been restricted by the availability of cloud-free satellite imagery. This study hypothesized that the inclusion of high temporal data into the classification process would increase conservation tillage accuracy due to the added likelihood of capturing spectral changes in MT fields following a tillage disturbance. Classification accuracies were evaluated for Random Forest models based on 250-m and 500-m MODIS, 30-m Landsat, and 30-m synthetic reflectance values. Synthetic (30-m) data derived from the Spatial and Temporal Adaptive Reflectance Fusion Model (STARFM) were evaluated because high frequency Landsat image sets are often unavailable within a cropping season due to cloud issues. Classification results from a five-date Landsat model were substantially better than those reported by previous classification tillage studies, with 94\% total and >= 88\% class producer's accuracies. Landsat-derived models based on individual image scenes (May through August) yielded poor MT classifications, but a monthly increase in accuracy illustrated the importance of temporal sampling for capturing regional tillage disturbance signatures. MODIS-based model accuracies (90\% total; >= 82\% class) were lower than in the five-date Landsat model, but were higher than previous image-based and survey-based tillage classification results. Almost all the STARFM prediction-based models had classification accuracies higher than, or comparable to, the MODIS-based results (>90\% total; >= 84\% class) but the resulting model accuracies were dependent on the MODIS/Landsat base pairs used to generate the STARFM predictions. Also evident within the STARFM prediction-based models was the ability for high frequency data series to compensate for degraded synthetic spectral values when classifying field-based tillage. The decision to use MODIS or STARFM-based data within conservation tillage analysis is likely situation dependent. A MODIS-based approach requires little data processing and could be more efficient for large-area mapping; however a STARFM-based analysis might be more appropriate in mixed-pixel situations that could potentially compromise classification accuracy. (C) 2010 Elsevier Inc. All rights reserved.",watts_improvedclassificationconservationtillage_2011,FALSE,class_round2,NA
Incorporating A Constrained Optimization Algorithm Into Remote Sensing/Precision Agriculture Methodology,"Morgenthaler, GW and Khatib, N and Kim, B",2003,"For two decades now, the use of Remote Sensing/Precision Agriculture to improve farm yields while reducing the use of polluting chemicals and the limited water supply has been a major goal. With world population growing exponentially, arable land being consumed by urbanization, and an unfavorable farm economy, farm efficiency must increase to meet future food requirements and to make farming a sustainable, profitable occupation. ""Precision Agriculture"" refers to a farming methodology that applies nutrients and moisture only where and when they are needed in the field. The real goal is to increase farm profitability by identifying the additional treatments of chemicals and water that increase revenues more than they increase costs and do no exceed pollution standards (constrained optimization). Even though the economic and environmental benefits appear to be great, Remote Sensing/Precision Agriculture has not grown as rapidly as early advocates envisioned. Technology for a successful Remote Sensing/Precision Agriculture system is now in place, but other needed factors have been missing. Commercial satellite systems can now image the Earth (multi-spectrally) with a resolution as fine as 2.5 in. Precision variable dispensing systems using GPS are now available and affordable. Crop models that predict yield as a function of soil, chemical, and irrigation parameter levels have been developed. Personal computers and internet access are now in place in most farm homes and can provide a mechanism for periodically disseminating advice on what quantities of water and chemicals are needed in specific regions of each field. Several processes have been selected that fuse the disparate sources of information on the current and historic states of the crop and soil, and the remaining resource levels available, with the critical decisions that farmers are required to make. These are done in a way that is easy for the farmer to understand and profitable to implement. A ""Constrained Optimization Algorithm"" to further improve these processes will be presented. The objective function of the model will be used to maximize the farmer's profit via increasing yields while decreasing environmental damage and decreasing applications of costly treatments. This model will incorporate information from Remote Sensing, from in-situ weather sources, from soil history, and from tacit farmer knowledge of the relative productivity of selected ""Management Zones"" of the farm, to provide incremental advice throughout the growing season on the optimum usage of water and chemical treatments. (C) 2003 Published by Elsevier Science Ltd.",morgenthaler_incorporatingconstrainedoptimizationalgorithm_2003,FALSE,class_round2,NA
How Much Will Precision Nitrogen Management Pay Off? An Evaluation Based On Simulating Thousands Of Corn Fields Over The Us Corn-Belt,"Jin, Zhenong and Archontoulis, Sotirios V. and Lobell, David B.",2019,"Variable rate technology nitrogen (VRT-N) application, a precision management approach to synchronize N input with crop demand, has received increasing attention in recent years. Although existing field trials have suggested the agronomic and environmental feasibility of VRT-N adoption, the potential benefits at large scale remain a puzzle to farmers and policy-makers, partly because no tools are available for aggregated assessments. In this study, we develop a scalable framework to support large-scale precision N management by fully leveraging recent advances in crop modeling, remote sensing, and publicly available weather and soil datasets. Using this new framework, we investigated the agronomic and environmental benefits of VRT-N application for corn compared to Uniform-N application across 9 states and ca. 2600 fields in the US Corn-Belt. Our results showed that, given an Extension-reported service fee of 6.2 USD\$/ha for applying N at variable rate, the multi-year averaged mean agronomic margin of adopting VRT-N were only 6.7 \$/ha more than Uniform-N. Accounting for the environmental cost of N leaching and N2O emission increased the mean benefit of VRT-N to 26.4 \$/ha. Agronomic benefits in general increased with the yield heterogeneity in field, and the mean value was driven by a small fraction of very heterogenous fields. Additional benefits from managing the temporal variability were 29.5 \$/ha and 51.6 \$/ha on average from an agronomic and environmental perspective, respectively. Environmental benefits are considerable but are unlikely to drive farmer adoption in the absence of new incentives for precision technologies. Although various uncertainties remain to be reduced, the current framework opens opportunity to ingest future improvements in models and geospatial datasets and could serve as a foundation for other precision management practices such as seeding rate and irrigation.",jin_precisionnitrogenmanagementpay_2019,FALSE,class_round2,NA
