"id","title","abstract","authors","doi","other_fields","date_screened_t&a","t&a_status","t&a_exclusion_reasons","publication_year","tags"
7037221,"Remote Sensing Products And Services In Support Of Agricultural Public Policies In Africa: Overview And Challenges","In the last decade, governments, international institutions, donors, the private sector, etc. have shown a renewed interest in agricultural issues in Sub-Saharan Africa (SSA). This interest came with a strong need for information in countries where the lack of reliable and timely basic information can be a problem. Thanks to its capacity to observe the Earth at local, regional, and global scales and from various vantage points, satellite remote sensing is a powerful tool to streamline the monitoring and improvement of the existing systems, and thus to support decision-making. However, the path from satellite images to public policy decisions is not straightforward, and today, only few operational information services are available in SSA countries (e.g., early warning systems for food security and desert locust plagues prevention, rangeland production forecasting). This paper aims to analyze the gap between the technical aspects of the remote sensing sciences and the pragmatic need for relevant data to address agricultural policies in Africa and produce operational recommendations. To achieve this goal, the authors (1) determine the information, and in particular the geoinformation, needed to develop, implement and evaluate agricultural public policies (2) illustrate the role of remote sensing as a public policy tool in SSA through an overview of the current off-the-shelf products and services derived from Earth Observation systems, and (3) propose an analysis of the existing gap between the remote sensing research community and the policy makers. Based on this review, the authors conclude that to benefit from this technological advancement and bridge the gap between technical analysts and policy makers, some key points are fundamental: capacity building, political will and institutional commitment, public-private partnership, and proofs of concept.",NA,"10.3389/fsufs.2020.00058","{""notes"": ""('begue_remotesensingproductsservices_2020',)""}",2024-10-30 17:18:19,"included",NA,NA,"{}"
6691716,"Future earth observation strategy for societal benefits","This invited paper presents the future intelligent observing system (FIEOS) and event-driven earth observation concepts as well as their connections to societal benefits for both decision-makers and the general public. The elucidated linkage and flow of information from FIEOS to societal benefits is interoperable. With the envisioned FIEOS, this paper places an emphasis on (i) How to apply the FIEOS to increase the efficiency of monitoring natural disaster, to improve the natural disaster management, and to mitigate disasters through providing highly accurate, and reliable surveillance data for experts, analysts, and decision-makers; (ii) How to significantly increase and extend societal benefits to the future U.S. Earth observation application strategy in, for example, realtime response to time-critical events, and disastrous environmental monitoring. Therefore, this paper presents the analysis of FIEOS to society benefit in the realms: (i) reducing loss of life and property from natural and human-induced disasters, (ii) improving human health and well-being, (iii) improving wealth forecasting, (iv) supporting sustainable agriculture, and (v) serving lay people.","{""Zhou, Guoqing""}","https://doi.org/10.1109/IGARSS.2005.1526433","{}",2024-04-22 02:38:22,"included",NA,2005,"{maybe}"
6903586,"Modelling And Evaluation Of Land Use Changes Through Satellite Images In A Multifunctional Catchment: Social, Economic And Environmental Implications","Floods are recurrent phenomena with significant environmental and socio-economic impacts. The risk of flooding increases when land use changes. The objective of this research is to detect land cover changes via Sentinel-2 images in the Umia Basin (Galicia, NW Spain) in 2016-2021 and to analyse the associated flood risk. This study focuses on how forest use and nature-based solutions (NBS) can reduce the risk and hazard of flooding in cities and crops in the high-risk area. A flood simulation was performed with the land use obtained from Sentinel-2 (Observed) and three more simulations were performed changing the location of afforestation and NBS, i.e. ""S-Upstream"", ""S-Downstream"" and ""S-Total"". Finally, the environmental, economic and social impacts of the scenarios designed and estimated are analysed and discussed. Land cover change was successfully monitored with Sentinel-2 imagery. The catchment area showed noteworthy changes in land use, most notably for the category of trees, which covered 6700 ha in 2016 and 10,911 ha in 2021. However riparian vegetation decreased by almost 11\%. For the flood hazard simulations, an average reduction in peak discharge was obtained for all three scenarios (9.3\% for S-Up; 8.6\% for S-Down and 13\% for S-Total). From the economic perspective, all three scenarios show a positive net present value for the period studied. However, S-Down is the scenario with the lowest benefits (euro15,476,487), while S-Up and S-Total show better values at euro29,580,643 and euro65,158,130 respectively. However, investment cost is much higher for the S-Total scenario, and upstream actions affect the whole catchment, so S-Up is the best decision. This study concludes that the information provided by satellites is a large-scale analysis tool for small heterogeneous plots that facilitates the comprehensive analysis of a territory. This information can be incorporated into flood analysis models, facilitating simulation through the use of NBS. It has been proven that the use of reforestation upstream only is almost as beneficial as reforestation in the entire catchment and is economically more viable. This confirms that the methodology used reduces flood hazard, despite the territorial complexity, facilitating decision making on the use of NBS.",NA,"10.1016/j.ecoinf.2022.101777","{""notes"": ""('acunaalonso_modellingevaluationlandsatellite_2022',)""}",2024-09-26 00:50:29,"included",NA,NA,"{}"
6691648,"CEOS contributions to informing energy management and policy decision making using space-based Earth observations","Earth observations are playing an increasingly significant role in informing decision making in the energy sector. In renewable energy applications, space-based observations now routinely augment sparse ground-based observations used as input for renewable energy resource assessment applications. As one of the nine Group on Earth Observations (GEO) societal benefit areas, the enhancement of management and policy decision making in the energy sector is receiving attention in activities conducted by the Committee on Earth Observation Satellites (CEOS). CEOS has become the ""space arm"" for the implementation of the Global Earth Observation System of Systems (GEOSS) vision. It is directly supporting the space-based, near-term tasks articulated in the GEO three-year work plan. This paper describes a coordinated program of demonstration projects conducted by CEOS member agencies and partners to utilize Earth observations to enhance energy management end-user decision support systems. We discuss the importance of engagement with stakeholders and understanding their decision support needs in successfully increasing the uptake of Earth observation products for societal benefit. Several case studies are presented, demonstrating the importance of providing data sets in formats and units familiar and immediately usable by decision makers. These projects show the utility of Earth observations to enhance renewable energy resource assessment in the developing world, forecast space weather impacts on the power grid, and improve energy efficiency in the built environment.","{""Eckman, Richard S.""}","https://doi.org/10.1016/j.apenergy.2011.03.001","{}",2024-04-22 02:30:27,"included",NA,2012,"{}"
6659922,"Earth Observation Satellite Data In Support Of Water Management For Agriculture","The Earth Observation (EO) satellite data provided within the Copernicus Programme supports the monitoring and sustainable management of agriculture. For example, satellite data are useful for agriculture mapping, crop health monitoring, land planning, disease mitigation, crop yields estimation, precise agriculture, and sustainable irrigation water management. The identification of non-authorised water abstractions for irrigation is of high importance since the drought phenomenon is increasingly in the past decades due to climate change. This aspect is addressed by DIANA - ""Detection and Integrated Assessment of Non-authorised water Abstractions using EO"", a project funded by the European Commission in the frame of H2020 (European Union Framework Programme for Research and Innovation). The project will integrate data acquired by the Sentinel missions (Sentinel-1, Sentinel-2 and Sentinel-3) and as well Landsat and MODIS. Other types of data (meteorological, land use/land cover, digital elevation models, soil, etc.) will support the satellite data processing and the generation of value-added products. In addition, the project aims at significantly improve the monitoring and assessment of the water management policies and practices. As the project is in its initial phase, the results presented in this article are preliminary. The project will demonstrate the relevance of EO data for sustainable agriculture management and will bring societal and environmental benefits to the end users.","{""Badea, Alexandru"",""Moise, Cristian"",""Negula, Iulia Dana"",""Poenaru, Violeta""}",NA,"{}",2024-04-11 22:02:52,"included",NA,2017,"{cco}"
6863498,"The Value Of Site-Specific Information And The Environment: Technology Adoption And Pesticide Use Under Uncertainty","Remote sensing technology offers an opportunity to significantly increase the amount of site-specific information about field characteristics such as pest populations. Coupled with variable rate application technologies, this added information has the potential to provide environmental benefits through reduced pesticide applications. However, producers face a complicated adoption decision because output prices and crop yields are uncertain. A model is developed to examine the potential value of remote sensing information to pesticide applications in an option-value framework under uncertainty. Simulations suggest that remote sensing information could decrease pesticide use, but uncertainty and irreversibility are likely to limit technological adoption by farmers. Potential cost-share subsidies are discussed. (c) 2005 Elsevier Ltd. All rights reserved.","{""Coble, KH"",""Hudson, D"",""Isik, M""}","10.1016/j.jenvman.2005.01.024","{""notes"": ""('isik_sitespecificinformationenvironment_2005',)""}",2024-07-12 19:48:02,"included",NA,2005,"{}"
6863048,"Where Have All The People Gone? Enhancing Global Conservation Using Night Lights And Social Media","Conservation prioritization at large scales is complex, combining biological, environmental, and social factors. While conservation scientists now more often aim to incorporate human-related factors, a critical yet unquantified challenge remains: to identify which areas people use for recreation outside urban centers. To address this gap in applied ecology and conservation, we developed a novel approach for quantifying human presence beyond populated areas by combining social media ""big data"" and remote sensing tools. We used data from the Flickr photo-sharing website as a surrogate for identifying spatial variation in visitation globally, and complemented this estimate with spatially explicit information on stable night lights between 2004 and 2012, used as a proxy for identifying urban and industrial centers. Natural and seminatural areas attracting visitors were defined as areas both highly photographed and non-lit. The number of Flickr photographers within protected areas was found to be a reliable surrogate for estimating visitor numbers as confirmed by local authority censuses (r = 0.8). Half of all visitors' photos taken in protected areas originated from under 1\% of all protected areas on Earth (250 of 27 000). The most photographed protected areas globally included Yosemite and Yellowstone National Parks (USA), and the Lake and Peak Districts (UK). Factors explaining the spatial variation in protected areas Flickr photo coverage included their type (e.g., UNESCO World Heritage sites have higher visitation) and accessibility to roads and trails. Using this approach, we identified photography hotspots, which draw many visitors and are also unlit (i.e., are located outside urban centers), but currently remain largely unprotected, such as Brazil's Pantanal and Bolivia's Salar de Uyuni. The integrated big data approach developed here demonstrates the benefits of combining remote sensing sources and novel geo-tagged and crowd-sourced information from social media in future efforts to identify spatial conservation gaps and pressures in real time, and their spatial and temporal variation globally.","{""Crandall, David"",""Kark, Salit"",""Levin, Noam""}","10.1890/15-0113.1.sm","{""notes"": ""('levin_peopleenhancingglobalconservation_2015',)""}",2024-07-12 19:45:45,"included",NA,2015,"{}"
6669797,"Data Justice And Biodiversity Conservation","Increases in data availability coupled with enhanced computational capacities are revolutionizing conservation. But in the excitement over the opportunities afforded by new data, there has been less discussion of the justice implications of data used in conservation, that is, how people and environments are represented through data, the conservation choices made based on data, and the distribution of benefits and harms arising from these choices. We propose a framework for understanding the justice dimensions of conservation data composed of five elements: data composition, data control, data access, data processing and use, and data consequences. For each element, we suggest a set of guiding questions that conservationists could use to think through their collection and use of data and to identify potential data injustices. The need for such a framework is illustrated by a synthesis of recent critiques of global conservation prioritization analyses. These critiques demonstrate the range of ways data could serve to produce social and ecological harms due to the choice of underlying data sets, assumptions made in the analysis, oversimplification of real-world conservation practice, and crowding out of other forms of knowledge. We conclude by arguing that there are ways to mitigate risks of conservation data injustices, through formal ethical and legal frameworks and by promoting a more inclusive and more reflexive conservation research ethos. These will help ensure that data contribute to conservation strategies that are both socially just and ecologically effective. © 2022 The Authors. Conservation Biology published by Wiley Periodicals LLC on behalf of Society for Conservation Biology.","{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}","10.1111/cobi.13919","{}",2024-04-15 17:54:59,"included",NA,2022,"{cco,maybe}"
6669797,"Data Justice And Biodiversity Conservation","Increases in data availability coupled with enhanced computational capacities are revolutionizing conservation. But in the excitement over the opportunities afforded by new data, there has been less discussion of the justice implications of data used in conservation, that is, how people and environments are represented through data, the conservation choices made based on data, and the distribution of benefits and harms arising from these choices. We propose a framework for understanding the justice dimensions of conservation data composed of five elements: data composition, data control, data access, data processing and use, and data consequences. For each element, we suggest a set of guiding questions that conservationists could use to think through their collection and use of data and to identify potential data injustices. The need for such a framework is illustrated by a synthesis of recent critiques of global conservation prioritization analyses. These critiques demonstrate the range of ways data could serve to produce social and ecological harms due to the choice of underlying data sets, assumptions made in the analysis, oversimplification of real-world conservation practice, and crowding out of other forms of knowledge. We conclude by arguing that there are ways to mitigate risks of conservation data injustices, through formal ethical and legal frameworks and by promoting a more inclusive and more reflexive conservation research ethos. These will help ensure that data contribute to conservation strategies that are both socially just and ecologically effective. © 2022 The Authors. Conservation Biology published by Wiley Periodicals LLC on behalf of Society for Conservation Biology.","{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}","10.1111/cobi.13919","{}",2024-04-18 19:23:24,"included",NA,2022,"{cco,maybe}"
6691687,"Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study","On 26 December 2004, Banda Aceh in Indonesia was at the center of one of the worst natural disasters to affect mankind. Large amounts of international aid poured in to assist in the relief and reconstruction efforts. Amongst this effort, were investments in basic earth observation data from in-situ, airborne and space observations. While the use of this data is assumed to be crucial, few efforts have gone into quantifying the benefits of its acquisition. The objectives of this study were to interview a cross-section of agencies operating in Banda Aceh and across the province of Nanggroe Aceh Darussalam on the use, sources and quality of earth observation data in the relief/reconstruction effort; and to analyze and quantify the value that earth observation data brings to the relief/reconstruction effort based on the survey results and specific examples. Key findings from the interviews point to an overall improvement in the spatial data situation since the tsunami. Problems identified included insufficient training, lack of timely data and sometimes poor spatial resolution. Specific examples of the costbenefits of earth observation data were typically on the order of millions of dollars and involved large time savings.","{""McCallum, Ian""}","http://pure.iiasa.ac.at/8741/","{}",2024-04-23 22:07:54,"included",NA,2008,"{}"
7036946,"Quantitative Assessment Of Soil Condition, Basic Environmental Factors And Productivity Of Linum Usitatissimum In The Steppe Zone Of Kazakhstan Using The Remote Sensing Method","The influence of environmental factors, such as lack of water and uneven rainfall, depletion of nutrients in the soil and reduced soil fertility, planting patterns and plant density, uneven growth stages, are the main limiting factors that hinder the growth of agricultural production in arid regions. The aim of the study was to assess the potential of Sentinel-2 to quantify soil conditions, which can improve the understanding of spatiotemporal dynamics in organic agriculture in the steppe zone of Kazakhstan and improve productivity management of Linum usitatissimum. In the course of the research, the influence of individual factors of the general environmental impact, such as the influence of humidity, meteorological conditions, the content of individual nutrient components of the soil on the yield, was studied. The meteorological conditions in this region in 2021 and the data of agrochemical analysis of the soil on which the oilseed crop was grown were evaluated. Sentinel-2 satellite images were used to determine the NDVI and GNDVI indices. A high content of nitrate nitrogen (12.3-16.2 mg/kg), a very low level of available phosphorus (3-10 mg/kg), and a high content of potassium (289-420 mg/kg) were found in the soil. A low content of humus (2.68-3.31%) and sulfur (1.1-4.9 mg/kg) was found. A study of the NDVI growth index showed that the highest value was reached by the period of July 20, 2021. After this period, a decrease in the vegetation index was observed. In conditions of severe drought, this change occurred earlier than under favorable conditions, and correlated with low flax yield (1.6-6.9 c/ha). This study demonstrates the potential of Sentinel-2 for quantifying soil conditions, which not only improves our understanding of spatial-temporal dynamics and environmental components in organic agriculture in the steppe zone of Kazakhstan, but also improves the management of Linum usitatissimum productivity. © 2023, Instituto Internacional de Ecologia. All rights reserved.",NA,"10.1590/1519-6984.277283","{""notes"": ""('nugmanov_quantitativeassessmentsoilcondition_2023',)""}",2024-10-30 15:59:55,"included",NA,NA,"{}"
7036939,"A Real Options Approach To Satellite Mission Planning","Satellite missions are one instrument of Earth observation targeted at obtaining information for improved decision making in sustainable development. But satellite missions are expensive undertakings involving large sunk costs and facing uncertain benefit streams. In the area of avoiding damages through, for example, better weather forecasts or better-informed rescue missions, the benefits are high, but also difficult to quantify. Using real options to optimize the timing of the launch of a satellite enables us not only to optimize the timing of the mission, but also to derive the value that such information conveys when it can be used to reduce the extent of the damage from disasters and their consequences: with low benefit expectations or large uncertainty, launching will be postponed, so ex ante Earth observation benefit assessment is an important task. (C) 2008 Elsevier Ltd. All rights reserved.",NA,"10.1016/j.spacepol.2008.09.008","{""notes"": ""('fuss_realoptionsapproachsatellite_2008',)""}",2024-10-25 19:18:35,"included",NA,NA,"{}"
6691550,"The Value of El Niño Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment","The El Niño‐Southern Oscillation (ENSO) is the largest source of interannual variability in global climate. Variability in climate has been linked to variability in fisheries, specifically salmon stocks of the Pacific Northwest. The ability to forecast El Niño events already exists and is likely to improve in coming years. An accurate prediction may have value because it allows for better management decisions. In this article, we develop a bioeconomic model of the coho salmon fishery and derive the value of information from improved El Niño forecasting ability. We find that a perfect El Niño forecast results in an annual welfare gain of approximately $1 million, while imperfect forecasts lead to smaller gains. Results also suggest that optimal management in the face of uncertainty involves a “conservative” management strategy, resulting in lower harvest, higher wild fish escapement, and lower hatchery releases than management in the absence of such uncertainty.","{""Costello, Christopher""}","https://dx.doi.org/10.2307/1244062","{}",2024-04-25 02:28:50,"included",NA,2020,"{}"
6691642,"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR","Shifting cultivation is a dominant land-use system in Laos, and fire is the tool commonly used to clear fallow vegetation for subsequent cultivation. We assessed the feasibility of active fire data derived from the Moderate Resolution Imaging Spectroradiometer (MODIS) for monitoring fires in Laos. Specifically, we investigated the potential of the active fire data as input into monitoring, reporting and verification (MRV) systems to assess the effectiveness of measures related to Reducing Emissions from Deforestation and Forest Degradation plus the enhancement of forest carbon stocks (REDD+). Our qualitative and quantitative accuracy assessments of the fire data yielded mixed results with varying degrees of undetected fires and false detections. Hence, at IPCC Tier 3, the uncertainties inherent in the detection accuracy become too large. Active fire data can be valuable for supporting national-level MRV at Tier 2 in combination with auxiliary data for characterizing fire-dependent local land-use systems, such as shifting cultivation.","{""Müller, Daniel""}","https://doi.org/10.1007/s10745-013-9565-0","{}",2024-04-26 19:16:55,"included",NA,2013,"{}"
