"id","type_of_work","title","abstract","publication_year","authors","keywords","journal_name","doi","tags","date_screened_t&a","t&a_status","t&a_exclusion_reasons"
6862826,NA,"Where's Woolly? An Integrative Use Of Remote Sensing To Improve Predictions Of The Spatial Distribution Of An Invasive Forest Pest The Hemlock Woolly Adelgid","Non-native pests and pathogens present serious challenges to the management of forested ecosystems around the world. Early detection of pest and pathogen invasions may allow timely control and prevention methods to be implemented. Species distribution models (SDMs) and remote sensing (RS) methods have both been used effectively to determine locations of pest and pathogen damage. However, previous work integrating these two methods has rarely used RS metrics that have biological meaning. We use RS difference indices that show changes in forest cover from defoliation in order to map Hemlock Woolly Adelgid (HWA), Adelges tsugae, locations using MaxEnt in the Delaware Water Gap National Recreation Area (DWGNRA). Brightness, greenness, wetness, and Normalized Difference Vegetation Index (NDVI) were calculated from Landsat Thematic Mapper (TM) images for December 1982 and 2010. A difference for each index was created by subtracting the 1982 value from the 2010 value. We compared two models, one using difference indices and the other using 2010 indices along with other ancillary data layers, to determine if the more complicated but more biologically relevant difference indices were necessary for improved model performance. Variables with low importance were removed from both models, leaving NDVI, Wetness, soil, and elevation in the two final models. The difference model had an improvement in accuracy of three percent, across a number of threshold values. Despite this small difference in accuracy, however, the infected area predicted by the difference model (5.1\% of total area) was approximately 1/2 of that predicted by the single year model (9.6\% of total area). These results suggest that using remote sensing difference indices improves model accuracy slightly in terms of errors of omission, but also decreases predicted area of forest infestation by about 50\%, suggesting that errors of commission would be substantially reduced using the difference approach. This method can provide forest managers more accurate information on the best locations to sample and treat. (C) 2015 Elsevier B.V. All rights reserved.",2015,"{""Jones, Chris"",""Moody, Aaron"",""Song, Conghe""}","{""Hemlock Woolly Adelgid; Remote sensing; MaxEnt; Species distribution model; Wetness; NDVI""}",NA,"10.1016/j.foreco.2015.09.013","{}",2024-07-18 21:13:08,"included",NA
6691716,NA,"Future earth observation strategy for societal benefits","This invited paper presents the future intelligent observing system (FIEOS) and event-driven earth observation concepts as well as their connections to societal benefits for both decision-makers and the general public. The elucidated linkage and flow of information from FIEOS to societal benefits is interoperable. With the envisioned FIEOS, this paper places an emphasis on (i) How to apply the FIEOS to increase the efficiency of monitoring natural disaster, to improve the natural disaster management, and to mitigate disasters through providing highly accurate, and reliable surveillance data for experts, analysts, and decision-makers; (ii) How to significantly increase and extend societal benefits to the future U.S. Earth observation application strategy in, for example, realtime response to time-critical events, and disastrous environmental monitoring. Therefore, this paper presents the analysis of FIEOS to society benefit in the realms: (i) reducing loss of life and property from natural and human-induced disasters, (ii) improving human health and well-being, (iii) improving wealth forecasting, (iv) supporting sustainable agriculture, and (v) serving lay people.",2005,"{""Zhou, Guoqing""}","{""Earth|Monitoring|Intelligent systems|Intelligent sensors|Humans| Satellite broadcasting|Time factors""}",NA,"https://doi.org/10.1109/IGARSS.2005.1526433","{maybe}",2024-04-22 02:38:22,"included",NA
6862721,NA,"Land Use Change And Environmental Sustainability: The Case Of Lagos Metropolis","Land use is a most important factor in the distribution and functioning of ecosystems and benefits derived by man. The Malthusian geometric population growth and continuous demands for food, shelter, clothing, energy and even pleasure has led to depletion of natural resources. Land is limited in supply and its finite nature makes it a scarce resource that cannot meet its demand. The use of land is a reflection of our decisions, which will determine how sustainable our future will be. Detecting land use changes requires timely and accurate information which can be assured by using remotely sensed data and GIS. Analyzing the correlation between land use changes and their impacts is essential for spatial planning at various spatial levels (global, national, regional and local levels). A cursory look at the sporadic growth of the Lagos metropolis reveals an unquestionable exert of pressure on the existing rural land, agricultural and forests resources. This paper examines Spatio-temporal trends in land use and land cover changes in the Lagos Metropolitan region, especially the loss of forest resources and agricultural land to urban development. Landsat images were used to produce land use classification maps for a period spanning sixteen years (1990 and 2006). The study was limited to these two dates due to cost and difficulty of acquiring satellite imageries. The dynamics of land use change and its impact were discussed as major findings. The paper submits that effective spatial planning could minimize the impacts of land use changes that threaten biodiversity and ecosystems though timely and proper monitoring using remotesensing and GIS; it also recommends integrated spatial planning approach and deployment of environmental management plans. © 2012 WIT Press.",2011,"{""Dekolo, S. O."",""Nwokoro, I. I. C.""}","{""Geographic information systems"",""Lagos [Lagos (STT)]"",""Lagos [Nigeria]"",""Land use change"",Nigeria,""Remote sensing"",""Sustainable development"",""Urban growth"",""environmental management"",""forest resource""}",NA,"10.2495/sc120141","{}",2024-07-15 16:11:29,"included",NA
6863288,NA,"Characterizing Off-Highway Road Use With Remote-Sensing, Social Media And Crowd-Sourced Data: An Application To Grizzly Bear (Ursus Arctos) Habitat","Characterizing roads is important for conservation since the relationship between road use and ecological impact can vary across species. However, road use is challenging to monitor due to limited data and high spatial-temporal variability, especially for unpaved roads, which often coincide with critical habitats. In this study, we developed and evaluated two methods to characterize off-highway road use across a large management area of grizzly bear (Ursus arctos) habitat using: (1) a 'network-based' approach to connect human activity hotspots identified from social media posts and remotely detected disturbances and (2) an 'image-based' approach, in which we modeled road surface conditions and travel speed from high spatial resolution satellite imagery trained with crowd-sourced smartphone data. To assess the differences between these approaches and their utility for characterizing roads in the context of habitat integrity, we evaluated how behavioural patterns of global positioning system (GPS)-collared grizzly bears were related to road use characterized by these methods compared to (a) assuming all roads have equal human activity and (b) using a 'reference' road classification from a government database. The network- and image-based methods showed similar patterns of road use and grizzly bear response compared to the reference, and all three revealed nocturnal behaviour near high-use roads and better predicted grizzly bear habitat selection compared to assuming all roads had equal human activity. The network- and image-based methods show promise as cost-effective approaches to characterize road use for conservation applications where data is not available.",2021,"{""Coops, Nicholas C."",""Goodbody, Tristan R. H."",""Kearney, Sean P."",""Larsen, Terrence A."",""Stenhouse, Gordon B.""}","{""spatial ecology; geotagged social media data; circuit theory; road ecology; road use; telemetry; hum""}",NA,"10.3390/rs13132547","{maybe}",2024-07-18 23:39:36,"included",NA
6691623,NA,"Position paper: evaluation methods and techniques","This paper reviews methodologies in economics for valuing the benefits of geospatial data and services; including the value of open data. Section 2 explores the meaning of socioeconomic value and reviews the methodologies underpinning value assessment. It explains the theoretical background to economic welfare analysis, total turnover analysis and value added analysis. The use of different methods for economic impact assessment is then outlined. The methods include benefit cost analysis, multiplier analysis and Computable General Equilibrium (CGE) modelling1. This section also outlines the background to value chain analysis and real options analysis. Examples of the application of these techniques are discussed. They include the application of earth observation to agricultural and water resource management and the use of mapping to improve decision making in areas such as emergency management, managing endangered species, conducting property tax assessments and verifying insurance claims. These examples illustrate the potential for geospatial data to deliver value over a wide and growing range of applications. Section 3 addresses the issues that arise in applying these techniques. It points out that the methodology selected must address the questions being asked by policy makers and/or users of geospatial data. In the current defensive fiscal environment experienced by governments in many OECD countries, it is important that the valuation method links the use of geospatial data services to a clearly defined and quantifiable outcome. There needs to be a ‘line of sight’ between application of geospatial data services and the benefits that are identified. The paper suggests that evaluations should clearly outline such relationships and suggests a hierarchy of methods that can be applied in such circumstances. The methods include cost effectiveness analysis, benefit cost analysis and regional and economy wide economic modelling. Section 4 comments on the issues that arise draws some conclusions and raises some questions for discussion. It concludes that there is a need to: align methodology to the decision maker’s needs; develop better evidence based economic assessments; adopt more structured approaches to addressing the rapid evolution in the use and application of geospatial data; develop greater capability in building better business cases; and reaching a consensus on internationally recognised methodologies. It also raises the possibility of greater international collaboration and research into building better business cases and establishing a community of experts to help advance the discipline of socioeconomic evaluation as applied to geospatial data and services.",2014,"{""Smart, Alan""}",NA,NA,"https://www.geovalue.org/wp-content/uploads/2013/05/Background-Position-paper-Smart1.pdf","{}",2024-04-22 23:41:30,"included",NA
6447803,NA,"Estimating the Value of Near-real-time Satellite Information for Monitoring Deforestation in the Brazilian Amazon","We estimate the amount of avoided deforestation due to the use of near-real-time satellite imagery (DETER) to support the Action Plan for the Prevention and Control of Deforestation in the Legal Amazon (PPCDAm), the conservation of indigenous and other protected areas, and compliance with the Brazilian Forest Code (FC). We develop a Directed Acyclical Graph (DAG) that outlines some of the econometric challenges that arise from the role of policy in the estimation of satellite data on deforestation and consider that policy could be a mediator and/or a moderator along this causal chain. We control for policies that were introduced simultaneously with DETER, and allow for changes in the influences of prices, agricultural settlement, and forest conservation policies on deforestation after near-real-time monitoring was introduced. We find both direct impacts of DETER on deforestation, and indirect impacts via changes in the influences of commodity prices on deforestation. In total we estimate the amount of avoided deforestation is approximately 467-471 thousand km2 between 2001-2015, an area that is larger than the state of California, more than twice the amount of deforestation recorded in that region in the same time period, and translates to approximately 12 billion tons of avoided CO2. The net benefits of satellite monitoring range from US$1-5.4 billion per year when estimated using the WTP to preserve Amazon rainforest and between US$54 US$197 billion per year when estimating using the social cost of carbon.",2022,"{""Biggs, Trent"",""Caviglia-Harris, Jill"",""Mullan, Katrina"",""Ribeiro, Jime Rodrigues"",""Santiago, Thaís Ottoni"",""Sills, Erin"",""West, Thales A P""}",NA,NA,NA,"{benchmark}",NA,NA,NA
6691648,NA,"CEOS contributions to informing energy management and policy decision making using space-based Earth observations","Earth observations are playing an increasingly significant role in informing decision making in the energy sector. In renewable energy applications, space-based observations now routinely augment sparse ground-based observations used as input for renewable energy resource assessment applications. As one of the nine Group on Earth Observations (GEO) societal benefit areas, the enhancement of management and policy decision making in the energy sector is receiving attention in activities conducted by the Committee on Earth Observation Satellites (CEOS). CEOS has become the ""space arm"" for the implementation of the Global Earth Observation System of Systems (GEOSS) vision. It is directly supporting the space-based, near-term tasks articulated in the GEO three-year work plan. This paper describes a coordinated program of demonstration projects conducted by CEOS member agencies and partners to utilize Earth observations to enhance energy management end-user decision support systems. We discuss the importance of engagement with stakeholders and understanding their decision support needs in successfully increasing the uptake of Earth observation products for societal benefit. Several case studies are presented, demonstrating the importance of providing data sets in formats and units familiar and immediately usable by decision makers. These projects show the utility of Earth observations to enhance renewable energy resource assessment in the developing world, forecast space weather impacts on the power grid, and improve energy efficiency in the built environment.",2012,"{""Eckman, Richard S.""}","{""Energy management|Renewable energy resource assessment|Committee on Earth Observation Satellites|Gro""}",NA,"https://doi.org/10.1016/j.apenergy.2011.03.001","{}",2024-04-22 02:30:27,"included",NA
6691588,NA,"Free satellite imagery and digital elevation model analyses enabling natural resource management in the developing world: studies from Eastern Indonesia","Decentralization of governance and natural resource management is an ongoing process in many parts of Africa and Asia. Natural resource management requires spatial land resource data for planning. However, currently the financial and human capacity for natural resource mapping, monitoring and modelling remains low in local governments. In this context, this paper explores how new opportunities provided by the increasing availability of free satellite imagery, digital elevation data and open source spatial analysis software, can be applied by local government and NGOs to conduct sophisticated natural resource mapping and modelling in ways that meet their needs and incorporates local knowledge. Reported are cases of a local government using free geospatial data and GIS software to improve evidence-based natural resource management in the developing world with a focus on raster data applications for satellite image analysis and terrain modelling. It is argued that, through removing barriers to uptake, such applications provide a means of decentralizing landscape analysis skills to improve local natural resource management. This hypothesis is supported through examples of a local government applying these tools in eastern Indonesia, and within this context barriers to wider adoption are explored.",2017,"{""Fisher, Rohan""}","{""GIS|remote sensing|capacity building| open source|DEM|decentralization""}",NA,"https://doi.org/10.1111/sjtg.12210","{maybe}",2024-04-22 23:39:07,"included",NA
6691571,NA,"Enhancing the standardized drought vulnerability index by integrating spatiotemporal information from satellite and in situ data","Drought is a complex natural hazard with its adverse multifaceted impacts cascading in every physical and human system. The vulnerability magnitude of various areas to drought mostly depends on their exposure to water deficiency, the existing water management policy framework and its implementation. The Standardized Drought Vulnerability Index (SDVI) is an integrated attempt towards characterizing drought vulnerability based on a comparative classification system, incorporating precipitation patterns, the supply and demand trends, and the socioeconomic background as the most crucial contributors to drought vulnerability. This work attempts to evolve the SDVI by presenting a more rigorous method of index parameters estimation and argues that the combination of in-situ and satellite data improve the index results in an effort to further minimize the paucity of drought related information. At the same time, it helps to surpass previous limitations in temporal and spatial propagation of the vulnerability concept. The new framework is applied in the South Platte Basin, within Colorado, on the 2012 summer drought (July-September). The proposed index modification may convey drought information in a more holistic manner to decision makers. SDVI could aid in advancing the understanding of each component contribution through in situ and remote sensing data integration and in avoiding existing practices of broken linkages and fragmentation of the reported impacts. Thus, it is believed that the SDVI could serve as an additional tool to guide decisions and target mitigation and adaptation actions, allowing for a more integrated management approach.",2019,"{""Oikonomou, Panagiotis""}","{""Drought|Drought vulnerability|Drought impacts|SDVI|Water resources|South platte""}",NA,"https://doi.org/10.1016/j.jhydrol.2018.11.058","{}",2024-04-26 18:46:25,"included",NA
6659922,NA,"Earth Observation Satellite Data In Support Of Water Management For Agriculture","The Earth Observation (EO) satellite data provided within the Copernicus Programme supports the monitoring and sustainable management of agriculture. For example, satellite data are useful for agriculture mapping, crop health monitoring, land planning, disease mitigation, crop yields estimation, precise agriculture, and sustainable irrigation water management. The identification of non-authorised water abstractions for irrigation is of high importance since the drought phenomenon is increasingly in the past decades due to climate change. This aspect is addressed by DIANA - ""Detection and Integrated Assessment of Non-authorised water Abstractions using EO"", a project funded by the European Commission in the frame of H2020 (European Union Framework Programme for Research and Innovation). The project will integrate data acquired by the Sentinel missions (Sentinel-1, Sentinel-2 and Sentinel-3) and as well Landsat and MODIS. Other types of data (meteorological, land use/land cover, digital elevation models, soil, etc.) will support the satellite data processing and the generation of value-added products. In addition, the project aims at significantly improve the monitoring and assessment of the water management policies and practices. As the project is in its initial phase, the results presented in this article are preliminary. The project will demonstrate the relevance of EO data for sustainable agriculture management and will bring societal and environmental benefits to the end users.",2017,"{""Badea, Alexandru"",""Moise, Cristian"",""Negula, Iulia Dana"",""Poenaru, Violeta""}","{""Earth Observation satellite data; agriculture; water management; DIANA project; Copernicus Programme""}",NA,NA,"{cco}",2024-04-11 22:02:52,"included",NA
