"id","title","publication_year","authors","doi","tags","date_screened_t&a","t&a_status","t&a_exclusion_reasons"
7037221,"Remote Sensing Products And Services In Support Of Agricultural Public Policies In Africa: Overview And Challenges",NA,NA,"10.3389/fsufs.2020.00058","{}",2024-10-30 17:18:19,"included",NA
6691716,"Future earth observation strategy for societal benefits",2005,"{""Zhou, Guoqing""}","https://doi.org/10.1109/IGARSS.2005.1526433","{maybe}",2024-04-22 02:38:22,"included",NA
7038064,"Disaster Management And Virtual Globes: A High Potential For Developing Countries",NA,NA,"10.4018/978-1-4666-2038-4.ch095","{}",2024-11-18 19:38:38,"included",NA
6903586,"Modelling And Evaluation Of Land Use Changes Through Satellite Images In A Multifunctional Catchment: Social, Economic And Environmental Implications",NA,NA,"10.1016/j.ecoinf.2022.101777","{}",2024-09-26 00:50:29,"included",NA
7037121,"The Utility Of Airborne Hyperspectral And Satellite Multispectral Images In Identifying Natura 2000 Non-Forest Habitats For Conservation Purposes",NA,NA,"10.1038/s41598-023-31705-6","{}",2024-11-21 02:21:21,"included",NA
6691648,"CEOS contributions to informing energy management and policy decision making using space-based Earth observations",2012,"{""Eckman, Richard S.""}","https://doi.org/10.1016/j.apenergy.2011.03.001","{}",2024-04-22 02:30:27,"included",NA
6659922,"Earth Observation Satellite Data In Support Of Water Management For Agriculture",2017,"{""Badea, Alexandru"",""Moise, Cristian"",""Negula, Iulia Dana"",""Poenaru, Violeta""}",NA,"{cco}",2024-04-11 22:02:52,"included",NA
6863498,"The Value Of Site-Specific Information And The Environment: Technology Adoption And Pesticide Use Under Uncertainty",2005,"{""Coble, KH"",""Hudson, D"",""Isik, M""}","10.1016/j.jenvman.2005.01.024","{}",2024-07-12 19:48:02,"included",NA
6863048,"Where Have All The People Gone? Enhancing Global Conservation Using Night Lights And Social Media",2015,"{""Crandall, David"",""Kark, Salit"",""Levin, Noam""}","10.1890/15-0113.1.sm","{}",2024-07-12 19:45:45,"included",NA
6669797,"Data Justice And Biodiversity Conservation",2022,"{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}","10.1111/cobi.13919","{cco,maybe}",2024-04-15 17:54:59,"included",NA
6669797,"Data Justice And Biodiversity Conservation",2022,"{""Brockington, D."",""Kiwango, W. A."",""Oldekop, J. A."",""Pritchard, R."",""Sauls, L. A.""}","10.1111/cobi.13919","{cco,maybe}",2024-04-18 19:23:24,"included",NA
6691687,"Banda Aceh-The Value of Earth Observation Data in Disaster Recovery and Reconstruction: A Case Study",2008,"{""McCallum, Ian""}","http://pure.iiasa.ac.at/8741/","{}",2024-04-23 22:07:54,"included",NA
7036946,"Quantitative Assessment Of Soil Condition, Basic Environmental Factors And Productivity Of Linum Usitatissimum In The Steppe Zone Of Kazakhstan Using The Remote Sensing Method",NA,NA,"10.1590/1519-6984.277283","{}",2024-10-30 15:59:55,"included",NA
7037711,"Mapping Of Environmental Sensitivity Index To Oil Spill From Landsat Tm Images: ""A Study Case On The Amazon Coastal Plain""",NA,NA,"10.22564/rbgf.v30i4.240","{}",2024-11-21 21:27:25,"included",NA
7036939,"A Real Options Approach To Satellite Mission Planning",NA,NA,"10.1016/j.spacepol.2008.09.008","{}",2024-10-25 19:18:35,"included",NA
6691550,"The Value of El Niño Forecasts in the Management of Salmon: A Stochastic Dynamic Assessment",2020,"{""Costello, Christopher""}","https://dx.doi.org/10.2307/1244062","{}",2024-04-25 02:28:50,"included",NA
6691642,"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR",2013,"{""Müller, Daniel""}","https://doi.org/10.1007/s10745-013-9565-0","{}",2024-04-26 19:16:55,"included",NA
7037437,"Space-Based Earth Observations For Disaster Risk Management",NA,NA,"10.1007/s10712-020-09586-5","{}",2024-10-25 21:26:31,"included",NA
6862756,"Evaluation Of Earth Observation Systems For Estimating Environmental Determinants Of Microbial Contamination In Recreational Waters",2015,"{""Brazeau, S."",""Essono, F. N."",""Fournier, R. A."",""Kotchi, S. O."",""Lavigne, M. P."",""Legare, J."",""Michel, P."",""Pelcat, Y."",""Turgeon, P.""}","10.1109/jstars.2015.2426138","{}",2024-07-12 19:24:29,"included",NA
7037605,"Study Of Productivity And Biomass Above The Ground, Using Vegetation Indices In Plantations Of Tectona Grandis L. (Teak) Located In Guanacaste, Costa Rica",NA,NA,"10.18845/tm.v35i6.6229","{}",2024-11-18 18:49:30,"included",NA
7037213,"The Role Of African Emerging Space Agencies In Earth Observation Capacity Building For Facilitating The Implementation And Monitoring Of The African Development Agenda: The Case Of African Earth Observation Program",NA,NA,"10.3390/ijgi8070292","{}",2024-10-25 21:55:28,"included",NA
6691625,"Landsat and Water—Case Studies of the Uses and Benefits of Landsat Imagery in Water Resources",2014,"{""Serbina, Larisa""}","http://dx.doi.org/10.3133/ofr20141108","{}",2024-04-22 02:56:59,"included",NA
6691614,"The social innovation potential of ICT-enabled citizen observatories to increase eParticipation in local flood risk management",2015,"{""Wehn, Uta""}","https://doi.org/10.1016/j.techsoc.2015.05.002","{maybe}",2024-04-22 02:40:52,"included",NA
6447801,"Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat",2022,"{""Benedict, Karl K."",""McConnell, Abby E."",""Molder, Edmund B."",""Schenkein, Sarah F."",""Straub, Crista L.""}",NA,"{benchmark}",NA,NA,NA
6691577,"The public value of improving a weather forecasting system in Korea: a choice experiment study",2018,"{""Park, Sun-Young""}","https://doi.org/10.1080/00036846.2017.1368995","{}",2024-04-26 18:58:08,"included",NA
7038670,"Research Needs",NA,NA,"10.4324/9780429047237-18","{theoretical?}",2024-10-30 18:25:15,"included",NA
7037248,"Use Of Remote Sensing And Gis For Identifying Tanks And Rehabilitation Benefits To The Rural Areas",NA,NA,"10.25175/jrd/2019/v38/i1/121801","{}",2024-11-21 01:57:02,"included",NA
6863159,"Combined Use Of Local And Global Hydro Meteorological Data With Hydrological Models For Water Resources Management In The Magdalena-Cauca Macro Basin - Colombia",2020,"{""Arboleda, Pedro"",""Burke, Sophia"",""Duque, Nicolas"",""Garcia, Camila"",""Kaune, Alexander"",""Lopez, Patricia"",""Rodriguez, Erasmo"",""Sanchez, Ines"",""Vega, Carolina"",""Werner, Micha"",""Zamora, David""}","10.1007/s11269-019-02236-5","{}",2024-07-19 18:26:33,"included",NA
6691598,"Visual Evidence from Above: Assessing the Value of Earth Observation Satellites for Supporting Human Rights",2016,"{""Notley, Tanya""}","https://ro.uow.edu.au/cgi/viewcontent.cgi?article=5028&context=sspapers","{}",2024-04-22 02:59:59,"included",NA
7036963,"The Utility Of Historical Aerial Photographs For Detecting And Judging The Effectiveness Of Rangeland Remediation Treatments",NA,NA,"10.1017/s1466046603031065","{}",2024-10-30 17:37:17,"included",NA
6863675,"Mapping Plastic-Mulched Farmland By Coupling Optical And Synthetic Aperture Radar Remote Sensing",2020,"{""Fei, L."",""Yuncai, H."",""Zhongxin, C.""}","10.1080/01431161.2020.1763510","{}",2024-07-12 19:40:52,"included",NA
7037549,"Trends And Projections Analysis Of Precipitation And Temperature Data Using Ccsm4 And Gsmap_nrt: Case Study In Sohar, Sultanate Of Oman",NA,NA,"10.13189/eer.2023.110411","{}",2024-11-21 21:04:03,"included",NA
7037700,"Monitoring And Early Warning Systems - A Design For Human Survival",NA,NA,"10.1108/03684920210417292","{}",2024-11-22 17:15:50,"included",NA
7038557,"Advances In Remote Sensing Of Coastal Wetlands: Lidar, Sar, And Object-Oriented Case Studies From North Carolina",NA,NA,"10.1007/978-3-319-06326-3_17","{}",2024-11-18 18:45:08,"included",NA
6903569,"A Data-Driven Approach To Hurricane Debris Modeling",NA,NA,"10.1061/jwped5.wweng-1945","{""probably not""}",2024-10-01 17:55:48,"included",NA
7036792,"Mapping Spatial Pattern In Biodiversity For Regional Conservation Planning: Where To From Here?",NA,NA,"10.1080/10635150252899806","{}",2024-10-25 22:59:27,"included",NA
6691686,"Using architecture modeling to assess the societal benefits of the global earth observation system-of-systems",2008,"{""Martin, James""}","https://doi.org/10.1109/JSYST.2008.925974","{maybe}",2024-04-22 02:53:20,"included",NA
6903510,"A New Method For Long-Term River Discharge Estimation Of Small- And Medium-Scale Rivers By Using Multisource Remote Sensing And Rshs: Application And Validation",NA,NA,"10.3390/rs14081798","{""probably not"",maybe}",2024-09-26 00:41:42,"included",NA
6691634,"Empowering Brazilian Unprivileged Communities with High Geotechnological Tools",2013,"{""Lustosa Brito, Patricia""}","https://icaci.org/files/documents/ICC_proceedings/ICC2013/_extendedAbstract/316_proceeding.pdf","{maybe}",2024-04-28 00:53:26,"included",NA
6691528,"Enhancing the Application of Earth Observations for Improved Environmental Decision-Making Using the Early Warning eXplorer (EWX)",2021,"{""Shukla, Shraddhanand""}","https://doi.org/10.3389/fclim.2020.583509","{maybe}",2024-04-25 02:29:21,"included",NA
7037187,"Drone Remote Sensing For Forestry Research And Practices",NA,NA,"10.1007/s11676-015-0088-y","{}",2024-10-25 19:23:33,"included",NA
7038179,"The Rocky Road From Research To Operations For Satellite Ocean-Colour Data In Fishery Management",NA,NA,"10.1093/icesjms/fsq168","{}",2024-11-18 18:27:41,"included",NA
7037668,"Challenges And Opportunities Of Digital Technology In Soil Quality And Land Management Research",NA,NA,"10.1007/978-3-030-71571-7_9","{}",2024-11-21 21:29:54,"included",NA
6691583,"Satellite Earth Observations and Their Impact on Society and Policy",2017,"{""Masami, Onoda""}","https://doi.org/10.1007/978-981-10-3713-9","{}",2024-04-22 02:32:40,"included",NA
6863602,"Satellite-Based Crop Production Monitoring In Ukraine And Regional Food Security",2011,"{""Adamenko, T."",""Kogan, F."",""Kulbida, M.""}","10.1007/978-90-481-9618-0_11","{}",2024-09-27 23:04:48,"included",NA
7037087,"The Role Of Satellite Telemetry Data In 21St Century Conservation Of Polar Bears (Ursus Maritimus)",NA,NA,"10.3389/fmars.2022.816666","{}",2024-10-30 18:15:48,"included",NA
7038285,"Initial Assessment Of Burn Severity Using Transfer Learning Model",NA,NA,"10.11834/jrs.20210156","{}",2024-11-21 21:22:57,"included",NA
7037057,"Nasa?S Global Precipitation Measurement Mission: Leveraging Stakeholder Engagement \& Applications Activities To Inform Decision-Making",NA,NA,"10.1016/j.rsase.2022.100853","{}",2024-11-19 19:47:15,"included",NA
6863640,"A Hybrid Kernel-Based Change Detection Method For Remotely Sensed Data In A Similarity Space",2015,"{""Homayouni, S."",""Safari, A."",""Shah-Hosseini, R.""}","10.3390/rs71012829","{maybe}",2024-09-30 21:32:09,"included",NA
7037348,"Contribution Of Remote Sensing For Crop And Water Monitoring",NA,NA,"10.1016/b978-1-78548-103-1.50004-2","{}",2024-11-21 02:05:52,"included",NA
6863116,"Avhrr Data For Real-Time Operational Flood Forecasting In Malaysia",2005,"{""Billa, L."",""Ghazali, A. H."",""Mahmud, A. R."",""Mansor, S.""}","10.1007/3-540-27468-5_93","{maybe}",2024-09-30 01:36:12,"included",NA
6691752,"Societal value of geologic maps",1993,"{""Bernkopf, Richard""}","https://doi.org/10.3133/cir1111","{}",2024-04-26 19:04:40,"included",NA
7037738,"Predicting Poverty Index Using Deep Learning On Remote Sensing And Household Data",NA,NA,"10.35940/ijrte.c3918.098319","{}",2024-11-19 20:01:32,"included",NA
7037598,"Incorporation Of Satellite Remote Sensing Pan-Sharpened Imagery Into Digital Soil Prediction And Mapping Models To Characterize Soil Property Variability In Small Agricultural Fields",NA,NA,"10.1016/j.isprsjprs.2016.11.001","{}",2024-10-30 17:27:24,"included",NA
7037155,"Integrating Inland And Coastal Water Quality Data For Actionable Knowledge",NA,NA,"10.3390/rs13152899","{}",2024-11-21 21:38:25,"included",NA
7038682,"Wireless Sensor Networks To Study, Monitor And Manage Cattle In Grazing Systems",NA,NA,"10.1071/an14368","{""wireless weighing""}",2024-11-21 02:24:08,"included",NA
7038696,"A Daily 25km Short-Latency Rainfall Product For Data-Scarce Regions Based On The Integration Of The Global Precipitation Measurement Mission Rainfall And Multiple-Satellite Soil Moisture Products",NA,NA,"10.5194/hess-24-2687-2020","{}",2024-11-22 17:59:48,"included",NA
6691608,"Data poverty: A global evaluation for 2009 to 2013- implications for sustainable development and disaster risk reduction",2015,"{""Leidig, Mathias""}","https://doi.org/10.1016/j.jag.2016.03.001","{maybe}",2024-04-22 23:29:13,"included",NA
7038498,"Perspectives From Landscape Ecology Can Improve Environmental Impact Assessment",NA,NA,"10.1139/facets-2020-0049","{}",2024-11-18 18:58:07,"included",NA
6447809,"The socio-economic value of satellite earth observations: huge, yet to be measured",2020,"{""Tassa, Alessandra""}","10.1080/17487870.2019.1601565","{benchmark}",NA,NA,NA
7038578,"Centers For Space Science And Technology Education - A United-Nations Initiative",NA,NA,"10.1080/01431169308953992","{}",2024-11-22 17:10:51,"included",NA
6863434,"An Open Data And Citizen Science Approach To Building Resilience To Natural Hazards In A Data-Scarce Remote Mountainous Part Of Nepal",2020,"{""Baskota, Preshika"",""Buytaert, Wouter"",""Khadka, Prakash"",""Liu, Wei"",""Parajuli, Binod Prasad"",""Paul, Jonathan D."",""Pudasaini, Uttam"",""Roniksh, B. C."",""Shakya, Puja"",""Vij, Sumit""}","10.3390/su12229448","{}",2024-07-12 19:47:26,"included",NA
7036749,"Construction Of Super-Resolution Model Of Remote Sensing Image Based On Deep Convolutional Neural Network",NA,NA,"10.1016/j.comcom.2021.06.022","{}",2024-11-21 21:11:59,"included",NA
7037186,"Evaluating Nox Emission Inventories For Regulatory Air Quality Modeling Using Satellite And Air Quality Model Data",NA,NA,"10.1016/j.atmosenv.2015.07.002","{}",2024-10-28 19:22:23,"included",NA
6691517,"Earth observations can enable cost-effective conservation of eastern north pacific blue whales: a value of information analysis",2021,"{""Bernknopf, Richard""}","https://media.rff.org/documents/Earth_Observations_can_enable_cost-effective_conservation_of._bm_RB_","{""in benchmarks""}",2024-04-23 22:33:32,"included",NA
6447800,"Estimating the Societal Benefits of Satellite Instruments: Application to a Break-even Analysis of the GeoXO Hyperspectral IR Sounder",2021,"{""Adkins, Jeffery"",""Conran, Joseph"",""Lauer, Christopher""}",NA,"{benchmark}",NA,NA,NA
7038025,"Role Of Irs-1c In Developing Remote Sensing Applications For Water Management In India",NA,NA,"10.1007/s12524-020-01280-8","{}",2024-10-25 22:51:49,"included",NA
6691665,"Impact of Global Earth Observation –Systemic View across GEOSS Societal Benefit Areas",2010,"{""Rydzak, Felicjan""}","https://doi.org/10.2902/1725-0463.2010.05.art9","{}",2024-04-22 02:41:08,"included",NA
7037788,"Building User-Readiness For Satellite Earth Observing Missions: The Case Of The Surface Water And Ocean Topography (Swot) Mission",NA,NA,"10.1029/2022av000680","{}",2024-10-30 16:04:57,"included",NA
6691568,"The role of stakeholders in creating societal value from coastal and ocean observations",2019,"{""Mackenzie, Bev""}","https://doi.org/10.3389/fmars.2019.00137","{maybe}",2024-04-26 22:57:26,"included",NA
6903629,"Ndvi Identification And Survey Of A Roman Road In The Northern Spanish Province Of Alava",NA,NA,"10.3390/rs11060725","{}",2024-10-03 22:22:34,"included",NA
7037945,"Research On Monitoring And Environmental Control Of Farmland Operation Based On Multi-Sensor Data Fusion",NA,NA,"10.1504/ijetm.2020.114134","{}",2024-10-30 00:04:48,"included",NA
7036593,"The Potential Of Remote Sensing Data For Decision Makers At The State, Local And Tribal Level: Experiences From Nasa's Synergy Program",NA,NA,"10.1016/j.envsci.2003.08.002","{}",2024-10-25 19:16:22,"included",NA
7037858,"Conservation Impacts Of A Near Real-Time Forest Monitoring And Alert System For The Tropics",NA,NA,"10.1002/rse2.78","{}",2024-11-18 18:13:45,"included",NA
6863634,"Input Data Resolution Affects The Conservation Prioritization Outcome Of Spatially Sparse Biodiversity Features",2023,"{""Heinaro, Einari"",""Kujala, Heini"",""Kumpula, Timo"",""Mayra, Janne"",""Mikkonen, Ninni"",""Tanhuanpaa, Topi""}","10.1007/s13280-023-01885-6","{}",2024-07-12 19:32:06,"included",NA
7038364,"Accessing Satellite Imagery For Disaster Response Through The International Charter: Lessons Learned From The 2011 Us Midwestern Floods",NA,NA,"10.1016/j.spacepol.2017.08.003","{}",2024-11-18 20:27:55,"included",NA
7037173,"Groundwater Recharges Assessment Using Novel Remote Sensing Approach In Asir Region, Saudi Arabia",NA,NA,"10.5829/idosi.wasj.2013.28.01.1871","{}",2024-11-18 22:34:42,"included",NA
7038071,"Public Health Benefits From Improved Identification Of Severe Air Pollution Events With Geostationary Satellite Data",NA,NA,"10.1029/2023gh000890","{}",2024-10-25 19:24:34,"included",NA
7037716,"Geoinformatics For Disaster Risk Assessment, Monitoring, And Management",NA,NA,"10.1007/978-94-024-1071-6_14","{}",2024-10-28 19:10:34,"included",NA
6691732,"The socioeconomic benefits of Earth science and applications research: reducing the risks and costs of natural disasters",2002,"{""Williamson, Ray A.""}","PII: S 0265-9646(01)00057-1","{}",2024-04-26 23:08:34,"included",NA
7036582,"Assumption-Versus Data-Based Approaches To Summarizing Species' Ranges",NA,NA,"10.1111/cobi.12801","{}",2024-11-18 20:52:04,"included",NA
7037446,"Remotely Sensed Data For Ecosystem Analyses: Combining Hierarchy Theory And Scene Models",NA,NA,"10.1007/s00267-002-2837-x","{}",2024-11-18 20:32:15,"included",NA
6862898,"Ecological Environment Dynamic Monitoring And Driving Force Analysis Of Karst World Heritage Sites Based On Remote-Sensing: A Case Study Of Shibing Karst",2023,"{""Shen, Chuhong"",""Xiao, Hua"",""Xiong, Kangning"",""Zhang, Juan"",""Zhang, Ning""}","10.3390/land12010184","{}",2024-07-15 15:57:34,"included",NA
6863392,"Lake Nasser Evaporation Reduction Study",2010,"{""Ebaid, Hala M. I."",""Ismail, Sherine S.""}","10.1016/j.jare.2010.09.002","{}",2024-07-16 23:46:42,"included",NA
7038047,"Use Of Remote Sensing In Control Of Good Agricultural And Environmental Conditions On Agricultural Farms",NA,NA,"10.2478/ecoq-2013-0018","{}",2024-10-28 19:38:48,"included",NA
7037441,"Potential Of Virtual Earth Observation Constellations In Archaeological Research",NA,NA,"10.3390/s19194066","{}",2024-10-28 00:24:27,"included",NA
6903469,"Enabling Efficient Service Function Chains At Terrestrial-Satellite Hybrid Cloud Networks",NA,NA,"10.1109/mnet.2019.1800426","{}",2024-09-27 22:40:29,"included",NA
6691635,"Bayesian framework for assessing the value of scientific space systems: value of information approach with application to earth science spacecraft",2013,"{""Brathwaite, Joy""}","https://doi.org/10.1016/j.actaastro.2012.10.036","{}",2024-04-25 02:38:54,"included",NA
6691677,"A professional review for integration of earth observations into FEWS NET decision support",2009,"{""Ross, Kenton""}","978-161567322-3","{""value = essential vars""}",2024-04-23 22:09:56,"included",NA
6903658,"Monitoring Soil-Plant Interactions And Maize Yield By Satellite Vegetation Indexes, Soil Electrical Conductivity And Management Zones",NA,NA,"10.1007/s11119-023-09994-8","{}",2024-09-26 01:02:46,"included",NA
7037691,"An Observing System Simulation Experiment Framework For Air Quality Forecasts In Northeast Asia: A Case Study Utilizing Virtual Geostationary Environment Monitoring Spectrometer And Surface Monitored Aerosol Data",NA,NA,"10.3390/rs14020389","{}",2024-11-18 23:02:10,"included",NA
