title,author,year,pdf_out,csv_out
Value of Information for Climate Observing Systems,"Cooke, Roger and Wielicki, Bruce A. and Young, David F. and Mlynczak, Martin G.",2014,_data/5a_societal_benefits/pdf/cooke_2014_value_of_information_for.pdf,_data/5a_societal_benefits/csv/cooke_2014_value_of_information_for.csv
Bayesian Framework for Assessing the Value of Scientific Space Systems: Value of Information Approach with Application to Earth Science Spacecraft,"Brathwaite, Joy and Saleh, Joseph H.",2013,_data/5a_societal_benefits/pdf/brathwaite_2013_bayesian_framework_for_assessing.pdf,_data/5a_societal_benefits/csv/brathwaite_2013_bayesian_framework_for_assessing.csv
The Value of Information: Measuring the Contribution of Space-Derived Earth Science Data to Resource Management,"Macauley, Molly K.",2006,_data/5a_societal_benefits/pdf/macauley_2006_the_value_of_information.pdf,_data/5a_societal_benefits/csv/macauley_2006_the_value_of_information.csv
Assessing the Value of Earth Observation for Managing Coral Reefs: An Example from the Great Barrier Reef,"Bouma, Jetske A. and Kuik, Onno and Dekker, Arnold G.",2011,_data/5a_societal_benefits/pdf/bouma_2011_assessing_the_value_of.pdf,_data/5a_societal_benefits/csv/bouma_2011_assessing_the_value_of.csv
An Analysis of the Value of Additional Information Provided by a Water Quality Measurement Network,"Destandau, F. and Diop, A. P.",2016,_data/5a_societal_benefits/pdf/destandau_2016_an_analysis_of_the.pdf,_data/5a_societal_benefits/csv/destandau_2016_an_analysis_of_the.csv
Assessing the Value of Information for Water Quality Management in the North Sea,"Bouma, J. A. and {van der Woerd}, H. J. and Kuik, O. J.",2009,_data/5a_societal_benefits/pdf/bouma_2009_assessing_the_value_of.pdf,_data/5a_societal_benefits/csv/bouma_2009_assessing_the_value_of.csv
Quantifying the Human Health Benefits of Using Satellite Information to Detect Cyanobacterial Harmful Algal Blooms and Manage Recreational Advisories in U.S. Lakes,"Stroming, Signe and Robertson, Molly and Mabee, Bethany and Kuwayama, Yusuke and Schaeffer, Blake",2020,_data/5a_societal_benefits/pdf/stroming_2020_quantifying_the_human_health.pdf,_data/5a_societal_benefits/csv/stroming_2020_quantifying_the_human_health.csv
The Value of Near Real-Time Earth Observations for Improved Flood Disaster Response,"Oddo, Perry C. and Bolten, John D.",2019,_data/5a_societal_benefits/pdf/oddo_2019_the_value_of_near.pdf,_data/5a_societal_benefits/csv/oddo_2019_the_value_of_near.csv
Market-Based Methods for Monetizing Uncertainty Reduction,"Cooke, Roger and Golub, Alexander",2020,_data/5a_societal_benefits/pdf/cooke_2020_market_based_methods_for.pdf,_data/5a_societal_benefits/csv/cooke_2020_market_based_methods_for.csv
Ten Rules to Increase the Societal Value of Earth Observations,"Virapongse, Arika and Pearlman, Francoise and Pearlman, Jay and Murambadoro, Miriam D. and Kuwayama, Yusuke and Glasscoe, Margaret T.",2020,_data/5a_societal_benefits/pdf/virapongse_2020_ten_rules_to_increase.pdf,_data/5a_societal_benefits/csv/virapongse_2020_ten_rules_to_increase.csv
Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat,"Molder, Edmund B. and Schenkein, Sarah F. and McConnell, Abby E. and Benedict, Karl K. and Straub, Crista L.",2022,_data/5a_societal_benefits/pdf/molder_2022_landsat_data_ecosystem_case.pdf,_data/5a_societal_benefits/csv/molder_2022_landsat_data_ecosystem_case.csv
The Socio-Economic Value of Scientific Publications: The Case of Earth Observation Satellites,"Morretta, Valentina and Vurchio, Davide and Carrazza, Stefano",2022,_data/5a_societal_benefits/pdf/morretta_2022_the_socio_economic_value.pdf,_data/5a_societal_benefits/csv/morretta_2022_the_socio_economic_value.csv
Using Satellite Data to Fill the Gaps in the US Air Pollution Monitoring Network,"Sullivan, Daniel M and Krupnick, Alan",NA,_data/5a_societal_benefits/pdf/sullivan_using_satellite_data_to.pdf,_data/5a_societal_benefits/csv/sullivan_using_satellite_data_to.csv
A Conceptual Framework for Assessing the Benefits of a Global Earth Observation System of Systems,"Fritz, S. and Scholes, R.J. and Obersteiner, M. and Bouma, J. and Reyers, B.",2008,_data/5a_societal_benefits/pdf/fritz_2008_a_conceptual_framework_for.pdf,_data/5a_societal_benefits/csv/fritz_2008_a_conceptual_framework_for.csv
Earth Observations Can Enable Cost-Effective Conservation of Eastern North Pacific Blue Whales: A Value of Information Analysis,"Bernknopf, Richard and Steinkruger, Andrew and Kuwayama, Yusuke",2021,_data/5a_societal_benefits/pdf/bernknopf_2021_earth_observations_can_enable.pdf,_data/5a_societal_benefits/csv/bernknopf_2021_earth_observations_can_enable.csv
"On-Going European Space Agency Activities on Measuring the Benefits of Earth Observations to Society: Challenges, Achievements and Next Steps","Tassa, Alessandra and Willekens, Stephanie and Lahcen, Arne and Laurich, Laurent and Mathieu, Charlotte",2022,_data/5a_societal_benefits/pdf/tassa_2022_on_going_european_space.pdf,_data/5a_societal_benefits/csv/tassa_2022_on_going_european_space.csv
Earth Observation in Service of the 2030 Agenda for Sustainable Development,"Anderson, Katherine and Ryan, Barbara and Sonntag, William and Kavvada, Argyro and Friedl, Lawrence",2017,_data/5a_societal_benefits/pdf/anderson_2017_earth_observation_in_service.pdf,_data/5a_societal_benefits/csv/anderson_2017_earth_observation_in_service.csv
"The Socio-Economic Value of Satellite Earth Observations: Huge, yet to Be Measured","Tassa, Alessandra",2020,_data/5a_societal_benefits/pdf/tassa_2020_the_socio_economic_value.pdf,_data/5a_societal_benefits/csv/tassa_2020_the_socio_economic_value.csv
Valuing Geospatial Information: Using the Contingent Valuation Method to Estimate the Economic Benefits of Landsat Satellite Imagery,"Loomis, John and Koontz, Steve and Miller, Holly and Richardson, Leslie",2015,_data/5a_societal_benefits/pdf/loomis_2015_valuing_geospatial_information_using.pdf,_data/5a_societal_benefits/csv/loomis_2015_valuing_geospatial_information_using.csv
Using Data from Earth Observation to Support Sustainable Development Indicators: An Analysis of the Literature and Challenges for the Future,"Andries, Ana and Morse, Stephen and Murphy, Richard J. and Lynch, Jim and Woolliams, Emma R.",2022,_data/5a_societal_benefits/pdf/andries_2022_using_data_from_earth.pdf,_data/5a_societal_benefits/csv/andries_2022_using_data_from_earth.csv
Geographic Microtargeting of Social Assistance with High-Resolution Poverty Maps,"Smythe, Isabella S. and Blumenstock, Joshua E.",2022,_data/5a_societal_benefits/pdf/smythe_2022_geographic_microtargeting_of_social.pdf,_data/5a_societal_benefits/csv/smythe_2022_geographic_microtargeting_of_social.csv
Enhancing Access and Usage of Earth Observations in Environmental Decision-Making in Eastern and Southern Africa Through Capacity Building,"Shukla, Shraddhanand and Macharia, Denis and Husak, Gregory J. and Landsfeld, Martin and Nakalembe, Catherine Lilian and Blakeley, S. Lucille and Adams, Emily Caitlin and {Way-Henthorne}, Juliet",2021,_data/5a_societal_benefits/pdf/shukla_2021_enhancing_access_and_usage.pdf,_data/5a_societal_benefits/csv/shukla_2021_enhancing_access_and_usage.csv
Economic Potential of Oil Palm Plantation Using Remote Sensing-Based Technology in Indonesia,"Center for Aerospace Policy Studies, National Institute of Aeronautics and Space (LAPAN), Indonesia} and Diana, Shinta Rahma and Farida, Farida and {Faculty of Economics and Bussiness, UPI, YAI, Indonesia",2021,_data/5a_societal_benefits/pdf/centerforaerospacepolicystudies_2021_economic_potential_of_oil.pdf,_data/5a_societal_benefits/csv/centerforaerospacepolicystudies_2021_economic_potential_of_oil.csv
Monetising the Savings of Remotely Sensed Data and Information in Burn Area Emergency Response (BAER) Wildfire Assessment,"Bernknopf, Richard and Kuwayama, Yusuke and Gibson, Reily and Blakely, Jessica and Mabee, Bethany and Clifford, T. J. and Quayle, Brad and Epting, Justin and Hardy, Terry and Goodrich, David",2021,_data/5a_societal_benefits/pdf/bernknopf_2021_monetising_the_savings_of.pdf,_data/5a_societal_benefits/csv/bernknopf_2021_monetising_the_savings_of.csv
A Scalable Earth Observations-Based Decision Support System for Hydropower Planning in Africa,"Koppa, Akash and Gebremichael, Mekonnen and Hopson, Thomas M. and Riddle, Emily and Boehnert, Jennifer and Broman, Daniel P.",2021,_data/5a_societal_benefits/pdf/koppa_2021_a_scalable_earth_observations.pdf,_data/5a_societal_benefits/csv/koppa_2021_a_scalable_earth_observations.csv
Enhancing the Application of Earth Observations for Improved Environmental Decision-Making Using the Early Warning eXplorer (EWX,"Shukla, Shraddhanand and Landsfeld, Martin and Anthony, Michelle and Budde, Michael and Husak, Gregory J. and Rowland, James and Funk, Chris",2021,_data/5a_societal_benefits/pdf/shukla_2021_enhancing_the_application_of.pdf,_data/5a_societal_benefits/csv/shukla_2021_enhancing_the_application_of.csv
Valuing User Preferences for Geospatial Fire Monitoring in Guatemala,"Berenter, Jared and Morrison, Isaac and Mueller, Julie M.",2021,_data/5a_societal_benefits/pdf/berenter_2021_valuing_user_preferences_for.pdf,_data/5a_societal_benefits/csv/berenter_2021_valuing_user_preferences_for.csv
Knowledge Generation Using Satellite Earth Observations to Support Sustainable Development Goals (SDG): A Use Case on Land Degradation,"Giuliani, Gregory and Mazzetti, Paolo and Santoro, Mattia and Nativi, Stefano and Van Bemmelen, Joost and Colangeli, Guido and Lehmann, Anthony",2020,_data/5a_societal_benefits/pdf/giuliani_2020_knowledge_generation_using_satellite.pdf,_data/5a_societal_benefits/csv/giuliani_2020_knowledge_generation_using_satellite.csv
Essential Variables for Environmental Monitoring: What Are the Possible Contributions of Earth Observation Data Cubes,"Giuliani, Gregory and Egger, Elvire and Italiano, Julie and Poussin, Charlotte and Richard, Jean-Philippe and Chatenoux, Bruno",2020,_data/5a_societal_benefits/pdf/giuliani_2020_essential_variables_for_environmental.pdf,_data/5a_societal_benefits/csv/giuliani_2020_essential_variables_for_environmental.csv
Cloud Services with Big Data Provide a Solution for Monitoring and Tracking Sustainable Development Goals,"Wu, Bingfang and Tian, Fuyou and Zhang, Miao and Zeng, Hongwei and Zeng, Yuan",2020,_data/5a_societal_benefits/pdf/wu_2020_cloud_services_with_big.pdf,_data/5a_societal_benefits/csv/wu_2020_cloud_services_with_big.csv
Assessing the Full Effects of Public Investment in Space,"Clark, John and Koopmans, Carl and Hof, Bert and Knee, Paula and Lieshout, Rogier and Simmonds, Paul and Wokke, Frank",2014,_data/5a_societal_benefits/pdf/clark_2014_assessing_the_full_effects.pdf,_data/5a_societal_benefits/csv/clark_2014_assessing_the_full_effects.csv
Intangible Economic Benefit of Remote Sensing Data in Indonesia,"Diana, Shinta Rahma and Ibrahim, Ida Musdafia",2020,_data/5a_societal_benefits/pdf/diana_2020_intangible_economic_benefit_of.pdf,_data/5a_societal_benefits/csv/diana_2020_intangible_economic_benefit_of.csv
A Method for Estimating the Socioeconomic Impact of Earth Observations in Wildland Fire Suppression Decisions,"Herr, Vincent and Kochanski, Adam K. and Miller, Van V. and McCrea, Rich and O'Brien, Dan and Mandel, Jan",2020,_data/5a_societal_benefits/pdf/herr_2020_a_method_for_estimating.pdf,_data/5a_societal_benefits/csv/herr_2020_a_method_for_estimating.csv
Benefits of the Free and Open Landsat Data Policy,"Zhu, Zhe and Wulder, Michael A. and Roy, David P. and Woodcock, Curtis E. and Hansen, Matthew C. and Radeloff, Volker C. and Healey, Sean P. and Schaaf, Crystal and Hostert, Patrick and Strobl, Peter and Pekel, Jean-Francois and Lymburner, Leo and Pahlevan, Nima and Scambos, Ted A.",2019,_data/5a_societal_benefits/pdf/zhu_2019_benefits_of_the_free.pdf,_data/5a_societal_benefits/csv/zhu_2019_benefits_of_the_free.csv
