"id","title","abstract","publication_year","authors","type_of_reference","journal_name","doi","other_fields","tags","date_screened_t&a","t&a_status","t&a_exclusion_reasons","date_screened_fulltext"
7037221,"Remote Sensing Products And Services In Support Of Agricultural Public Policies In Africa: Overview And Challenges","In the last decade, governments, international institutions, donors, the private sector, etc. have shown a renewed interest in agricultural issues in Sub-Saharan Africa (SSA). This interest came with a strong need for information in countries where the lack of reliable and timely basic information can be a problem. Thanks to its capacity to observe the Earth at local, regional, and global scales and from various vantage points, satellite remote sensing is a powerful tool to streamline the monitoring and improvement of the existing systems, and thus to support decision-making. However, the path from satellite images to public policy decisions is not straightforward, and today, only few operational information services are available in SSA countries (e.g., early warning systems for food security and desert locust plagues prevention, rangeland production forecasting). This paper aims to analyze the gap between the technical aspects of the remote sensing sciences and the pragmatic need for relevant data to address agricultural policies in Africa and produce operational recommendations. To achieve this goal, the authors (1) determine the information, and in particular the geoinformation, needed to develop, implement and evaluate agricultural public policies (2) illustrate the role of remote sensing as a public policy tool in SSA through an overview of the current off-the-shelf products and services derived from Earth Observation systems, and (3) propose an analysis of the existing gap between the remote sensing research community and the policy makers. Based on this review, the authors conclude that to benefit from this technological advancement and bridge the gap between technical analysts and policy makers, some key points are fundamental: capacity building, political will and institutional commitment, public-private partnership, and proofs of concept.",NA,NA,"article",NA,"10.3389/fsufs.2020.00058","{""notes"": ""('begue_remotesensingproductsservices_2020',)""}","{}",2024-10-30 17:18:19,"included",NA,NA
6691716,"Future earth observation strategy for societal benefits","This invited paper presents the future intelligent observing system (FIEOS) and event-driven earth observation concepts as well as their connections to societal benefits for both decision-makers and the general public. The elucidated linkage and flow of information from FIEOS to societal benefits is interoperable. With the envisioned FIEOS, this paper places an emphasis on (i) How to apply the FIEOS to increase the efficiency of monitoring natural disaster, to improve the natural disaster management, and to mitigate disasters through providing highly accurate, and reliable surveillance data for experts, analysts, and decision-makers; (ii) How to significantly increase and extend societal benefits to the future U.S. Earth observation application strategy in, for example, realtime response to time-critical events, and disastrous environmental monitoring. Therefore, this paper presents the analysis of FIEOS to society benefit in the realms: (i) reducing loss of life and property from natural and human-induced disasters, (ii) improving human health and well-being, (iii) improving wealth forecasting, (iv) supporting sustainable agriculture, and (v) serving lay people.",2005,"{""Zhou, Guoqing""}","ARTICLE",NA,"https://doi.org/10.1109/IGARSS.2005.1526433","{}","{maybe}",2024-04-22 02:38:22,"included",NA,NA
7037354,"Solar Project Financing, Bankability, And Resource Assessment","This chapter deals with issues involved during solar project financing and resource assessment. In the first half of the chapter, an overview of financing and bankability of utility-scale photovoltaic (PV) plants is provided, with a slight touch on microgrid PV financing. The discussion revolves around risk management, which requires rigorous assessment of the financial viability. Since a robust solar radiation dataset is essential for securing competitive financing for solar-power projects, the second half of the chapter discusses solar resource assessment—a data-oriented exercise. The best practices on solar resource calculation are exemplified through various case studies using data collected at a tropical site: Singapore. Subsequently, 5 latest satellite-derived irradiance products and 2 latest global reanalysis products are reviewed. Detailed instruction for data downloading is also provided to facilitate the worldwide uptake of these high-quality data. Latest scientific methods on site adaptation—a class of procedures to reduce the uncertainties embedded in gridded products—are presented with a Brazilian case study. © 2020, Springer Nature Switzerland AG.",NA,NA,"article",NA,"10.1007/978-3-030-41952-3_8","{""notes"": ""('yang_solarprojectfinancingbankability_2020',)""}","{}",2024-12-17 04:28:29,"included",NA,NA
7038064,"Disaster Management And Virtual Globes: A High Potential For Developing Countries","Today, the added value of geoinformation for crisis management is well known and accepted. However, experiences show that disaster management units on local administrative levels in the developing world often lack the use of Geographic Information Systems for analysing spatial interrelations and making their own maps. Various studies mention the shortage of financial resources, human capacity, and adequate knowledge as reasons for that. In recent years publically available virtual globes like Google Earth (TM), Microsoft (R) Bing T Maps 3D or Nasa World Wind enjoy great popularity. The accessibility of worldwide high resolution satellite data, their intuitive user interface, and the ability to integrate own data support this success. In this chapter, the potential of these new geospatial technologies for supporting disaster preparedness and response is demonstrated, using the example of Google Earth T. Possibilities for the integration of data layers from third parties, the digitization of own layers, as well as the analytical capacities are examined. Furthermore, a printing module is presented, which supports the production of paper maps based on data previously collected and edited in Google Earth T. The efficiency of the proposed approach is demonstrated for a disaster management scenario in Legazpi, a Philippine city exposed to several natural hazards due to the vicinity to Mayon volcano and the annually occuring typhoons in the region. With this research, current technological trends in geospatial technologies are taken up and investigated on their potential for professional use. Moreover, it is demonstrated that by using freely available software general constraints for using GIS in developing countries can be overcome. Most importantly, the approach presented guarantees low cost for implementation and reproducibility, which is essential for its application in developing countries.",NA,NA,"article",NA,"10.4018/978-1-4666-2038-4.ch095","{""notes"": ""('zeug_disastermanagementvirtualglobes_2013',)""}","{}",2024-11-18 19:38:38,"included",NA,NA
7037579,"Management Of Humanitarian Relief Operations Using Satellite Big Data Analytics: The Case Of Kerala Floods","Disasters lead to breakdown of established Information and Communication Technology (ICT) infrastructure. ICT breakdown obstructs the channel to gather real-time last mile information directly from the disaster-stricken communities and thereby hampers the agility of humanitarian supply chains. This creates a complex, chaotic, uncertain, and restrictive environment for humanitarian relief operations, which struggles for credible information to prioritize and deliver effective relief services. In this paper, we discuss how satellite big data analytics built over real-time weather information, geospatial data and deployed over a cloud-computing platform aided in achieving improved coordination and collaboration between rescue teams for humanitarian relief efforts in the case of 2018 Kerala floods. The analytics platform made available to the stakeholders involved in the rescue operations led to timely logistical planning and execution of rescue missions. The developed platform improved the accuracy of information between the distressed community and the stakeholders involved and thereby increased the agility of humanitarian logistics and relief supply chains. This research proves the utility of fusing data sources that are normally sitting as islands of information using big data analytics to prioritize humanitarian relief operations. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",NA,NA,"article",NA,"10.1007/s10479-020-03593-w","{""notes"": ""('nagendra_managementhumanitarianreliefoperations_2022',)""}","{}",2024-12-13 20:07:55,"included",NA,NA
6903586,"Modelling And Evaluation Of Land Use Changes Through Satellite Images In A Multifunctional Catchment: Social, Economic And Environmental Implications","Floods are recurrent phenomena with significant environmental and socio-economic impacts. The risk of flooding increases when land use changes. The objective of this research is to detect land cover changes via Sentinel-2 images in the Umia Basin (Galicia, NW Spain) in 2016-2021 and to analyse the associated flood risk. This study focuses on how forest use and nature-based solutions (NBS) can reduce the risk and hazard of flooding in cities and crops in the high-risk area. A flood simulation was performed with the land use obtained from Sentinel-2 (Observed) and three more simulations were performed changing the location of afforestation and NBS, i.e. ""S-Upstream"", ""S-Downstream"" and ""S-Total"". Finally, the environmental, economic and social impacts of the scenarios designed and estimated are analysed and discussed. Land cover change was successfully monitored with Sentinel-2 imagery. The catchment area showed noteworthy changes in land use, most notably for the category of trees, which covered 6700 ha in 2016 and 10,911 ha in 2021. However riparian vegetation decreased by almost 11\%. For the flood hazard simulations, an average reduction in peak discharge was obtained for all three scenarios (9.3\% for S-Up; 8.6\% for S-Down and 13\% for S-Total). From the economic perspective, all three scenarios show a positive net present value for the period studied. However, S-Down is the scenario with the lowest benefits (euro15,476,487), while S-Up and S-Total show better values at euro29,580,643 and euro65,158,130 respectively. However, investment cost is much higher for the S-Total scenario, and upstream actions affect the whole catchment, so S-Up is the best decision. This study concludes that the information provided by satellites is a large-scale analysis tool for small heterogeneous plots that facilitates the comprehensive analysis of a territory. This information can be incorporated into flood analysis models, facilitating simulation through the use of NBS. It has been proven that the use of reforestation upstream only is almost as beneficial as reforestation in the entire catchment and is economically more viable. This confirms that the methodology used reduces flood hazard, despite the territorial complexity, facilitating decision making on the use of NBS.",NA,NA,"article",NA,"10.1016/j.ecoinf.2022.101777","{""notes"": ""('acunaalonso_modellingevaluationlandsatellite_2022',)""}","{}",2024-09-26 00:50:29,"included",NA,NA
7037121,"The Utility Of Airborne Hyperspectral And Satellite Multispectral Images In Identifying Natura 2000 Non-Forest Habitats For Conservation Purposes","Aerial hyperspectral and multispectral satellite data are the two most commonly used datasets to identify natural and semi-natural vegetation. However, there is no documented analysis based on data from several areas concerning the difference in the classification accuracy of non-forest Natura 2000 habitat with the use of aerial hyperspectral and satellite multispectral data. Also, there is no recommendation, on which habitat can be classified with sufficient accuracy using free multispectral images. This study aimed to analyse the difference in classification accuracy of Natura 2000 habitats representing: meadows, grasslands, heaths and mires between data with different spectral resolutions and the results utility for nature conservation compared to conventional maps. The analysis was conducted in five study areas in Poland. The classification was performed on multispectral Sentinel-2 (S2) and hyperspectral HySpex (HS) images using the Random Forest algorithm. Based on the results, it can be stated that the use of HS data resulted in higher classification accuracy, on average 0.14, than using S2 images, regardless of the area of the habitat. However, the difference in accuracy was not constant, varying by area and habitat characterisation. Greater differences in accuracy were observed for areas where habitats were characterised by high alpha-diversity or beta-diversity. The HS and S2 data make it possible to create maps that provide a great deal of new knowledge about the distribution of Natura 2000 habitats, which is necessary for the management of protected areas. The obtained results indicate that by using S2 images it is possible to identify, at a satisfactory level, alluvial meadows and grassland. For heaths and mires, using HS data improved the results, but it is also possible to acquire general distribution of these classes, whereas HS images are obligatory for mapping salt, Molinia and lowland hay meadows.",NA,NA,"article",NA,"10.1038/s41598-023-31705-6","{""notes"": ""('jarocinska_utilityairbornehyperspectralsatellite_2023',)""}","{}",2024-11-21 02:21:21,"included",NA,NA
6691648,"CEOS contributions to informing energy management and policy decision making using space-based Earth observations","Earth observations are playing an increasingly significant role in informing decision making in the energy sector. In renewable energy applications, space-based observations now routinely augment sparse ground-based observations used as input for renewable energy resource assessment applications. As one of the nine Group on Earth Observations (GEO) societal benefit areas, the enhancement of management and policy decision making in the energy sector is receiving attention in activities conducted by the Committee on Earth Observation Satellites (CEOS). CEOS has become the ""space arm"" for the implementation of the Global Earth Observation System of Systems (GEOSS) vision. It is directly supporting the space-based, near-term tasks articulated in the GEO three-year work plan. This paper describes a coordinated program of demonstration projects conducted by CEOS member agencies and partners to utilize Earth observations to enhance energy management end-user decision support systems. We discuss the importance of engagement with stakeholders and understanding their decision support needs in successfully increasing the uptake of Earth observation products for societal benefit. Several case studies are presented, demonstrating the importance of providing data sets in formats and units familiar and immediately usable by decision makers. These projects show the utility of Earth observations to enhance renewable energy resource assessment in the developing world, forecast space weather impacts on the power grid, and improve energy efficiency in the built environment.",2012,"{""Eckman, Richard S.""}","ARTICLE",NA,"https://doi.org/10.1016/j.apenergy.2011.03.001","{}","{}",2024-04-22 02:30:27,"included",NA,NA
7036902,"Drone-Based Harvest Data Prediction Can Reduce On-Farm Food Loss And Improve Farmer Income","On-farm food loss (i.e., grade-out vegetables) is a difficult challenge in sustainable agricultural systems. The simplest method to reduce the number of grade-out vegetables is to monitor and predict the size of all individuals in the vegetable field and determine the optimal harvest date with the smallest grade-out number and highest profit, which is not cost-effective by conventional methods. Here, we developed a full pipeline to accurately estimate and predict every broccoli head size (n > 3,000) automatically and nondestructively using drone remote sensing and image analysis. The individual sizes were fed to the temperature-based growth model and predicted the optimal harvesting date. Two years of field experiments revealed that our pipeline successfully estimated and predicted the head size of all broccolis with high accuracy. We also found that a deviation of only 1 to 2 days from the optimal date can considerably increase grade-out and reduce farmer's profits. This is an unequivocal demonstration of the utility of these approaches to economic crop optimization and minimization of food losses.",NA,NA,"article",NA,"10.34133/plantphenomics.0086","{""notes"": ""('wang_dronebasedharvestdata_2023',)""}","{}",2024-12-18 18:32:36,"included",NA,NA
6659922,"Earth Observation Satellite Data In Support Of Water Management For Agriculture","The Earth Observation (EO) satellite data provided within the Copernicus Programme supports the monitoring and sustainable management of agriculture. For example, satellite data are useful for agriculture mapping, crop health monitoring, land planning, disease mitigation, crop yields estimation, precise agriculture, and sustainable irrigation water management. The identification of non-authorised water abstractions for irrigation is of high importance since the drought phenomenon is increasingly in the past decades due to climate change. This aspect is addressed by DIANA - ""Detection and Integrated Assessment of Non-authorised water Abstractions using EO"", a project funded by the European Commission in the frame of H2020 (European Union Framework Programme for Research and Innovation). The project will integrate data acquired by the Sentinel missions (Sentinel-1, Sentinel-2 and Sentinel-3) and as well Landsat and MODIS. Other types of data (meteorological, land use/land cover, digital elevation models, soil, etc.) will support the satellite data processing and the generation of value-added products. In addition, the project aims at significantly improve the monitoring and assessment of the water management policies and practices. As the project is in its initial phase, the results presented in this article are preliminary. The project will demonstrate the relevance of EO data for sustainable agriculture management and will bring societal and environmental benefits to the end users.",2017,"{""Badea, Alexandru"",""Moise, Cristian"",""Negula, Iulia Dana"",""Poenaru, Violeta""}","ARTICLE",NA,NA,"{}","{cco}",2024-04-11 22:02:52,"included",NA,NA
