title,author,year,key,pdf_out,csv_out
Remote Sensing Capabilities for Observational Drought Assessment,"Abdollahi, K. and Eslami, Z.",2023,abdollahi_remotesensingcapabilitiesobservational_2023,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/abdollahi_2023_remote_sensing_capabilities_for.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/abdollahi_2023_remote_sensing_capabilities_for.csv
Centers for Space Science and Technology Education - a United-Nations Initiative,"ABIODUN, {\relax AA",1993,abiodun_centersspacesciencetechnology_1993,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/abiodun_1993_centers_for_space_science.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/abiodun_1993_centers_for_space_science.csv
Sebu: A Novel Fully Automated Google Earth Engine Surface Energy Balance Model for Urban Areas,"Abunnasr, Yaser and Mhawej, Mario and Chrysoulakis, Nektarios",2022,abunnasr_sebuautomatedgoogleearth_2022,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/abunnasr_2022_sebu_a_novel_fully.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/abunnasr_2022_sebu_a_novel_fully.csv
"Trends and Projections Analysis of Precipitation and Temperature Data Using Ccsm4 and Gsmap\_nrt: Case Study in Sohar, Sultanate of Oman","Afandy, M. and Alamrani, A. and Ibrahim, O. and Maghawry, S. A.",2023,afandy_trendsprojectionsanalysisprecipitation_2023,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/afandy_2023_trends_and_projections_analysis.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/afandy_2023_trends_and_projections_analysis.csv
Predicting Poverty Index Using Deep Learning on Remote Sensing and Household Data,"Agarwal, P. and Garg, N. and Singh, P.",2019,agarwal_predictingpovertyindexdeep_2019,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/agarwal_2019_predicting_poverty_index_using.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/agarwal_2019_predicting_poverty_index_using.csv
Operational Evaluation of a Wildfire Air Quality Model from a Forecaster Point of View,"Ainslie, Bruce and So, Rita and Chen, Jack",2022,ainslie_operationalevaluationwildfireair_2022,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/ainslie_2022_operational_evaluation_of_a.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/ainslie_2022_operational_evaluation_of_a.csv
"Advances in Remote Sensing of Coastal Wetlands: Lidar, Sar, and Object-Oriented Case Studies from North Carolina","Allen, T. R.",2014,allen_advancesremotesensingcoastal_2014,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/allen_2014_advances_in_remote_sensing.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/allen_2014_advances_in_remote_sensing.csv
Bioclimatic Variables from Precipitation and Temperature Records vs. Remote Sensing-Based Bioclimatic Variables: Which Side Can Perform Better in Species Distribution Modeling?,"Amiri, Mohadeseh and Tarkesh, Mostafa and Jafari, Reza and Jetschke, Gottfried",2020,amiri_bioclimaticvariablesprecipitationtemperature_2020,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/amiri_2020_bioclimatic_variables_from_precipitation.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/amiri_2020_bioclimatic_variables_from_precipitation.csv
Use of Remote Sensing and Gis for Identifying Tanks and Rehabilitation Benefits to the Rural Areas,"Anand, S. and Kakumanu, K. R. and Amarasinghe, U. A.",2019,anand_remotesensinggisidentifying_2019,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/anand_2019_use_of_remote_sensing.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/anand_2019_use_of_remote_sensing.csv
Mapping of Potential Fuel Regions Using Uncrewed Aerial Vehicles for Wildfire Prevention,"Andrada, Maria Eduarda and Russell, David and {Arevalo-Ramirez}, Tito and Kuang, Winnie and Kantor, George and Yandun, Francisco",2023,andrada_mappingpotentialfuelregions_2023,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/andrada_2023_mapping_of_potential_fuel.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/andrada_2023_mapping_of_potential_fuel.csv
Estimation of Surface Soil Moisture with Downscaled Land Surface Temperatures Using a Data Fusion Approach for Heterogeneous Agricultural Land,"Bai, L. and Long, D. and Yan, L.",2019,bai_estimationsurfacesoilmoisture_2019,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/bai_2019_estimation_of_surface_soil.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/bai_2019_estimation_of_surface_soil.csv
Influence of Spatial Resolution on Satellite-Based Pm2.5 Estimation: Implications for Health Assessment,"Bai, H. and Shi, Y. and Seong, M. and Gao, W. and Li, Y.",2022,bai_influencespatialresolutionsatellite_2022,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/bai_2022_influence_of_spatial_resolution.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/bai_2022_influence_of_spatial_resolution.csv
Geo-Cropsim: A Geo-Spatial Crop Simulation Modeling Framework for Regional Scale Crop Yield and Water Use Assessment,"Bandaru, V. and Yaramasu, R. and Jones, C. and C{\'e}sar Izaurralde, R. and Reddy, A. and Sedano, F. and Daughtry, C. S. T. and {Becker-Reshef}, I. and Justice, C.",2022,bandaru_geocropsimgeospatial_2022,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/bandaru_2022_geo_cropsim_a_geo.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/bandaru_2022_geo_cropsim_a_geo.csv
Mapping Open Data and Big Data to Address Climate Resilience of Urban Informal Settlements in Sub-Saharan Africa,"Banzhaf, Ellen and Bulley, Henry N. and Inkoom, Justice Nana and Elze, Sebastian",2022,banzhaf_mappingdatadataaddress_2022,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/banzhaf_2022_mapping_open_data_and.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/banzhaf_2022_mapping_open_data_and.csv
Testing and Validation of Cloud Infrastructures for Earth Observation Services with Satellite Constellations,"Becedas, J. and P{\'e}rez, R. and Gonz{\'a}lez, G.",2015,becedas_testingvalidationcloudinfrastructures_2015,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/becedas_2015_testing_and_validation_of.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/becedas_2015_testing_and_validation_of.csv
Operational Meteorological Satellites and Utilization of Their Data by Deutscher Wetterdienst,"Benesch, W. and Kurz, M.",1991,benesch_operationalmeteorologicalsatellitesutilization_1991,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/benesch_1991_operational_meteorological_satellites_and.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/benesch_1991_operational_meteorological_satellites_and.csv
More than Counting Pixels - Perspectives on the Importance of Remote Sensing Training in Ecology and Conservation,"Bernd, Asja and Braun, Daniela and Ortmann, Antonia and {Ulloa-Torrealba}, Yrneh Z. and Wohlfart, Christian and Bell, Alexandra",2017,bernd_countingpixelsperspectivesimportance_2017,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/bernd_2017_more_than_counting_pixels.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/bernd_2017_more_than_counting_pixels.csv
Examining the Value of Satellite Data in Halting Transmission of Polio in Nigeria: A Socioeconomic Analysis,"Borowitz, Mariel and Zhou, Janet and Azelton, Krystal and Nassar, Isabelle-Yara",2023,borowitz_examiningsatellitedatahalting_2023,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/pdf/borowitz_2023_examining_the_value_of.pdf,C:/Users/casey/Documents/github/sp1_systematic_map/_data/5e_classifier_round3/csv/borowitz_2023_examining_the_value_of.csv
