title,key,author,journal,year,doi
Remote Sensing Capabilities For Observational Drought Assessment,abdollahi_remotesensingcapabilitiesobservational_2023,"Abdollahi, K. and Eslami, Z.","Integrated Drought Management, Volume 2: Forecasting, Monitoring, And Managing Risk",2023,10.1201/9781003276548-20
"Trends And Projections Analysis Of Precipitation And Temperature Data Using Ccsm4 And Gsmap_nrt: Case Study In Sohar, Sultanate Of Oman",afandy_trendsprojectionsanalysisprecipitation_2023,"Afandy, M. and Alamrani, A. and Ibrahim, O. and Maghawry, S. A.",Environment And Ecology Research,2023,10.13189/eer.2023.110411
Predicting Poverty Index Using Deep Learning On Remote Sensing And Household Data,agarwal_predictingpovertyindexdeep_2019,"Agarwal, P. and Garg, N. and Singh, P.",International Journal Of Recent Technology And Engineering,2019,10.35940/ijrte.c3918.098319
"Advances In Remote Sensing Of Coastal Wetlands: Lidar, Sar, And Object-Oriented Case Studies From North Carolina",allen_advancesremotesensingcoastal_2014,"Allen, T. R.",Coastal Research Library,2014,10.1007/978-3-319-06326-3_17
Use Of Remote Sensing And Gis For Identifying Tanks And Rehabilitation Benefits To The Rural Areas,anand_remotesensinggisidentifying_2019,"Anand, S. and Kakumanu, K. R. and Amarasinghe, U. A.",Journal Of Rural Development,2019,10.25175/jrd/2019/v38/i1/121801
Influence Of Spatial Resolution On Satellite-Based Pm2.5 Estimation: Implications For Health Assessment,bai_influencespatialresolutionsatellite_2022,"Bai, H. and Shi, Y. and Seong, M. and Gao, W. and Li, Y.",Remote Sensing,2022,10.3390/rs14122933
Testing And Validation Of Cloud Infrastructures For Earth Observation Services With Satellite Constellations,becedas_testingvalidationcloudinfrastructures_2015,"Becedas, J. and Pérez, R. and González, G.",International Journal Of Remote Sensing,2015,10.1080/01431161.2015.1070324
Operational Meteorological Satellites And Utilization Of Their Data By Deutscher Wetterdienst,benesch_operationalmeteorologicalsatellitesutilization_1991,"Benesch, W. and Kurz, M.",Geojournal,1991,10.1007/bf00213056
Resource Management In Rangeland,booth_resourcemanagementrangeland_2015,"Booth, D. T. and Cox, S. E.",Gis Applications In Agriculture: Volume Four • Conservation Planning,2015,10.1201/b18173-15
Remote Sensing Satellites And Privacy: A Framework For Policy Assessment,brennan_remotesensingsatellitesprivacy_1995,"Brennan, T. J. and Macauley, M. K.",Information & Communications Technology Law,1995,10.1080/13600834.1995.9965723
Using The Social Cost Of Carbon To Value Earth Observing Systems,cooke_socialcostcarbonearth_2017,"Cooke, R. and Golub, A. and Wielicki, B. A. and Young, D. F. and Mlynczak, M. G. and Baize, R. R.",Climate Policy,2017,10.1080/14693062.2015.1110109 and ce and real option value and social cost of carbon and value of information and united states and carbon emission and decision making and emission control and environmental economics and environmental policy
Contribution Of Remote Sensing For Crop And Water Monitoring,courault_contributionremotesensingcrop_2016,"Courault, D. and Demarez, V. and Guérif, M. and Le Page, M. and Simonneaux, V. and Ferrant, S. and Veloso, A.",Land Surface Remote Sensing In Agriculture And Forest,2016,10.1016/b978-1-78548-103-1.50004-2
High Resolution Satellite Image Orientation Models,crespi_resolutionsatelliteimageorientation_2009,"Crespi, M. and Fratarcangeli, F. and Giannone, F. and Pieralice, F.",Geospatial Technology For Earth Observation,2009,10.1007/978-1-4419-0050-0_4
Possibilities Of The Practical Application Of Remote Sensing Data In Real Property Appraisal,dabrowski_possibilitiespracticalapplicationremote_2015,"Dąbrowski, R. and Latos, D.",Real Estate Management And Valuation,2015,10.1515/remav-2015-0016
Challenges And Opportunities Of Digital Technology In Soil Quality And Land Management Research,depaulobade_challengesopportunitiesdigitaltechnology_2021,"de Paul Obade, V. and Gaya, C. and Obade, P. T.",Environment And Climate-Smart Food Production,2021,10.1007/978-3-030-71571-7_9
Role Of Satellite Remote Sensing In The Geographic Information Economics In France,denegre_rolesatelliteremotesensing_1991,"Denégre, J.",Isprs Journal Of Photogrammetry And Remote Sensing,1991,10.1016/0924-2716(91)90065-4
Applying Bag Of Words Approach To Determine Remote Sensing Technology Acceptance Among Smallholder Plantations,diana_applyingbagwordsapproach_2023,"Diana, S. R. and Farida, F.",Arab Gulf Journal Of Scientific Research,2023,10.1108/agjsr-02-2023-0056
Implication Of Geo-Informatics (Gis/Rs) On Agricultural Irrigation Management: The State Of The Art,elbana_implicationgeoinformaticsgis_2019,"Elbana, M. and Bakr, N. and Karajeh, F.",Handbook Of Environmental Chemistry,2019,10.1007/698_2017_174
"Groundwater Recharges Assessment Using Novel Remote Sensing Approach In Asir Region, Saudi Arabia",elhag_groundwaterrechargesassessmentremote_2013,"Elhag, M. and Bahrawi, J.",World Applied Sciences Journal,2013,10.5829/idosi.wasj.2013.28.01.1871
Precision Farming: Technologies And Information As Risk-Reduction Tools,hall_precisionfarmingtechnologiesinformation_1999,"Hall, F. R.",Acs Symposium Series,1999,10.1021/bk-1999-0734.ch008
"Gap-Free Monitoring Of Annual Mangrove Forest Dynamics In Ca Mau Province, Vietnamese Mekong Delta, Using The Landsat-7-8 Archives And Post-Classification Temporal Optimization",hauser_gapfreemonitoringannual_2020,"Hauser, L. T. and Binh, N. A. and Hoa, P. V. and Quan, N. H. and Timmermans, J.",Remote Sensing,2020,10.3390/rs12223729
"Mapping Crop Fractional Green Canopy Cover Using High Spatial Resolution Thermal And Optical Remote Sensing In Southern Ontario, Canada",he_mappingcropfractionalgreen_2022,"He, Y. and Dosanjh, M. and Shang, J. and Liu, J. and Drury, C. F. and Yang, X. and Yang, J. and Dao, P. D. and Axiotis, A. and Proctor, C.",Geomatica,2022,10.1139/geomat-2021-0008
Economic Valuation Of Mangroves In The Niger Delta: An Interdisciplinary Approach,james_economicvaluationmangrovesniger_2010,"James, G. K. and Adegoke, J. O. and Saba, E. and Nwilo, P. and Akinyede, J. and Osagie, S.",World Fisheries: A Social-Ecological Analysis,2010,10.1002/9781444392241.ch15
Rejuvenation Of Agriculture In India: Cost Benefits In Using Eo Products,jayaraman_rejuvenationagricultureindiacost_2008,"Jayaraman, V. and Parihar, J. S. and Srivastava, S. K.",Acta Astronautica,2008,10.1016/j.actaastro.2007.12.027
A Review Of Approaches For Automated Habitat Mapping And Their Potential Added Value For Biodiversity Monitoring Projects,jongman_reviewapproachesautomatedhabitat_2019,"Jongman, R. H. G. and Mücher, C. A. and Bunce, R. G. H. and Lang, M. and Sepp, K.",Journal Of Landscape Ecology(Czech Republic),2019,10.2478/jlecol-2019-0015
Copernicus Program,jutz_copernicusprogram_2017,"Jutz, S. and Milagro-Pérez, M. P.",Comprehensive Remote Sensing,2017,10.1016/b978-0-12-409548-9.10317-3
Applications Of Geospatial Technologies For Precision Agriculture,khan_applicationsgeospatialtechnologiesprecision_2023,"Khan, M. R. and Crabbe, R. A. and Malik, N. A. and O'Meara, L.","Precision Agriculture: Evolution, Insights And Emerging Trends",2023,10.1016/b978-0-443-18953-1.00004-0
Remote Sensing Of Wetlands: Case Studies Comparing Practical Techniques,klemas_remotesensingwetlandsstudies_2011,"Klemas, V.",Journal Of Coastal Research,2011,10.2112/jcoastres-d-10-00174.1
Early Detection And Monitoring Droughts From Noaa Environmental Satellites,kogan_detectionmonitoringdroughtsnoaa_2011,"Kogan, F. and Guo, W.",Nato Science For Peace And Security Series C: Environmental Security,2011,10.1007/978-90-481-9618-0_2
Comparative Analysis Of Machine Learning Algorithms In Automatic Identification And Extraction Of Water Boundaries,li_comparativeanalysismachinelearning_2021,"Li, A. and Fan, M. and Qin, G. and Xu, Y. and Wang, H.",Applied Sciences (Switzerland),2021,10.3390/app112110062
Potential Of Npp-Viirs Nighttime Light Imagery For Modeling The Regional Economy Of China,li_potentialnppviirsnighttime_2013,"Li, X. and Xu, H. and Chen, X. and Li, C.",Remote Sensing,2013,10.3390/rs5063057
Digitalization And Agricultural Development: Evidence From Morocco,lionboui_digitalizationagriculturaldevelopmentevidence_2022,"Lionboui, H. and Boudhar, A. and Lebrini, Y. and Htitiou, A. and Elame, F. and Hadria, R. and Benabdelouahab, T.",Food Security And Climate-Smart Food Systems: Building Resilience For The Global South,2022,10.1007/978-3-030-92738-7_16
Redefining Climate Regions In The United States Of America Using Satellite Remote Sensing And Machine Learning For Public Health Applications,liss_redefiningclimateregionsunited_2014,"Liss, A. and Koch, M. and Naumova, E. N.",Geospatial Health,2014,10.4081/gh.2014.294
Use Of Google Earth™ To Strengthen Public Health Capacity And Facilitate Management Of Vector-Borne Diseases In Resource-Poor Environments,lozanofuentes_googleearthstrengthenpublic_2008,"Lozano-Fuentes, S. and Elizondo-Quiroga, D. and Farfan-Ale, J. A. and Loroño-Pino, M. A. and Garcia-Rejon, J. and Gomez-Carro, S. and Lira-Zumbardo, V. and Najera-Vazquez, R. and Fernandez-Salas, I. and Calderon-Martinez, J. and Dominguez-Galera, M. and Mis-Avila, P. and Morris, N. and Coleman, M. and Moore, C. G. and Beatya, B. J. and Eisen, L.",Bulletin Of The World Health Organization,2008,10.2471/blt.07.045880
Impacts Of Geospatial Information For Decision Making,pearlman_impactsgeospatialinformationdecision_2014,"Pearlman, F. and Bernknopf, R. and Stewart, M. A. and Pearlman, J. S.",Advances In Natural And Technological Hazards Research,2014,10.1007/978-3-319-01821-8_10
"Mapping Of Environmental Sensitivity Index To Oil Spill From Landsat Tm Images: ""A Study Case On The Amazon Coastal Plain""",rodrigues_mappingenvironmentalsensitivityindex_2013,"Rodrigues, S. W. P. and Souza-Filho, P. W. M.",Revista Brasileira De Geofisica,2013,10.22564/rbgf.v30i4.240
Key Technologies Of Monitoring High Temperature Stress To Rice By Portable Uav Multi Spectral Remote Sensing,shi_keytechnologiesmonitoringtemperature_2020,"Shi, T. and Yang, T. M. and Huang, Y. and Li, X. and Liu, Q. and Yang, Y. J.",Chinese Journal Of Agrometeorology,2020,10.3969/j.issn.1000-6362.2020.09.006
Aggregating High-Priority Landscape Areas To The Parcel Level: An Easement Implementation Tool,strager_aggregatingprioritylandscapeparcel_2007,"Strager, M. P. and Rosenberger, R. S.",Journal Of Environmental Management,2007,10.1016/j.jenvman.2006.01.007
Water Balance Estimation Of A Poorly Gauged Catchment In West Africa Using Dynamically Downscaled Meteorological Fields And Remote Sensing Information,wagner_waterbalanceestimationpoorly_2009,"Wagner, S. and Kunstmann, H. and Bárdossy, A. and Conrad, C. and Colditz, R. R.",Physics And Chemistry Of The Earth,2009,10.1016/j.pce.2008.04.002
"Cloud Data And Computing Services Allow Regional Environmental Assessment: A Case Study Of Macquarie-Castlereagh Basin, Australia",wu_clouddatacomputingservices_2019,"Wu, H. and Zhang, L. and Zhang, X.",Chinese Geographical Science,2019,10.1007/s11769-019-1040-4
Initial Assessment Of Burn Severity Using Transfer Learning Model,zheng_initialassessmentburnseverity_2022,"Zheng, Z. and Wang, J. and Zou, B. and Gao, Y. and Yang, S. and Wang, Y.",National Remote Sensing Bulletin,2022,10.11834/jrs.20210156
Geo-Cropsim: A Geo-Spatial Crop Simulation Modeling Framework For Regional Scale Crop Yield And Water Use Assessment,bandaru_geocropsimgeospatial_2022,"Bandaru, V. and Yaramasu, R. and Jones, C. and César Izaurralde, R. and Reddy, A. and Sedano, F. and Daughtry, C. S. T. and Becker-Reshef, I. and Justice, C.",Isprs Journal Of Photogrammetry And Remote Sensing,2022,10.1016/j.isprsjprs.2021.10.024
Estimation Of Surface Soil Moisture With Downscaled Land Surface Temperatures Using A Data Fusion Approach For Heterogeneous Agricultural Land,bai_estimationsurfacesoilmoisture_2019,"Bai, L. and Long, D. and Yan, L.",Water Resources Research,2019,10.1029/2018wr024162
"Evaluation Financiere De L‘integration De Technologies Satellitaires, Pour Le Suivi Du Couvert Nival, Au Sein D‘une Entreprise Hydroelectrique (Le Cas De L‘utilisation Du Satellite Radarsat I Dans Le Bassin De La Riviere La Grande (Quebec))",martin_evaluationfinancieredel‘integration_1999,"Martin, D. and Bernier, M. and Sasseville, J. L. and Charbonneau, R.",International Journal Of Remote Sensing,1999,10.1080/014311699212335
Sebu: A Novel Fully Automated Google Earth Engine Surface Energy Balance Model For Urban Areas,abunnasr_sebuautomatedgoogleearth_2022,"Abunnasr, Yaser and Mhawej, Mario and Chrysoulakis, Nektarios",Urban Climate,2022,10.1016/j.uclim.2022.101187
