title,abstract,year,author,doi,screening_status,excl_reasons
Disaster Management And Virtual Globes: A High Potential For Developing Countries,"Today, the added value of geoinformation for crisis management is well known and accepted. However, experiences show that disaster management units on local administrative levels in the developing world often lack the use of Geographic Information Systems for analysing spatial interrelations and making their own maps. Various studies mention the shortage of financial resources, human capacity, and adequate knowledge as reasons for that. In recent years publically available virtual globes like Google Earth (TM), Microsoft (R) Bing T Maps 3D or Nasa World Wind enjoy great popularity. The accessibility of worldwide high resolution satellite data, their intuitive user interface, and the ability to integrate own data support this success. In this chapter, the potential of these new geospatial technologies for supporting disaster preparedness and response is demonstrated, using the example of Google Earth T. Possibilities for the integration of data layers from third parties, the digitization of own layers, as well as the analytical capacities are examined. Furthermore, a printing module is presented, which supports the production of paper maps based on data previously collected and edited in Google Earth T. The efficiency of the proposed approach is demonstrated for a disaster management scenario in Legazpi, a Philippine city exposed to several natural hazards due to the vicinity to Mayon volcano and the annually occuring typhoons in the region. With this research, current technological trends in geospatial technologies are taken up and investigated on their potential for professional use. Moreover, it is demonstrated that by using freely available software general constraints for using GIS in developing countries can be overcome. Most importantly, the approach presented guarantees low cost for implementation and reproducibility, which is essential for its application in developing countries.",NA,NA,10.4018/978-1-4666-2038-4.ch095,included,NA
The Utility Of Airborne Hyperspectral And Satellite Multispectral Images In Identifying Natura 2000 Non-Forest Habitats For Conservation Purposes,"Aerial hyperspectral and multispectral satellite data are the two most commonly used datasets to identify natural and semi-natural vegetation. However, there is no documented analysis based on data from several areas concerning the difference in the classification accuracy of non-forest Natura 2000 habitat with the use of aerial hyperspectral and satellite multispectral data. Also, there is no recommendation, on which habitat can be classified with sufficient accuracy using free multispectral images. This study aimed to analyse the difference in classification accuracy of Natura 2000 habitats representing: meadows, grasslands, heaths and mires between data with different spectral resolutions and the results utility for nature conservation compared to conventional maps. The analysis was conducted in five study areas in Poland. The classification was performed on multispectral Sentinel-2 (S2) and hyperspectral HySpex (HS) images using the Random Forest algorithm. Based on the results, it can be stated that the use of HS data resulted in higher classification accuracy, on average 0.14, than using S2 images, regardless of the area of the habitat. However, the difference in accuracy was not constant, varying by area and habitat characterisation. Greater differences in accuracy were observed for areas where habitats were characterised by high alpha-diversity or beta-diversity. The HS and S2 data make it possible to create maps that provide a great deal of new knowledge about the distribution of Natura 2000 habitats, which is necessary for the management of protected areas. The obtained results indicate that by using S2 images it is possible to identify, at a satisfactory level, alluvial meadows and grassland. For heaths and mires, using HS data improved the results, but it is also possible to acquire general distribution of these classes, whereas HS images are obligatory for mapping salt, Molinia and lowland hay meadows.",NA,NA,10.1038/s41598-023-31705-6,included,NA
"Mapping Of Environmental Sensitivity Index To Oil Spill From Landsat Tm Images: ""A Study Case On The Amazon Coastal Plain""","The environmental sensitivity index (ESI) is represented by a scale ranging from 1 to 10, where the intensity of the impact caused by the oil spill is specified and, the higher the value the higher the sensitivity index. Oil spills impact the environment and are not exclusive to certain regions of the world. Therefore, the production of maps representing the ESI has become important for the implementation of contingency and emergency plans. Curuçá city, located in northeastern Pará state, does not have a map of semi-detailed environmental sensitivity, for that reason, this study aimed to generate a tactical map, scale of 1:100,000, with recognition of coastal environments identified by digital processing of Landsat images and field surveys. The map will help identify the areas more prone to suffer from a possible oil spill. Thus, eight indices were classified as follows: ESI 1B retaining wall, ESI 1C cliffs, ESI 3A sandy beaches and exposed dunes, ESI 7 sandy tidal flat, ESI 9 ebb tide delta, ESI 10A salt marsh, ESI 10B freshwater marsh and ESI 10 mangrove. Finally, the ESI represented in these maps can support the decision making process to prevent and control accidents that may happen during oil production and transportation. Benefits may reflect on lower costs of cleaning and restoration of the impacted areas in case of oil and other potentially harmful load spills.",NA,NA,10.22564/rbgf.v30i4.240,included,NA
"Study Of Productivity And Biomass Above The Ground, Using Vegetation Indices In Plantations Of Tectona Grandis L. (Teak) Located In Guanacaste, Costa Rica","The estimation of wood volume or biomass in forest plantations is one of the key variables for forest management decision making, to improve productivity and profitability of the products and environmental services they offer. Traditional techniques have been based on field inventories, through sampling with plots and human intervention in the acquisition of variables at tree and stand level. Current technology allows estimates to be made using sensors in autonomous vehicles and satellites. In Costa Rica, studies with Landsat and RapidEye satellite images have made it possible to generate updated maps on land cover and land use, including forest types. However, there are few studies on the relationship between volume and biomass values, calculated from data measured in the field and those calculated with remote sensing. This article presents the proposed methodology to estimate the productivity of Tectona grandis L. (Teak) forest plantations using Sentinel-2 satellite images. Taking into account the recommendations of other authors and the experience of the researchers. It is proposed to compare the information generated with Sentinel-2 and that acquired with a UAV with a multispectral camera. It is expected to provide a methodology that uses representative sampling sites, with an adequate sample size, with a control of environmental conditions, considering age, phenological stage and silvicultural treatments.",NA,NA,10.18845/tm.v35i6.6229,included,NA
Use Of Remote Sensing And Gis For Identifying Tanks And Rehabilitation Benefits To The Rural Areas,"Water storage is crucial for water security (WS) in countries with monsoon-driven climates. Tanks significantly contribute to WS by augmenting water supply to agricultural production in parts of south and Southeast Asia. The present paper assesses the potential locations of small tanks for rehabilitation to enhance WS. The Bhadrachalam catchment from the Godavari river basin, India was selected for the study. Remote Sensing and Geographical Information Systems techniques were used to identify the small tanks and water spread areas for augmenting storage. The cost -benefit analysis was also carried out for the identified tanks with various scenarios, cropping pattern and management options. The returns from desiliting, increase in area under the tank command with paddy and cotton crops are found to be beneficial. It concludes that rehabilitation of small tanks should be considered a priority investment as it will not only enhance WS and financial benefits to local communities, but also augment river flows in the non-monsoon season. © 2019 National Institute of Rural Development. All rights reserved.",NA,NA,10.25175/jrd/2019/v38/i1/121801,included,NA
"Trends And Projections Analysis Of Precipitation And Temperature Data Using Ccsm4 And Gsmap_nrt: Case Study In Sohar, Sultanate Of Oman","Planning for sustainable development requires accurate information on potential future climatic changes. Such climatic information is provided by global climate models (GCMs). One of the key factors determining how biological systems respond to human-caused climate change is variation in temperature and precipitation volume and intensity. The implementation of remote sensing technologies is expanding and increasing in popularity, especially in the context of GCM. However, data are influenced by inaccuracies, even though they are frequently utilized, so correction is necessary. Recent studies show that satellite-based rainfall estimations are inaccurate and have lower values that need to be corrected [1]. In Sohar, Oman, ground station rainfall data were compared with satellite data from several sources, including Community Climate System Model 4 (CCSM4) and GSMaP_NRT, to assess the correctness of the data. During the evaluation of precipitation, temperatures, and observed and anticipated climatic trends, all sources overestimated the data, particularly rainfall in the summer months. The CCSM4 and GSMaP_NRT data differed from ground station data. Nevertheless, it is possible to improve the data to make sufficiently accurate estimates. When compared to monitoring with a single ground station, using this satellite data will yield significant advantages in terms of cost-effectiveness, geographic distribution and coverage, timely issuance, and accuracy with additional or improved inputs. © 2023 by authors, all rights reserved.",NA,NA,10.13189/eer.2023.110411,included,NA
Monitoring And Early Warning Systems - A Design For Human Survival,"Technical means now exist to monitor, predict a danger and issue early warnings when something devastating is estimated to happen in the human environment In order to adapt such means for the benefit of humanity, existing monitoring methods, basic system design principles and natural short and long environmental transformations were investigated. Finally an integrated automatic system for deformation monitoring and surveying of the Chernobyl disaster area, was proposed. The conclusion was that airborne remote sensing including GPS and photogrammetry can be considered the optimum solution.",NA,NA,10.1108/03684920210417292,included,NA
"Advances In Remote Sensing Of Coastal Wetlands: Lidar, Sar, And Object-Oriented Case Studies From North Carolina","Coastal wetlands provide crucial ecosystem services to society including pollution filtration, fish and wildlife nursery and habitat, storm surge mitigation, and sinks for atmospheric carbon. Uncertainty of wetland responses to sea-level rise is a pervasive concern in coastal science and management. Advances in Light Detection and Ranging (LiDAR), space-borne Synthetic Aperture Radar (SAR), and multi-sensor and object-oriented image analysis techniques are poised to aid the inventorying, monitoring and management of wetlands to an even greater extent. This chapter reviews developments and coastal wetland applications of these state of the art remote sensing data and techniques and evaluates the utility of these products for management of coastal reserves in case studies. Following concise review of the literature on remote sensing technological and image processing advances, case studies from North Carolina coastal wetlands are presented: (1) multidate SAR and LiDAR imagery for regional salt marsh mapping in Cedar Island National Wildlife Refuge, (2) object-based image analysis (OBIA) for transitional marshes and Phragmites australis inventory in Alligator River National Wildlife Refuge, and (3) very fine resolution barrier island mapping using multisensor and multidate imagery and OBIA techniques in the Rachel Carson Coastal Reserve. Drawing upon these developments and case studies, insights for practical applications are evaluated to further even wider application to coastal management. © 2014, Springer International Publishing Switzerland.",NA,NA,10.1007/978-3-319-06326-3_17,included,NA
The Rocky Road From Research To Operations For Satellite Ocean-Colour Data In Fishery Management,"The aim of the SAFARI project is to accelerate the assimilation of earth-observation data into fisheries research and management by facilitating the application of rapidly evolving satellite technology. This assumes that these data will be available in future. However, for ocean-colour data, that assumption may not hold because of possible gaps in data continuity. Of the many types of satellite data, ocean colour is the most important to fisheries, because it is the only biological measurement. However, current ocean-colour sensors are all operating beyond their planned design life, and there are potential problems with future launches. Although the research community is aware of the value of satellite ocean-colour data, advocacy from the operational community, fishery management in particular, has been lacking. In the United States, the absence of an easily identifiable operational need for ocean-colour data is largely responsible for the likely gap in data continuity. A range of current and potential operational uses of ocean-colour data, some reasons why these data have been underutilized in fishery management, and what can be done to mitigate them are discussed and outlined.",NA,NA,10.1093/icesjms/fsq168,included,NA
Challenges And Opportunities Of Digital Technology In Soil Quality And Land Management Research,"Soil being a unique life elixir determines ecosystem health and success of sustainable practices. However, despite available suite of indicators, sustainable practices are constrained by unreliable yet conflicting information attributed to model abstraction, scale mismatch and non replicability. Besides, stale scientific evidence precludes its relevance to management or policy. It remains a non-trivial task to determine a universal soil quality metric applicable in diverse ecosystems because of the difficulty in modeling soil multifunctionality and complexity across scale and time. The advent of digital technology which incorporate high performance computing systems with cellular communication devices, coupled with agile earth observation systems, creates new prospects for monitoring, demistifying and unravelling the specific drivers of soil quality dynamics. It is increasingly feasible to integrate multiple (i.e., qualitative and quantitative) datasets to inform site specific application of inputs thereby reducing costs, and simultaneously communicating scientific knowledge in real-time to stakeholders. However, fully operationalizing such initiatives remains elusive due to anticipated uncertainity in complex modeling systems. Here, the value addition presented by digital technology in soil and land management research are explicated. The “whole to part” mapping template to guide sustainable land management is revisited, and scientific techniques discussed include multi-criteria analysis intended to: (i) screen-out sensitive variables to any complex-problem, (ii) hierarchically rank significant variables, (iii) investigate the interrelationships of the facets, and (iv) synthesize information at various scales to explore viable solutions. © Springer Nature Switzerland AG 2022.",NA,NA,10.1007/978-3-030-71571-7_9,included,NA
