title,author,year,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,Quick notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,revisited
Investigating the Global Socio-Economic Benefits of Satellite Industry and Remote Sensing Applications,"Alvino, Letizia and Marino, Stefano and Ahmad, Uzair and Alvino, Arturo",2019,8752,"The paper ""Vision 2020: Sustainable Economic Development and Application of Innovation Management"" discusses the global socio-economic benefits of the satellite industry and remote sensing applications. The researchers focus on identifying the main socio-economic benefits derived from the use of remote sensing in various sectors such as precision agriculture, universal navigation, meteorological forecasting, and communication.    Methodology:  - The researchers conducted a bibliographic research in two steps. Firstly, they searched information from federal, government, and private space agencies. Then, they examined peer-reviewed academic books and papers using databases such as Scopus and Web of Science.  - Selected papers were from various domains including economics, management, agriculture, and remote sensing.    Satellite Industry:  - The paper highlights the growth of the satellite industry, which contributes significantly to the space economy.  - Satellite industry revenues have increased steadily, with a significant portion coming from commercial applications.  - The paper discusses the employment opportunities created by the satellite industry, with a focus on various sectors and the growth of satellite launches globally.    Remote Sensing (RS) Applications:  - Remote sensing technology provides a wealth of data used in various fields, from agriculture to conservation to urban planning.  - The benefits of RS data for economists are highlighted, including access to unique information, high spatial resolution, and wide geographic coverage.  - The paper identifies four main areas of RS application: military surveillance, environmental monitoring, human activities improvement, and monitoring of environmental and illegal issues caused by human activities.    Conclusion and Limitations:  - The paper concludes that satellite industry and remote sensing technologies have significantly impacted various economic sectors and societal well-being.  - Limitations include not considering costs related to satellite construction and launch and the need for further research on non-satellite space industry benefits.    Overall, the study provides valuable insights into the socio-economic benefits and applications of satellite industry and remote sensing technologies.",NA,1,Exclude,Review,NA,NA,NA,NA,NA,NA,
Use of Climate Information for Socio-Economic Benefits,"Gunasekera, Don",2010,2243,"The paper ""Use of Climate Information for Socio-Economic Benefits"" by Don Gunasekera emphasizes the importance of climate information as a global public good and its role in adapting to climate change and mitigating greenhouse warming. The methods used in the paper include:    1. **Literature Review**: The paper reviews existing literature on the socio-economic benefits of climate information, focusing on its impact on various sectors such as agriculture, fisheries management, energy supply-demand management, natural disaster management, public health risks, and biosecurity risk management.    2. **Empirical Evidence**: The paper provides empirical evidence of the positive impact of climate information in various scenarios, such as its value for agricultural production in the US, drought mitigation strategies in Northeast Brazil, and livestock production in South Africa. This evidence highlights the potential economic benefits of using climate information in decision-making processes.    3. **Challenges and Opportunities**: The paper discusses the challenges faced by service providers and users in effectively utilizing climate information for economic benefits. These challenges include low accuracy, lack of lead time, institutional constraints, lack of decision models, and insufficient knowledge about climate information. It also suggests opportunities for overcoming these challenges through a multi-disciplinary approach, using analytical tools, collaboration between scientists, users, and policymakers, and improving outreach and communication activities.    4. **Proposed Framework**: The paper proposes the development of a Global Framework for Climate Services (GFCS) to link climate predictions, projections, and information with climate risk management and adaptation globally. The GFCS aims to improve access to climate services, especially for those most at risk but least able to access them, by encouraging public and private sector investment in basic research and innovation-driven solutions.    Overall, the methods used in the paper focus on providing a comprehensive understanding of the socio-economic benefits of climate information and highlighting the importance of addressing challenges to maximize its potential for societal well-being and sustainability.",NA,1,Exclude,Review,"Public good, across multiple applied science areas - seems like it offers a framework that would be useful.  Unclear whether the data reviewed here (“climate information”) is EO but seems plausible; also may be climate forecasts rather than EO data",NA,NA,NA,NA,NA,
Using Earth Observations to Enhance Water Resources Decision-Making and Disaster Assessment Processes in the United States and the Developing World,"Lee, Christine M. and Searby, Nancy D. and Hemmings, Sarah N.",2013,5451,"The paper discusses activities within the NASA Applied Sciences Program (ASP) that focus on using Earth observation tools to enhance water-related decision-making processes and disaster assessment. The methods employed in the paper include assessing end users in the U.S. through various mechanisms, developing applications to improve disasters management, supporting international efforts to improve humanitarian response, enhancing water resources management in specific regions, improving flood forecasting in developing countries, and training water managers to utilize Earth observations in decision-making.    The paper highlights projects such as the Global Flood and Landslide Monitoring/Forecasting project, the Land Data Assimilation System for Famine Early Warning, and the Central Valley Water Resources project. These projects utilize satellite data such as MODIS, TRMM, Landsat, and SRTM to address various water-related challenges. The capacity building program, such as the Applied Remote Sensing Training (ARSET) project, plays a crucial role in training decision-makers and building workforce capacity to use Earth observation data effectively.    Overall, the paper provides an overview of how Earth observations are utilized to address water resources management and disaster assessment challenges, especially in the U.S. and developing countries, through a combination of applications development and capacity building activities within the NASA ASP.",NA,1,Exclude,Data not valued,Looks more like applications and implicit value,NA,NA,NA,NA,NA,
Data Poverty: A Global Evaluation for 2009 to 2013 - Implications for Sustainable Development and Disaster Risk Reduction,"Leidig, Mathias and Teeuw, Richard M. and Gibson, Andrew D.",2016,13039,"The paper presents a detailed analysis of the Data Poverty Index (DPI) for the years 2009 to 2013, focusing on global access to data and information. The DPI is calculated based on factors such as internet speed, internet users, mobile phone subscriptions, and education level. The methodology used in the paper involved feature scaling the input data to ensure comparability, and then calculating the DPI values as a measure of data poverty.    The analysis showed that the average DPI score decreased globally over the studied period, indicating an improvement in data access. However, disparities were noted between different income classifications, with high-income countries tending to have lower DPI scores compared to low-income countries. The study also highlighted regional differences, with Africa showing higher levels of data poverty compared to other continents.    The authors discussed the implications of data poverty for sustainable development and disaster risk reduction, emphasizing the importance of monitoring ICT development and higher education on an annual basis. The paper concludes that the DPI can serve as a valuable tool for tracking progress in ICT capabilities and vulnerability, and highlights the need for continued efforts to bridge the digital divide and enhance data access worldwide.",NA,1,Exclude,EO data not used,"Data poverty index sounds interesting, though",NA,NA,NA,NA,NA,
Improved Hydrological Decision Support System for the Lower Mekong River Basin Using Satellite-Based Earth Observations,"Mohammed, Ibrahim and Bolten, John and Srinivasan, Raghavan and Lakshmi, Venkat",2018,12087,"The paper employs multiple satellite-based earth observations and traditional station data along with the Soil & Water Assessment Tool (SWAT) hydrologic model to enhance the Lower Mekong River Basin region’s hydrological decision support system. Here is a summary of the methods:    1. **Data Processing**: Nearest neighbor approximation methodology was used to fill integrated satellite retrieval for Global Precipitation Measurement (GPM) and Tropical Rainfall Measurement Mission (TRMM) data points for hydrological decision support system.       2. **Software Development**: A software tool to access and format satellite-based earth observation systems of precipitation and air temperatures was developed to facilitate data processing and model inputs.    3. **Study Area**: The Lower Mekong River Basin's topographical characteristics, including digital elevation, slope, aspect, soil texture, land use/cover, and hydrological gauges, were defined and analyzed.    4. **Hydrological Model (SWAT)**: Parameters of the SWAT hydrologic model were calibrated and verified using both in-situ station data and satellite-based remote sensing data, focusing on precipitation and temperature inputs.    5. **Model Calibration and Verification**: The model was calibrated for the years 2005 and 2006 and verified for the years 2001-2004 and 2007, with performance metrics such as Nash–Sutcliffe Efficiency (NSE) used to assess model performance.    6. **Future Data Access Tool**: The research team developed a software package called ""nasaaccess"" within the R software to streamline the access and processing of NASA Earth observation data, enhancing future data processing and accessibility.    7. **Model Validation**: The SWAT model validation using Global Precipitation Measurement (GPM) data for the year 2015 showed good performance in simulating discharge patterns compared to observed data.     8. **Conclusions and Recommendations**: The study demonstrated the value of combining satellite-based earth observations with hydrological modeling for better understanding and management of the Lower Mekong River Basin's water resources, highlighting the importance of adopting satellite-based data in hydrological modeling. Recommendations were made for further research efforts in utilizing remote sensing data for hydrological modeling applications.    The study showcases the effectiveness of integrating satellite data with hydrological models for improved decision-making in water resource management. Further research may capitalize on these methods to enhance the sustainability and resilience of water resource systems in similar regions.",NA,1,Exclude,Data not valued,NA,NA,NA,NA,NA,NA,
"The Value of Satellite-Based Active Fire Data for Monitoring, Reporting and Verification of REDD+ in the Lao PDR","M{\""u}ller, Daniel and Suess, Stefan and Hoffmann, Anja A. and Buchholz, Georg",2013,12857,"The paper ""The Value of Satellite-Based Active Fire Data for Monitoring, Reporting, and Verification of REDD+ in the Lao PDR"" by Daniel Müller et al. (2013) assesses the feasibility of using active fire data derived from the Moderate Resolution Imaging Spectroradiometer (MODIS) for monitoring fires in Laos. The study evaluates the accuracy of MODIS active fire data by comparing it with on-the-ground field verification, digitized shifting cultivation plots, and very-high-resolution satellite imagery.    The methods used in the paper include:    1. Field Verification: The researchers conducted GPS-supported field verification in Laos to locate active fires and recently burned areas to assess the accuracy of MODIS active fire data.    2. Comparison with Digitized Shifting Cultivation Plots: The researchers analyzed digitized shifting cultivation plots in Laos and compared them with MODIS fire pixels to evaluate the correspondence between detected fires and agricultural activities.    3. Validation with Very-High-Resolution Satellite Imagery: The study compared MODIS active fire data with very-high-resolution satellite imagery from Google Earth to visually confirm burned areas and assess the accuracy of fire detections.    4. Fire Density Mapping: The researchers created maps of fire density using kernel density estimation to visualize the spatial and temporal patterns of fire activity in Laos from 2003 to 2010.    The analysis focused on assessing the performance of MODIS active fire data in monitoring and detecting vegetation fires in shifting cultivation landscapes in Laos. The findings suggest limitations in the detection and accuracy of active fire data for site-specific monitoring at sub-national levels (Tier 3) due to factors like spatial resolution and cloud cover interference. Improved data transmission, time synchronization, and the use of upcoming satellite sensors like VIIRS may enhance fire detection capabilities in the future.",NA,1,Exclude,Data not valued,"Sounds like it is validating satellite data for models of fire mapping, rather than estimating the value",NA,NA,NA,NA,NA,
Australian Earth Observation Community Plan 2026,"Phinn, S. and Dekker, A. and Held, A. and Lane, A. and Legresy, B. and Lewis, A. and Lucieer, A. and Ong, C. and Paudyal, D. and Penning, C.",NA,12532,"This document provides a comprehensive overview of the Australian Earth Observation Community Plan 2026. The plan focuses on the delivery of essential information and services for Australia's future through Earth observation activities. The plan was developed through contributions from various sectors including government, industry, research, and education.    The plan outlines a vision for the Australian Earth Observation sector by 2026 and identifies five priority areas for action:    1. Connection and Coordination: Establishing a consistent vision within the Australian EO community, developing processes for effective collaboration, resource use, and advocacy for EO in Australia and internationally.  2. Securing Australia's Role in the International EO Community: Ensuring Australia is an essential component of the international EO capability, delivering benefits globally and securing access to international EO programs.  3. Infrastructure and People: Developing, supporting, and sustaining trained professionals and quality infrastructure to enable world-leading EO research, innovation, and application development.  4. Access to EO Data and Services: Ensuring all Australian EO producers and users can easily and reliably access the data and services they need.  5. Generating Value: Strengthening end-user engagement to enable the delivery of high-quality EO products and services and supporting commercial development of EO applications.    The plan emphasizes the importance of collaboration across sectors, maintaining high-quality standards, promoting the commercial potential of EO services, and engaging with end-users to drive value. The plan also highlights the need for investment in education, infrastructure, and partnerships to support the growth of the EO sector in Australia.",NA,1,Exclude,Data not valued,Looks like it is more about implementation than valuing the data,NA,NA,NA,NA,NA,
Enhancing Access and Usage of Earth Observations in Environmental Decision-Making in Eastern and Southern Africa Through Capacity Building,"Shukla, Shraddhanand and Macharia, Denis and Husak, Gregory J. and Landsfeld, Martin and Nakalembe, Catherine Lilian and Blakeley, S. Lucille and Adams, Emily Caitlin and {Way-Henthorne}, Juliet",2021,12104,"The paper focuses on enhancing access and usage of Earth Observations (EO) data in environmental decision-making in Eastern and Southern Africa through capacity-building efforts. The methods used in the study revolve around implementing technology transfer and capacity training to improve the uptake of EO data.     The study conducted four training sessions in various locations to address the specific needs of environmental service providers, such as the Regional Center for Mapping of Resources for Development (RCMRD) and other agencies. The training sessions included introducing web-based tools like the Early Warning Explorer (EWX) for easy access and visualization of EO data. Participants were also trained on targeted case studies to demonstrate the benefits of using EO data for decision-making.    The capacity-building efforts also involved pre-assessment of participants to understand their familiarity with EO data, level of access, and specific needs. This information guided the development of training content and structure. The participants were engaged in hands-on exercises and group projects to apply their skills in real-world scenarios.    The study emphasizes the importance of sustained engagement with environmental service providers to enhance the application of EO data. By providing dynamic access to EO data through web services and tools, the study aimed to improve environmental services and support decision-making processes in the region. The project was supported by NASA, US Geological Survey, and other organizations to facilitate the transfer of technology and training in EO data usage.",NA,1,Exclude,Data not valued,"Training to improve capacity and technology transfer - pre-assessment,",NA,NA,NA,NA,NA,
Enhancing the Application of Earth Observations for Improved Environmental Decision-Making Using the Early Warning eXplorer (EWX),"Shukla, Shraddhanand and Landsfeld, Martin and Anthony, Michelle and Budde, Michael and Husak, Gregory J. and Rowland, James and Funk, Chris",2021,13711,"The paper describes the ""Early Warning Explorer"" (EWX), a tool developed to address the limited access to Earth Observation data in decision-making, particularly in food and water-insecure regions like sub-Saharan Africa. The methods of the paper include:    1. Core Framework of EWX: The framework consists of three main components - the viewer, the geoengine, and support applications. The viewer is a web-based interface to access Earth Observation data, displaying maps, time series graphs, and specialty sections.    2. Geoengine Processing Server: The core processor of the EWX system that provides web services to the data and time series, as well as a graphical user interface for administrators to manage data sets and statistics.    3. Support Applications: Includes a map server, PostgreSQL database, and geospatial data server for storage and retrieval of statistics, metadata, and derived data sets.    4. Access to Earth Observation Data: The EWX provides access to various Earth Observation data sets, including satellite-based precipitation estimates, land surface temperature, and vegetation greenness, for monitoring climate events and trends.    5. Applications Examples: It demonstrates how EWX can be used to monitor climate-driven extreme events, assess food insecurity, and support decision-making related to disaster mitigation and resilience building.    6. Value of Regional Implementation: Highlighting the implementation of EWX at the Regional Centre for Mapping of Resources for Development in Kenya to facilitate regional access to relevant Earth Observation data for local decision-makers.    The paper emphasizes how EWX enhances access to critical Earth Observation data for improved environmental decision-making, particularly in regions vulnerable to climate risks.",NA,1,Exclude,Data not valued,"Looks like introduction and application of a DST, and demonstration of how it supports value, but not actually calculating value",NA,NA,NA,NA,NA,
The Social Innovation Potential of ICT-enabled Citizen Observatories to Increase eParticipation in Local Flood Risk Management,"Wehn, Uta and Evers, Jaap",2015,11937,"The paper discusses the potential of ICT-enabled citizen observatories to increase eParticipation in local flood risk management. The study analyzes two case study areas, one in the UK and the other in the Netherlands, to explore the roles of authorities and citizens in flood risk management processes. The research methodology involves empirical research, including interviews with key stakeholders involved in flood risk management.    The findings suggest that there are divergent roles envisioned for citizens by authorities in both case study locations. In the UK case, citizens are seen as important stakeholders in flood risk management, with an emphasis on participation in decision-making processes. On the other hand, in the Dutch case, the focus is more on infrastructure and flood prevention, with less emphasis on citizen participation in decision making.    Regarding the use of ICTs, both cases show some level of ICT-enabled participation, such as citizen reporting of flooding incidents through digital media and social sensors providing observations and data. However, traditional communication methods like face-to-face meetings and telephone calls still play a significant role in interactions between authorities and citizens in both cases.    Overall, the paper highlights the need for further research to explore how citizen observatories can effectively enhance eParticipation in flood risk management and improve communication between authorities and citizens.",NA,1,Exclude,EO data not used,Citizen science “citizen observatories” to engagement with flood risk management,NA,NA,NA,NA,NA,
