title,author,year,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Development of a Hydrological Telemetry System in Bago River,"Acierto, R. A. and Kawasaki, A. and Zin, W. W. and Oo, A. T. and Ra, K. and Komori, D.",2018,exclude,data not valued,validation/calibration but hints at usages; collaboration among stakeholders,NA,NA,NA,precipitation satellite data,water resources,NA
Mapping Floristic Gradients of Forest Composition Using an Ordination-Regression Approach with Landsat Oli and Terrain Data in the Central Hardwoods Region,"Adams, B. T. and Matthews, S. N. and Peters, M. P. and Prasad, A. and Iverson, L. R.",2019,exclude,data not valued,"cool methodology for classifying forest composition, but doesn't apply it.  nmds for dim reduction, then plot to rgb for visualization?",NA,NA,NA,NA,ecological conservation,NA
Diagnosing Irrigation Performance and Water Productivity through Satellite Remote Sensing and Secondary Data in a Large Irrigation System of Pakistan,"Ahmad, M. D. and Turral, H. and Nazeer, A.",2009,exclude,calibration/validation,"uses ro data in conjunction with others to improve understanding of water consumption; this allows deeper understandings of patterns of water use equity and sustainability.  the value is in the improvement in understanding - there's no decision analyzed in the paper, but reduction in uncertainty around these values must be worth something...  do they actually quantify the improvement in uncertainty though?",NA,"water use equity, sustainability",land/water productivity,modis,water resources,NA
Assessment of the Utility of Remote Sensing Techniques for Monitoring Compliance with Direct Payment Programs,"Ahn, H. and Ryu, J. H. and Lee, K.",2023,exclude,not in english!,"bummer, this would probably have been a good one - imrpovement in operational efficiency.  how did chatgpt summarize then?",NA,NA,NA,NA,NA,NA
Wetland Landscape Spatio-Temporal Degradation Dynamics Using the New Google Earth Engine Cloud-Based Platform: Opportunities for Non-Specialists in Remote Sensing,"Alonso, A. and {Munoz-Carpena}, R. and Kennedy, R. E. and Murcia, C.",2016,exclude,data not valued,"uses ndvi from modis and landsat to calculate time series of vegetation dynamics, but doesn't strictly tie to societal benefits",NA,NA,NA,modis; landsat,forestry,NA
National Forest Carbon Inventories: Policy Needs and Assessment Capacity,"Andersson, K. and Evans, T. P. and Richards, K. R.",2009,exclude,data not valued,"focuses on forest carbon inventories to link policy and scientific communities.  ro is an important component, but not the main focus of the paper; additionally, the societal benefits (other than presumably carbon sequestration) are not a major focus",NA,NA,NA,general,forestry,NA
Mapping Landscape-Scale Peatland Degradation Using Airborne Lidar and Multispectral Data,"Carless, D. and Luscombe, D. J. and Gatis, N. and Anderson, K. and Brazier, R. E.",2019,exclude,data not valued,"calibration/validation clearly shows that this method has promise, but actual decisions and/or quantifications of specific societal benefits is not made.",NA,NA,NA,NA,NA,NA
The Value of Remotely Sensed vs. Field-surveyed Habitat Structure for Predicting Bird Abundance: A Case Study in Traditional Orchards,"Chaparro, Laura and Schmieder, Klaus and Schurr, Frank M.",2022,exclude,data not valued,"validates remote sensing as a way to predict bird abundance vs. field-survey data.  but, leaves ""conservation implications"" in purely conceptual terms.  ro and field survey data adds ""habitat structure"" info to climatic and land use variables.",NA,NA,NA,aerial photographs,ecological conservation,NA
Revisiting the Environmental Kuznets Curve for City-Level Co2 Emissions: Based on Corrected Npp-Viirs Nighttime Light Data in China,"Chen, Hongxing and Zhang, Xiaoling and Wu, Rongwei and Cai, Tianyi",2020,exclude,data not valued,"estimates co2 emissions from viirs night light data, and looks for a kuznets inflection point at which increasing wealth starts to lead to reduced pollution (and doesn't find that inflection point).  but: no decisions, no quantification of societal benefits.",NA,NA,NA,viirs,carbon,NA
The Role of Remote Sensing in the Development of Smart Indicators for Ecosystem Services Assessment,"Dawson, T. P. and Cutler, M. E. J. and Brown, C.",2016,exclude,data not valued,"shows that various ro data (landsat, sar, worldview2) can be useful in detecting/observing state of environmental biodiversity (forest/carbon storage, forest biomass/carbon, and peat bogs respectively), they don't actually attempt to quantify the added value.",NA,NA,NA,"landsat, sar, worldview",carbon,NA
Remote Sensing of Soil and Water Quality in Agroecosystems,"De Paul Obade, V. and Lal, R. and Chen, J.",2013,exclude,data not valued,"looks at many remote observation options and potential for gleaning information on surface water and soil characteristics, but doesn't examine decisions or effect of improved information.",NA,NA,NA,NA,NA,NA
Lake Nasser Evaporation Reduction Study,"Ebaid, Hala M. I. and Ismail, Sherine S.",2010,include,NA,"maybe: uses landsat for temperature data on lake, to feed into an evaporation model.  results can inform a decision to disconnect khors to reduce evaporation? but did it really depend on the landsat data?",NA,avoided evaporation,NA,landsat,water resources,NA
"Broadband, Red-Edge Information from Satellites Improves Early Stress Detection in a New Mexico Conifer Woodland","Eitel, J. U. H. and Vierling, L. A. and Litvak, M. E. and Long, D. S. and Schulthess, U. and Ager, A. A. and Krofcheck, D. J. and Stoscheck, L.",2011,exclude,data not valued,"while they show that they can use ro data to detect insect-stressed trees much earlier, they don't really tie it to some quantified improvement in societal value.",NA,NA,NA,NA,NA,good example of one that shows a strong scientific value but not translating to societal value
Success Stories of Satellite Radar Altimeter Applications,"Eldardiry, Hisham and Hossain, Faisal and Srinivasan, Margaret and Tsontos, Vardis",2022,exclude,review,"great examples of ""success stories""",NA,NA,NA,NA,NA,good examples
