title,author,year,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,revisited
The Benefits to Mexican Agriculture of an El Nino-southern Oscillation (ENSO) Early Warning System,"Adams, Richard M and Houston, Laurie L and McCarl, Bruce A and Tiscare{~n}o L, Mario and Matus G, Jaime and Weiher, Rodney F",2003,include,NA,not satellite specifically,voi,ag production,dollars,climate forecast,agriculture,x
Value of Improved Long-Range Weather Information,"Adams, Richard M. and Bryant, Kelly J. and Mccarl, Bruce A. and Legler, David M. and O'Brien, James and Solow, Andrew and Weiher, Rodney",1995,include,NA,NA,voi,ag production,dollars,climate forecast,agriculture,x
Investigating the Global Socio-Economic Benefits of Satellite Industry and Remote Sensing Applications,"Alvino, Letizia and Marino, Stefano and Ahmad, Uzair and Alvino, Arturo",2019,exclude,review,NA,NA,NA,NA,NA,NA,NA
"Contingent Valuation Study of the Benefits of Seasonal Climate Forecasts for Maize Farmers in the Republic of Benin, West Africa","Amegnaglo, Cocou Jaur{\`e}s and Anaman, Kwabena Asomanin and {Mensah-Bonsu}, Akwasi and Onumah, Edwards Ebo and Amoussouga Gero, Fulbert",2017,include,NA,not satellite specifically,contingent valuation,ag production,dollars,climate forecast,agriculture,x
Earth Observation in Service of the 2030 Agenda for Sustainable Development,"Anderson, Katherine and Ryan, Barbara and Sonntag, William and Kavvada, Argyro and Friedl, Lawrence",2017,exclude,data not valued,"describes many ways in which eo data can support measurement and progress toward sustainable development goals, with references to case studies elsewhere, but data are not valued in this paper",NA,NA,NA,NA,NA,NA
Using Data from Earth Observation to Support Sustainable Development Indicators: An Analysis of the Literature and Challenges for the Future,"Andries, Ana and Morse, Stephen and Murphy, Richard J. and Lynch, Jim and Woolliams, Emma R.",2022,exclude,review,explores how eo data can provide value by populating sdg indicators? the authors catalog sdg indicators according to possibility of eo contributions,NA,monitoring progress toward sdgs,weak/partial/direct contribution toward sdg indicator,various,various,NA
The Value of Weather Information in Market Equilibrium,"Babcock, Bruce A.",1990,include,NA,not satellite specifically,equilibrium model,ag production,conceptual,climate forecast,agriculture,x
Valuing User Preferences for Geospatial Fire Monitoring in Guatemala,"Berenter, Jared and Morrison, Isaac and Mueller, Julie M.",2021,include,NA,"willingness to pay, choice experiment - fire monitoring in guatemala -",choice experiment,increased efficiency in fire management,financial,sigma-i hotspot maps;modis,wildfire,NA
The Value of Remotely Sensed Information: The Case of a GRACE-Enhanced Drought Severity Index,"Bernknopf, Richard and Brookshire, David and Kuwayama, Yusuke and Macauley, Molly and Rodell, Matthew and Thompson, Alexandra and Vail, Peter and Zaitchik, Benjamin",2018,include,NA,voi/bayesian decision theory in framework - drought monitoring,voi,improvement in drought prediction and response with satellite data,financial,grace,water resources; disaster response,NA
Monetising the Savings of Remotely Sensed Data and Information in Burn Area Emergency Response (BAER) Wildfire Assessment,"Bernknopf, Richard and Kuwayama, Yusuke and Gibson, Reily and Blakely, Jessica and Mabee, Bethany and Clifford, T. J. and Quayle, Brad and Epting, Justin and Hardy, Terry and Goodrich, David",2021,exclude,data not valued,This is a case of equivalent data being produced at a lower cost? exclude,voi,reduced cost of post-fire emergency response,financial,landsat,wildfire; disaster response,NA
