title,author,year,doi,notes,phase,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme
The Emerging Role Of Remote Sensing Technology In Emergency Management,"Adams, B. J. and Huyck, C. K.",2006,10.1061/9780784408155.ch03,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Monitoring Forest Canopy Cover Change With Icesat-2 Data In Fire-Prone Areas: A Case Study In Antalya, Türkiye","Akturk, E.",2023,10.15287/afr.2023.2987,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Estimating The Benefits Of Land Imagery In Environmental Applications: A Case Study In Nonpoint Source Pollution Of Groundwater,"Bernknopf, R. L. and Forney, W. M. and Raunikar, R. P. and Mishra, S. K.",2012,10.1007/978-94-007-4839-2_10,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Complementing Satellites And Unmanned Aerial Vehicles For Rangeland Assessment In Patagonia,"Easdale, M. H. and Umaña, F. and Raffo, F. and Fariña, C. and Bruzzone, O.",2019,10.25260/ea.19.29.3.0.791,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Geoinformatics For Disaster Risk Assessment, Monitoring, And Management","Fisher, A. R.",2017,10.1007/978-94-024-1071-6_14,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Numerical Modelling And Satellite Remote Sensing As Tools For Research And Management Of Marine Fishery Resources,"George, G.",2014,10.1007/978-3-319-06326-3_18,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Current Policy Issues In Remote Sensing: Report By The International Policy Advisory Committee Of Isprs,"Harris, R.",2003,10.1016/j.spacepol.2003.08.003,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Willingness To Pay For An Early Warning System For Infectious Diseases,"Himmler, S. and van Exel, J. and Perry-Duxbury, M. and Brouwer, W.",2020,10.1007/s10198-020-01171-2,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Research On Monitoring And Environmental Control Of Farmland Operation Based On Multi-Sensor Data Fusion,"Hua, L. and Gao, J. and Zhou, M. and Han, S. and Yin, Y. and Bai, S.",2020,10.1504/ijetm.2020.114134,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Satellite Analysis Ready Data For The Sustainable Development Goals,"Killough, B. D.",2022,10.1002/9781119536789.ch8,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Using Remote Sensing Data For Earthquake Damage Assessment In Afghanistan: The Role Of The International Charter,"Korsu Kandeh, J. M. and Ahadi, A. W. and Kumar, L.",2005,10.1007/3-540-27468-5_60,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Policy Implications Of Remote Sensing In Understanding Urban Environments: Developing A Wetlands Inventory For Community Decision-Making In Lucas County, Ohio","Lawrence, P. L. and Czajowski, K. and Torbick, N.",2005,10.1007/3-540-26676-3_3,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Application-Oriented Real-Time Remote Sensing Service Technology,"Li, D. and Ding, L. and Shao, Z.",2021,10.11834/jrs.20210260,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Uav-Based Smart Environmental Monitoring,"Majid, M. I. and Chen, Y. and Mahfooz, O. and Ahmed, W.",2019,10.4018/978-1-7998-1851-9.ch016,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
The Sea From Space-Applying Remote Sensing To Societal Needs,"McCarthy, E. and Lichtman, F.",2007,10.4031/002533207787442097,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Modis Provides A Satellite Focus On Operation Iraqi Freedom,"Miller, S. D. and Hawkins, J. D. and Lee, T. F. and Turk, F. J. and Richardson, K. and Kuciauskas, A. P. and Kent, J. and Wade, R. and Skupniewicz, C. E. and Cornelius, J. and O'Neal, J. and Haggerty, P. and Sprietzer, K. and Legg, G. and Henegar, J. and Seaton, B.",2006,10.1080/01431160500383772,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Research Needs,"Nelson, G. C.",2019,10.4324/9780429047237-18,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
"Quantitative Assessment Of Soil Condition, Basic Environmental Factors And Productivity Of Linum Usitatissimum In The Steppe Zone Of Kazakhstan Using The Remote Sensing Method","Nugmanov, A. and Tulayev, Y. and Ershov, V. and Vasin, V. and Kuanyshbaev, S. and Valiev, K. and Tulkubayeva, S. and Somova, S. and Bugubaeva, A. and Bulaev, A. and Chashkov, V. and Tokusheva, A. and Nauanova, A. and Zhikeyev, A. and Yerish, N. and Yeleuov, B.",2023,10.1590/1519-6984.277283,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Public Health Benefits From Improved Identification Of Severe Air Pollution Events With Geostationary Satellite Data,"O'Dell, K. and Kondragunta, S. and Zhang, H. and Goldberg, D. L. and Kerr, G. H. and Wei, Z. and Henderson, B. H. and Anenberg, S. C.",2024,10.1029/2023gh000890,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Valuing The Potential Impacts Of Geoss: A Systems Dynamics Approach,"Obersteiner, M. and Rydzak, F. and Fritz, S. and McCallum, I.",2012,10.1007/978-94-007-4839-2_4,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Wildfire Monitoring With Satellite Remote Sensing In Support Of Conservation,"Palumbo, I. and Samna, A. and Clerici, M. and Royer, A.",2018,10.1017/9781108631129.006,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Commercial Satellite Imagery In Peacekeeping Sensor Capabilities–Present And Near Future,"Paquette, J. P.",2017,10.4324/9781315259901-4,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
Use Of Remote Sensing In Control Of Good Agricultural And Environmental Conditions On Agricultural Farms,"Pluto-Kossakowska, J. and Osińska-Skotak, K. and Fijałkowska, A. and Chmiel, J.",2013,10.2478/ecoq-2013-0018,NA,classifier round 2,NA,NA,NA,NA,NA,NA,NA,NA
