title,author,year,key,screening_decision,reason_for_exclusion,quick_notes,soc_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
Remote Sensing Capabilities for Observational Drought Assessment,"Abdollahi, K. and Eslami, Z.",2023,abdollahi_remotesensingcapabilitiesobservational_2023,exclude,review,,,,,,,
Centers for Space Science and Technology Education - a United-Nations Initiative,"ABIODUN, {\relax AA",1993,abiodun_centersspacesciencetechnology_1993,exclude,data is not valued,"proposes centres to promote space science & tech ed, but doesn't get down to the value of the ESI",,,,,,
Sebu: A Novel Fully Automated Google Earth Engine Surface Energy Balance Model for Urban Areas,"Abunnasr, Yaser and Mhawej, Mario and Chrysoulakis, Nektarios",2022,abunnasr_sebuautomatedgoogleearth_2022,exclude,data is not valued,"""Policy makers and even local dwellers would then benefit from their findings."" But no assessment",,,,,,
"Trends and Projections Analysis of Precipitation and Temperature Data Using Ccsm4 and Gsmap\_nrt: Case Study in Sohar, Sultanate of Oman","Afandy, M. and Alamrani, A. and Ibrahim, O. and Maghawry, S. A.",2023,afandy_trendsprojectionsanalysisprecipitation_2023,exclude,data is not valued,"""When compared to monitoring with a single ground station, using this satellite data will yield significant advantages in terms of cost-effectiveness, geographic distribution and coverage, timely issuance, and accuracy with additional or improved inputs.""",,,,,,
Predicting Poverty Index Using Deep Learning on Remote Sensing and Household Data,"Agarwal, P. and Garg, N. and Singh, P.",2019,agarwal_predictingpovertyindexdeep_2019,exclude,calibration/validation,"""It shows that daytime satellite images, nightlight intensity and demographic data available can be utilized for precise evaluations about the spatial scattering of monetary prosperity crosswise over different nations.""  (that in itself may not be a societal benefit, just a measurement) and no assessment of the value of this",,,,,,
Operational Evaluation of a Wildfire Air Quality Model from a Forecaster Point of View,"Ainslie, Bruce and So, Rita and Chen, Jack",2022,ainslie_operationalevaluationwildfireair_2022,exclude,calibration/validation,,,,,,,
"Advances in Remote Sensing of Coastal Wetlands: Lidar, Sar, and Object-Oriented Case Studies from North Carolina","Allen, T. R.",2014,allen_advancesremotesensingcoastal_2014,exclude,calibration/validation,"""Drawing upon these developments and case studies, insights for practical applications are evaluated to further even wider application to coastal management.""  But the actual applications are not valued",,,,,,
Bioclimatic Variables from Precipitation and Temperature Records vs. Remote Sensing-Based Bioclimatic Variables: Which Side Can Perform Better in Species Distribution Modeling?,"Amiri, Mohadeseh and Tarkesh, Mostafa and Jafari, Reza and Jetschke, Gottfried",2020,amiri_bioclimaticvariablesprecipitationtemperature_2020,exclude,calibration/validation,"""Finally, it was suggested that convenient access to reliable and up-to-date information can assist modelers to outline management practices well.""",,,,,,
Use of Remote Sensing and Gis for Identifying Tanks and Rehabilitation Benefits to the Rural Areas,"Anand, S. and Kakumanu, K. R. and Amarasinghe, U. A.",2019,anand_remotesensinggisidentifying_2019,exclude,data is not valued,"""The cost -benefit analysis was also carried out for the identified tanks with various scenarios, cropping pattern and management options"" - the tanks are the subject of the CBA",,,,,,
Mapping of Potential Fuel Regions Using Uncrewed Aerial Vehicles for Wildfire Prevention,"Andrada, Maria Eduarda and Russell, David and {Arevalo-Ramirez}, Tito and Kuang, Winnie and Kantor, George and Yandun, Francisco",2023,andrada_mappingpotentialfuelregions_2023,exclude,calibration/validation,"""Qualitative evaluations suggest the system’s capabilities and highlight its potential to improve forest management and conservation efforts.""",,,,,,
