topic,term,prob
topic 1,data,0.016909985448271336
topic 1,model,0.008854699351706545
topic 1,land,0.007844982276285495
topic 1,sensing,0.006680244143669598
topic 1,management,0.006524668463920617
topic 1,results,0.005999997616287581
topic 1,cover,0.005809909789748465
topic 1,environmental,0.0056377140510367576
topic 1,spatial,0.005579555278960447
topic 1,development,0.0053853621517434445
topic 1,based,0.00535298692140357
topic 1,soil,0.0051485813918367125
topic 1,forest,0.004874343981508912
topic 1,index,0.004353632982382489
topic 1,time,0.004323988051249774
topic 1,information,0.003957134765116181
topic 1,river,0.003925757007960023
topic 1,process,0.0038375738953306433
topic 1,vegetation,0.0036646143146042416
topic 1,analysis,0.00346157478346909
topic 1,local,0.0034101485473365446
topic 1,decision,0.0032730160466820694
topic 1,surface,0.0031155570233635604
topic 1,map,0.0031039481062699755
topic 1,due,0.0030575687349074544
topic 1,natural,0.0030336652678702243
topic 1,quality,0.002965188756380312
topic 1,applied,0.0029568765276975573
topic 1,factors,0.002872457993723739
topic 1,basin,0.002860486857204599
topic 1,study,0.0028393626742440957
topic 1,china,0.002790233281178591
topic 1,water,0.0027850641112658944
topic 1,performance,0.002698486526876993
topic 1,satellite,0.0026614129390366234
topic 1,production,0.0026331161309124758
topic 1,urban,0.0026051814053190893
topic 1,temporal,0.0025963505088967484
topic 1,period,0.0025959090440578468
topic 1,proposed,0.0024757823321014056
topic 1,models,0.0024415039215875864
topic 1,derived,0.0023602866135586814
topic 1,remote,0.002295439061460641
topic 1,ecological,0.0022793396677985665
topic 1,compared,0.002275211905392459
topic 1,species,0.0022613960411277793
topic 1,significant,0.0022331091413726064
topic 1,benefit,0.0022143860442165155
topic 1,including,0.0021838889028232226
topic 1,landsat,0.0020828876269166877
topic 1,approach,0.002061074578448305
topic 1,sustainable,0.0020235555227257596
topic 1,global,0.0020105945272070533
topic 1,ecosystem,0.001975139434836819
topic 1,accuracy,0.001963183999852088
topic 1,average,0.001881158996668372
topic 1,environment,0.0018499853790739425
topic 1,growth,0.0018333057697159732
topic 1,change,0.0018327761256932795
topic 1,variables,0.001818796032114696
topic 1,detection,0.001815606350182919
topic 1,region,0.0018139640367660149
topic 1,distribution,0.0017528187352365621
topic 1,provide,0.0017478964308412657
topic 1,dynamics,0.0017297966099935485
topic 1,gis,0.0017280121530676407
topic 1,key,0.00172737561551958
topic 1,network,0.001684930057479406
topic 1,difference,0.001677638120078794
topic 1,coastal,0.001641177133222716
topic 1,correlation,0.001635125276144627
topic 1,imagery,0.0016289092921409202
topic 1,weather,0.0016165615445085926
topic 1,estimated,0.0016059905800888002
topic 1,impact,0.0016039243261017303
topic 1,potential,0.001603543409109755
topic 1,scales,0.0015842474919934982
topic 1,fire,0.0015719265119409425
topic 1,significantly,0.0015655890391373553
topic 1,policies,0.0015400943084499853
topic 1,grassland,0.001531496051178539
topic 1,products,0.001516524089265445
topic 1,service,0.001491546439361446
topic 1,observed,0.0014861001032613593
topic 1,earth,0.0014812636684691021
topic 1,main,0.001469649632008282
topic 1,loss,0.0014678409895646873
topic 1,forests,0.0014260693106690286
topic 1,green,0.0014245361420897552
topic 1,nature,0.0013862147310044971
topic 1,estimates,0.001372501956315678
topic 1,moisture,0.0013618949827349932
topic 1,scale,0.0013463786689047658
topic 1,vulnerability,0.0013445089047812507
topic 1,agriculture,0.0013358163613647264
topic 1,annual,0.0013298021307612251
topic 1,zones,0.001321794730633061
topic 1,modeling,0.001320883119702194
topic 1,improve,0.0012942797874565606
topic 1,policy,0.001294089883504069
topic 2,method,0.013968635640635722
topic 2,land,0.01366297619620763
topic 2,soil,0.0098088972311233
topic 2,analysis,0.007283405601411798
topic 2,satellite,0.006314645788353798
topic 2,values,0.006070903126267072
topic 2,data,0.005974962634272135
topic 2,economic,0.005572453313577067
topic 2,development,0.005163377040229372
topic 2,study,0.004979434641377994
topic 2,distribution,0.004902743078336044
topic 2,water,0.00455557521878524
