topic,term,prob
topic 1,model,0.022065504247282892
topic 1,water,0.016504263201828274
topic 1,land,0.013524757951176362
topic 1,management,0.009456677081197712
topic 1,river,0.006804318237895312
topic 1,development,0.006336404004550177
topic 1,fire,0.0060966220691621555
topic 1,satellite,0.006007968814993493
topic 1,datum,0.005685773442068004
topic 1,cover,0.005632512754761648
topic 1,level,0.005598830424029262
topic 1,system,0.005465804415004289
topic 1,urban,0.0054352882412008405
topic 1,develop,0.005355588927152924
topic 1,information,0.005320069301293904
topic 1,basin,0.005191906673011182
topic 1,surface,0.0049583425966916155
topic 1,study,0.004892014318633118
topic 1,ecological,0.004634738216252671
topic 1,base,0.0045644428380694725
topic 1,factor,0.004449500514595687
topic 1,estimate,0.004314132218392274
topic 1,scale,0.0042533945421466875
topic 1,landscape,0.003952153664552922
topic 1,increase,0.0038293155568365138
topic 1,low,0.003823017960799718
topic 1,change,0.003793557306105236
topic 1,identify,0.003778579246608146
topic 1,paper,0.003754036323319229
topic 1,assessment,0.003728020121631726
topic 1,remote,0.003708838302836798
topic 1,impact,0.003637078869496127
topic 1,quality,0.0035950231240125933
topic 1,resolution,0.003485732752887204
topic 1,benefit,0.003413033798927129
topic 1,dynamic,0.0032424096337528357
topic 1,city,0.003221738319369582
topic 1,region,0.0031531275221057787
topic 1,agricultural,0.003077019784061564
topic 1,policy,0.0030630074627408803
topic 1,due,0.0030566297040729683
topic 1,network,0.0030412745913343912
topic 1,cost,0.002994815324817242
topic 1,runoff,0.002985787967021934
topic 1,sustainable,0.002948084422496622
topic 1,field,0.0029216755286794707
topic 1,technology,0.0028439844153468077
topic 1,sense,0.0028303418405462096
topic 1,watershed,0.002746407069512969
topic 1,method,0.002727296736130721
topic 1,habitat,0.0027015360656497314
topic 1,include,0.0026785278391365823
topic 1,provide,0.0026626640454183517
topic 1,population,0.002613217213147581
topic 1,assess,0.0026048197264475796
topic 1,type,0.0025775755417449756
topic 1,temperature,0.0025394736845955057
topic 1,image,0.002529098230624472
topic 1,total,0.0025124608617337453
topic 1,source,0.0024669464994959713
topic 1,resource,0.002453679736696176
topic 1,environment,0.0024380597742176798
topic 1,lake,0.0024144718180050826
topic 1,rate,0.002382716797474855
topic 1,hydrological,0.00237429088312075
topic 1,measure,0.002373084427020273
topic 1,annual,0.0022301896411525256
topic 1,apply,0.0022226888310855866
topic 1,integrate,0.0021937376954157908
topic 1,distribution,0.0021521089027867904
topic 1,irrigation,0.0021086302649547177
topic 1,economic,0.002089361476382155
topic 1,author,0.0020883406272985067
topic 1,rainfall,0.002081273023303052
topic 1,human,0.0020714397341341164
topic 1,modeling,0.002025901245495094
topic 1,gis,0.0020229236073027158
topic 1,variation,0.0020034793222144832
topic 1,process,0.0018889295825420796
topic 1,control,0.0018833448134406635
topic 1,map,0.001872994231905779
topic 1,coastal,0.0018508001496296222
topic 1,social,0.0018383169862051499
topic 1,earth,0.001830819837339025
topic 1,planning,0.00182378960199952
topic 1,global,0.0018236583189230298
topic 1,derive,0.001809859174884927
topic 1,nature,0.001789905330031394
topic 1,production,0.0017830183345283169
topic 1,event,0.0017707548828151684
topic 1,condition,0.0017627569135355947
topic 1,classification,0.0017598580388663548
topic 1,monitor,0.0017436284515107176
topic 1,flood,0.0017422468551697501
topic 1,objective,0.0017236831618402922
topic 1,measurement,0.0017203830478392283
topic 1,reduce,0.001703853699517053
