title,topic,prob
1.: Methods and an overview of the Canadian recommendations,topic  37,0.997
2D vs. 3D Change Detection Using Aerial Imagery to Support Crisis Management of Large-Scale Events,topic  22,0.538
2D vs. 3D Change Detection Using Aerial Imagery to Support Crisis Management of Large-Scale Events,topic  28,0.066
2D vs. 3D Change Detection Using Aerial Imagery to Support Crisis Management of Large-Scale Events,topic  39,0.298
2D vs. 3D Change Detection Using Aerial Imagery to Support Crisis Management of Large-Scale Events,topic  49,0.07
"3D ground-use optimisation for sustainable urban development planning: A case-study from Earls Court, London, UK",topic  16,0.084
"3D ground-use optimisation for sustainable urban development planning: A case-study from Earls Court, London, UK",topic  37,0.895
4D-Var Inversion of European NH<sub>3</sub> Emissions Using CrIS NH<sub>3</sub> Measurements and GEOS-Chem Adjoint With Bi-Directional and Uni-Directional Flux Schemes,topic  7,0.996
<i>GOES</i>-<i>16</i> Observations of Blowing Snow in Horizontal Convective Rolls on 24 February 2019,topic  7,0.464
<i>GOES</i>-<i>16</i> Observations of Blowing Snow in Horizontal Convective Rolls on 24 February 2019,topic  20,0.102
<i>GOES</i>-<i>16</i> Observations of Blowing Snow in Horizontal Convective Rolls on 24 February 2019,topic  29,0.271
<i>GOES</i>-<i>16</i> Observations of Blowing Snow in Horizontal Convective Rolls on 24 February 2019,topic  39,0.079
<i>GOES</i>-<i>16</i> Observations of Blowing Snow in Horizontal Convective Rolls on 24 February 2019,topic  49,0.078
<i>Larus relictus</i> HABITAT HIERARCHICAL EVALUATION BASED ON A DATA DRIVEN APPROACH,topic  11,0.106
<i>Larus relictus</i> HABITAT HIERARCHICAL EVALUATION BASED ON A DATA DRIVEN APPROACH,topic  19,0.123
<i>Larus relictus</i> HABITAT HIERARCHICAL EVALUATION BASED ON A DATA DRIVEN APPROACH,topic  21,0.187
<i>Larus relictus</i> HABITAT HIERARCHICAL EVALUATION BASED ON A DATA DRIVEN APPROACH,topic  24,0.078
<i>Larus relictus</i> HABITAT HIERARCHICAL EVALUATION BASED ON A DATA DRIVEN APPROACH,topic  25,0.073
<i>Larus relictus</i> HABITAT HIERARCHICAL EVALUATION BASED ON A DATA DRIVEN APPROACH,topic  26,0.379
"<i>Prosopis juliflora</i> management and grassland restoration in Baringo County, Kenya: Opportunities for soil carbon sequestration and local livelihoods",topic  6,0.259
"<i>Prosopis juliflora</i> management and grassland restoration in Baringo County, Kenya: Opportunities for soil carbon sequestration and local livelihoods",topic  21,0.111
"<i>Prosopis juliflora</i> management and grassland restoration in Baringo County, Kenya: Opportunities for soil carbon sequestration and local livelihoods",topic  30,0.283
"<i>Prosopis juliflora</i> management and grassland restoration in Baringo County, Kenya: Opportunities for soil carbon sequestration and local livelihoods",topic  48,0.093
"<i>Prosopis juliflora</i> management and grassland restoration in Baringo County, Kenya: Opportunities for soil carbon sequestration and local livelihoods",topic  50,0.237
<i>SegOptim</i>-A new R package for optimizing object-based image analyses of high-spatial resolution remotely-sensed data,topic  13,0.858
<i>SegOptim</i>-A new R package for optimizing object-based image analyses of high-spatial resolution remotely-sensed data,topic  14,0.102
"<i>The Maari Challenge</i> OMV's Field Development Success, Offshore New Zealand",topic  9,0.962
<i>terra</i>GIS - a web GIS for delivery of digital soil maps in cotton-growing areas of Australia,topic  14,0.81
<i>terra</i>GIS - a web GIS for delivery of digital soil maps in cotton-growing areas of Australia,topic  34,0.161
A 6-year-long (2013-2018) high-resolution air quality reanalysis dataset in China based on the assimilation of surface observations from CNEMC,topic  7,0.996
A Bayesian Deep Image Prior Downscaling Approach for High-Resolution Soil Moisture Estimation,topic  10,0.275
A Bayesian Deep Image Prior Downscaling Approach for High-Resolution Soil Moisture Estimation,topic  14,0.053
A Bayesian Deep Image Prior Downscaling Approach for High-Resolution Soil Moisture Estimation,topic  28,0.305
A Bayesian Deep Image Prior Downscaling Approach for High-Resolution Soil Moisture Estimation,topic  34,0.113
A Bayesian Deep Image Prior Downscaling Approach for High-Resolution Soil Moisture Estimation,topic  49,0.229
A Bayesian game theoretic based bidding strategy for demand response aggregators in electricity markets,topic  12,0.992
A Bayesian spatial approach for predicting seagrass occurrence,topic  17,0.143
A Bayesian spatial approach for predicting seagrass occurrence,topic  26,0.555
A Bayesian spatial approach for predicting seagrass occurrence,topic  49,0.229
A COMPARISON OF DEM-BASED INDEXES FOR TARGETING THE PLACEMENT OF VEGETATIVE BUFFERS IN AGRICULTURAL WATERSHEDS,topic  24,0.708
A COMPARISON OF DEM-BASED INDEXES FOR TARGETING THE PLACEMENT OF VEGETATIVE BUFFERS IN AGRICULTURAL WATERSHEDS,topic  33,0.218
A COMPARISON OF DEM-BASED INDEXES FOR TARGETING THE PLACEMENT OF VEGETATIVE BUFFERS IN AGRICULTURAL WATERSHEDS,topic  47,0.053
A COST-BENEFIT ANALYSIS TO ACHIEVE COMMAND AND CONTROL (C2) LINK CONNECTIVITY FOR BEYOND VISUAL LINE OF SIGHT (BVLOS) OPERATIONS,topic  5,0.241
A COST-BENEFIT ANALYSIS TO ACHIEVE COMMAND AND CONTROL (C2) LINK CONNECTIVITY FOR BEYOND VISUAL LINE OF SIGHT (BVLOS) OPERATIONS,topic  18,0.623
A COST-BENEFIT ANALYSIS TO ACHIEVE COMMAND AND CONTROL (C2) LINK CONNECTIVITY FOR BEYOND VISUAL LINE OF SIGHT (BVLOS) OPERATIONS,topic  43,0.131
"A Call for an Aloft Air Quality Monitoring Network: Need, Feasibility, and Potential Value",topic  7,0.885
"A Call for an Aloft Air Quality Monitoring Network: Need, Feasibility, and Potential Value",topic  18,0.053
"A Call for an Aloft Air Quality Monitoring Network: Need, Feasibility, and Potential Value",topic  22,0.056
A Census of Fishes and Everything They Eat: How the Census of Marine Life Advanced Fisheries Science,topic  12,0.443
A Census of Fishes and Everything They Eat: How the Census of Marine Life Advanced Fisheries Science,topic  20,0.092
