topic,term,prob
topic 1,forest,0.013137651614164267
topic 1,land,0.011936217984940099
topic 1,ecological,0.009484949888542054
topic 1,cover,0.009269413311455737
topic 1,change,0.0087295751329764925
topic 1,management,0.008413222905539993
topic 1,study,0.008325376662688538
topic 1,water,0.00812144545972009
topic 1,environmental,0.007669166910980231
topic 1,urban,0.006851670224909879
topic 1,vegetation,0.006630469341518163
topic 1,river,0.006438776460925167
topic 1,soil,0.005984096859659558
topic 1,based,0.00564969888665098
topic 1,development,0.005224488087017321
topic 1,analysis,0.0050239874433923954
topic 1,results,0.004981920853007563
topic 1,quality,0.004841298943579204
topic 1,climate,0.00472648954392458
topic 1,index,0.004364641487846652
topic 1,environment,0.004169986339621025
topic 1,basin,0.004056179597880942
topic 1,model,0.0034887462892928354
topic 1,risk,0.0034024489937308157
topic 1,values,0.0033967471261546083
topic 1,increased,0.003261055723337339
topic 1,human,0.0032508380123071226
topic 1,region,0.003044087579977363
topic 1,surface,0.0030085836087619805
topic 1,emissions,0.002959857570858798
topic 1,factors,0.0029165277651841256
topic 1,sensing,0.0029109468181547863
topic 1,economic,0.0029098319929472473
topic 1,approach,0.0028203356891512406
topic 1,sustainable,0.002783954369369994
topic 1,conditions,0.002729217808201368
topic 1,level,0.002709400701999818
topic 1,production,0.0025910451163052243
topic 1,temperature,0.002582123800772929
topic 1,population,0.0024749121181180888
topic 1,low,0.0024500682359666092
topic 1,field,0.0023922491307186446
topic 1,distribution,0.002378059989708237
topic 1,social,0.0023512710612769976
topic 1,method,0.0023339924246248284
topic 1,local,0.002309454978164539
topic 1,satellite,0.002277556457127238
topic 1,ecosystem,0.002167423027254722
topic 1,landscape,0.0021517573223948086
topic 1,gis,0.002128968643536647
topic 1,impacts,0.0021153407922364343
topic 1,impact,0.002109290655589422
topic 1,forests,0.002092685851970622
topic 1,factor,0.0020867453440508357
topic 1,resolution,0.002086442691486707
topic 1,total,0.0020638721649317345
topic 1,parameters,0.002057497844636992
topic 1,future,0.002050835177876374
topic 1,maps,0.0020338350189345504
topic 1,effects,0.0020248148759220595
topic 1,paper,0.00201994680770627
topic 1,significantly,0.00200414484745743
topic 1,research,0.0019707671943478373
topic 1,growth,0.0019704172580165893
topic 1,scale,0.0019674157806587084
topic 1,national,0.0019344511003509981
topic 1,category,0.0019294992519137784
topic 1,key,0.001927729557556325
topic 1,decision,0.0018786577309418562
topic 1,expansion,0.001878041465980778
topic 1,term,0.0018701302915730437
topic 1,pollution,0.0018614432901857896
topic 1,agricultural,0.0018557947305897133
topic 1,landsat,0.0018362874671474826
topic 1,energy,0.0018361338927836881
topic 1,characteristics,0.001825001142479758
topic 1,regions,0.0017997901853099166
topic 1,images,0.001795533276309991
topic 1,understanding,0.0017941217720674604
topic 1,time,0.001779357937640438
topic 1,planning,0.0017761219102396478
topic 1,technology,0.001769697647840941
topic 1,decreased,0.0016888224685097325
topic 1,methane,0.0016699869182483283
topic 1,imagery,0.0016523275961529802
topic 1,patterns,0.001644744659678876
topic 1,grassland,0.0016333207227832505
topic 1,habitat,0.0016029768850989003
topic 1,crop,0.001571792280739896
topic 1,including,0.0015646853455826917
topic 1,remote,0.001554718084588964
topic 1,related,0.0015466801548199602
topic 1,services,0.001539171000194906
topic 1,increasing,0.001513874676854016
topic 1,monitoring,0.0014928660476081156
topic 1,precipitation,0.0014902188283382985
topic 1,difference,0.0014878207058953731
topic 1,importance,0.0014855564267376722
topic 1,source,0.0014334128996322218
topic 1,cost,0.0014280085109706212
topic 10,data,0.01500771766215487
topic 10,study,0.014209527465872972
topic 10,management,0.012636020974237537
topic 10,water,0.006842351286852725
topic 10,spatial,0.006095431481046479
topic 10,sensing,0.0057303985123744955
topic 10,model,0.005688232844060233
topic 10,based,0.005461393079932779
topic 10,environmental,0.005090982606491897
topic 10,values,0.004930521000797089
topic 10,species,0.0048982619447166045
topic 10,vegetation,0.004764133218264655
topic 10,conservation,0.004276631243122108
topic 10,research,0.004176849795703961
topic 10,soil,0.0037645534331260575
topic 10,field,0.0037260969152436126
topic 10,information,0.003678036241862309
