topic,term,prob
topic 1,datum,0.020883511419620054
topic 1,land,0.01570122250810024
topic 1,base,0.012211218818716176
topic 1,result,0.011343525849790887
topic 1,model,0.009900460731601043
topic 1,increase,0.009419803420856184
topic 1,study,0.009059978529592502
topic 1,water,0.00856215815383463
topic 1,spatial,0.00842334934311157
topic 1,environmental,0.0077490896039859695
topic 1,management,0.007514744947650022
topic 1,analysis,0.006826005270881027
topic 1,level,0.006751390726070645
topic 1,cover,0.005625656792204127
topic 1,soil,0.005572940443056945
topic 1,time,0.0054399719620678785
topic 1,information,0.0047214753736295806
topic 1,conservation,0.004337823225444963
topic 1,development,0.004280014581727815
topic 1,crop,0.004160944675721176
topic 1,potential,0.004110399973254623
topic 1,region,0.003829298712172899
topic 1,scale,0.0038004483692896103
topic 1,low,0.0035861271185420826
topic 1,approach,0.0035056410947922625
topic 1,effect,0.0033992514395246825
topic 1,control,0.0032848880350105155
topic 1,resolution,0.0032492845518291486
topic 1,technique,0.0032442526629023567
topic 1,include,0.00311949118054217
topic 1,urban,0.0030267172247392974
topic 1,type,0.0029629606331471885
topic 1,global,0.0029017176147551438
topic 1,assessment,0.0028854384876989877
topic 1,provide,0.0028731706613287686
topic 1,natural,0.0028433597185558096
topic 1,resource,0.0028379410083518917
topic 1,estimate,0.002791660185692284
topic 1,system,0.0027694737626634126
topic 1,dynamic,0.0027513762010719102
topic 1,condition,0.0027212117148442865
topic 1,national,0.002705516509506949
topic 1,population,0.002667321376178323
topic 1,project,0.002666060449185482
topic 1,ecological,0.002649243249586608
topic 1,temporal,0.0026330968681466792
topic 1,flood,0.0025736081764644696
topic 1,future,0.0025599093445381493
topic 1,value,0.0025354136736071326
topic 1,map,0.0024994404479819427
topic 1,due,0.0024637030944679762
topic 1,accuracy,0.0023891393602473742
topic 1,benefit,0.0023821024876246122
topic 1,imagery,0.0023681397289572457
topic 1,tool,0.0023650101464543316
topic 1,activity,0.0023635448784540287
topic 1,variable,0.0023057853408014564
topic 1,local,0.0022762373736898694
topic 1,decision,0.0022049619579607364
topic 1,parameter,0.002191325353968344
topic 1,human,0.00215619476512784
topic 1,city,0.0021472311445975903
topic 1,growth,0.0021086198141045966
topic 1,country,0.002091079802054907
topic 1,pollution,0.002074324433804065
topic 1,sustainable,0.0020604165287400125
topic 1,variation,0.002048468136498008
topic 1,generate,0.0020354177291332606
topic 1,impact,0.0020310568748669443
topic 1,temperature,0.0020133454366432378
topic 1,risk,0.001987329606798218
topic 1,main,0.00197503254703275
topic 1,mapping,0.0019198823731438937
topic 1,process,0.001894369096410702
topic 1,agriculture,0.001873716422645476
topic 1,monitor,0.0018529656497709435
topic 1,relate,0.0018499442574613448
topic 1,ndvi,0.0018469419609669002
