title,author,year,pdf_out,csv_out
Land Use Change and Environmental Sustainability: The Case of Lagos Metropolis,"Nwokoro, I. I. C. and Dekolo, S. O.",2011,_data/5b_sample_1000/pdf/nwokoro_2011_land_use_change_and.pdf,_data/5b_sample_1000/csv/nwokoro_2011_land_use_change_and.csv
Possibility Investigation of Tree Diversity Mapping Using Landsat Etm+ Data in the Hyrcanian Forests of Iran,"Mohammadi, J. and Shataee, S.",2010,_data/5b_sample_1000/pdf/mohammadi_2010_possibility_investigation_of_tree.pdf,_data/5b_sample_1000/csv/mohammadi_2010_possibility_investigation_of_tree.csv
Understanding the Spatio-Temporal Behaviour of the Sunflower Crop for Subfield Areas Delineation Using Sentinel-2 Ndvi Time-Series Images in an Organic Farming System,"Marino, Stefano",2023,_data/5b_sample_1000/pdf/marino_2023_understanding_the_spatio_temporal.pdf,_data/5b_sample_1000/csv/marino_2023_understanding_the_spatio_temporal.csv
Use and Benefits of Nasa's Recover for Post-Fire Decision Support,"Toombs, William and Weber, Keith and Stegner, Tesa and Schnase, John L. and Lindquist, Eric and Lippitt, Frances",2018,_data/5b_sample_1000/pdf/toombs_2018_use_and_benefits_of.pdf,_data/5b_sample_1000/csv/toombs_2018_use_and_benefits_of.csv
Deep Learning--Based Monitoring Sustainable Decision Support System for Energy Building to Smart Cities with Remote Sensing Techniques,"Yue, W. and Yu, C. and Antonidoss, A. and Anbarasan, M.",2022,_data/5b_sample_1000/pdf/yue_2022_deep_learning_based_monitoring.pdf,_data/5b_sample_1000/csv/yue_2022_deep_learning_based_monitoring.csv
Using Copernicus Sentinel-2 and Sentinel-3 Data to Monitor Harmful Algal Blooms in Southern Chile during the Covid-19 Lockdown,"Rodr{\'i}guez-Benito}, C. V. and Navarro, G. and Caballero, I.",2020,_data/5b_sample_1000/pdf/rodri_2020_using_copernicus_sentinel_2.pdf,_data/5b_sample_1000/csv/rodri_2020_using_copernicus_sentinel_2.csv
Ecological Environment Dynamic Monitoring and Driving Force Analysis of Karst World Heritage Sites Based on Remote-Sensing: A Case Study of Shibing Karst,"Zhang, Ning and Xiong, Kangning and Xiao, Hua and Zhang, Juan and Shen, Chuhong",2023,_data/5b_sample_1000/pdf/zhang_2023_ecological_environment_dynamic_monitoring.pdf,_data/5b_sample_1000/csv/zhang_2023_ecological_environment_dynamic_monitoring.csv
"Active Fire Monitoring of Thailand and Upper Asean by Earth Observation Data: Benefits, Lessons Learned, and What Still Needs to Be Known","Tanpipat, V. and McCarty, J. L. and Davies, D. and Schroeder, W. and Elvidge, C.",2023,_data/5b_sample_1000/pdf/tanpipat_2023_active_fire_monitoring_of.pdf,_data/5b_sample_1000/csv/tanpipat_2023_active_fire_monitoring_of.csv
Automatic Parameter Optimization for Support Vector Regression for Land and Sea Surface Temperature Estimation from Remote Sensing Data,"Moser, Gabriele and Serpico, Sebastiano B.",2009,_data/5b_sample_1000/pdf/moser_2009_automatic_parameter_optimization_for.pdf,_data/5b_sample_1000/csv/moser_2009_automatic_parameter_optimization_for.csv
Can Remote Sensing Fill the United States' Monitoring Gap for Watershed Management?,"Sridharan, Vamsi Krishna and Kumar, Saurav and Kumar, Swetha Madhur",2022,_data/5b_sample_1000/pdf/sridharan_2022_can_remote_sensing_fill.pdf,_data/5b_sample_1000/csv/sridharan_2022_can_remote_sensing_fill.csv
Application of High-Resolution Stereo Satellite Images to Detailed Landslide Hazard Assessment,"Nichol, J. E. and Shaker, A. and Wong, M. S.",2006,_data/5b_sample_1000/pdf/nichol_2006_application_of_high_resolution.pdf,_data/5b_sample_1000/csv/nichol_2006_application_of_high_resolution.csv
The Role of Satellite and Decentralized Strategies in Water Resources Management,"Gikas, Petros and Tchobanoglous, George",2009,_data/5b_sample_1000/pdf/gikas_2009_the_role_of_satellite.pdf,_data/5b_sample_1000/csv/gikas_2009_the_role_of_satellite.csv
Where Have All the People Gone? Enhancing Global Conservation Using Night Lights and Social Media,"Levin, Noam and Kark, Salit and Crandall, David",2015,_data/5b_sample_1000/pdf/levin_2015_where_have_all_the.pdf,_data/5b_sample_1000/csv/levin_2015_where_have_all_the.csv
Big Data Technology Oriented to Wetland Resource Ecosystem Value Evaluation,"Fan, L.",2022,_data/5b_sample_1000/pdf/fan_2022_big_data_technology_oriented.pdf,_data/5b_sample_1000/csv/fan_2022_big_data_technology_oriented.csv
Satellite Sensors and Retrieval Algorithms of Atmospheric Methane,"Zhuo, He and Zhengqiang, Li and Cheng, Fan and Ying, Zhang and Zheng, Shi and Yang, Zheng and Haoran, Gu and Jinji, Ma and Jinhui, Zuo and Yinghui, Han and Yuanxun, Zhang and Kai, Qin and Hao, Zhang and Wenbin, Xu and Jun, Zhu",2023,_data/5b_sample_1000/pdf/zhuo_2023_satellite_sensors_and_retrieval.pdf,_data/5b_sample_1000/csv/zhuo_2023_satellite_sensors_and_retrieval.csv
Revisiting the Environmental Kuznets Curve for City-Level Co2 Emissions: Based on Corrected Npp-Viirs Nighttime Light Data in China,"Chen, Hongxing and Zhang, Xiaoling and Wu, Rongwei and Cai, Tianyi",2020,_data/5b_sample_1000/pdf/chen_2020_revisiting_the_environmental_kuznets.pdf,_data/5b_sample_1000/csv/chen_2020_revisiting_the_environmental_kuznets.csv
The Role of Remote Sensing Data and Methods in a Modern Approach to Fertilization in Precision Agriculture,"Rado{\v c}aj, D. and Juri{\v s}i{\'c}, M. and Ga{\v s}parovi{\'c}, M.",2022,_data/5b_sample_1000/pdf/radovc_2022_the_role_of_remote.pdf,_data/5b_sample_1000/csv/radovc_2022_the_role_of_remote.csv
Portability of Semantic and Spatial-Temporal Machine Learning Methods to Analyse Social Media for near-Real-Time Disaster Monitoring,"Havas, Clemens and Resch, Bernd",2021,_data/5b_sample_1000/pdf/havas_2021_portability_of_semantic_and.pdf,_data/5b_sample_1000/csv/havas_2021_portability_of_semantic_and.csv
Global Multi-Scale Grid Integer Coding and Spatial Indexing: A Novel Approach for Big Earth Observation Data,"Lei, Yi and Tong, Xiaochong and Zhang, Yongsheng and Qiu, Chunping and Wu, Xiangyu and Lai, Guangling and Li, He and Guo, Congzhou and Zhang, Yong",2020,_data/5b_sample_1000/pdf/lei_2020_global_multi_scale_grid.pdf,_data/5b_sample_1000/csv/lei_2020_global_multi_scale_grid.csv
