title,author,year,key,n_tokens,summary,error,pass,screening_decision,reason_for_exclusion,quick_notes,econ_method,societal_benefit,value_units,eo_data,applied_science_theme,notes
"Modelling and Evaluation of Land Use Changes through Satellite Images in a Multifunctional Catchment: Social, Economic and Environmental Implications","Acuna-Alonso}, Carolina and Novo, Ana and Luis Rodriguez, Juan and Varandas, Simone and Alvarez, Xana",2022,acunaalonso_modellingevaluationlandsatellite_2022,20041,"The paper employs a multifaceted approach to estimate societal benefits from satellite or Earth Observation data, specifically focusing on land use changes and flood risk management in the Umia River basin, Spain. The methodology integrates Sentinel-2 satellite imagery for land cover classification, using a Random Forest algorithm for accuracy assessment. The study analyzes changes in land cover from 2016 to 2021, identifying increases in tree cover and decreases in riparian vegetation.     Hydrological modeling is conducted using the Hydrologic Engineering Center's Hydrologic Modeling System (HEC-HMS) to simulate flood events and assess flood risk under various land use scenarios, including afforestation. The study evaluates the economic, environmental, and social implications of these scenarios through cost-benefit analysis (CBA), revealing positive net present values for afforestation initiatives.     The findings underscore the utility of satellite data in informing land management decisions, emphasizing that upstream afforestation can significantly mitigate flood risks while providing substantial ecological benefits, such as improved water quality and biodiversity. The study advocates for the integration of satellite-derived insights into flood risk governance and management strategies.",NA,1,exclude,data not valued,"scenarios of hydrological model - current, afforestation, and nature-based solutions - but not specifically tied to satellite data",,,,,,
Landscape Disturbance Gradients: The Importance of the Type of Scene When Evaluating Landscape Preferences and Perceptions,"Altamirano, Adison and {Gonzalez-Suhr}, Carolina and Marien, Caroline and Catalan, German and Miranda, Alejandro and Prado, Marco and Tits, Laurent and Vieli, Lorena and Meli, Paula",2020,altamirano_landscapedisturbancegradientsimportance_2020,26452,"The paper employs a mixed-methods approach to assess landscape preferences and perceptions in the La Araucan√≠a region of Chile, utilizing both eye-level and aerial images. The authors conducted a survey with a non-probabilistic sample of adults who evaluated 24 landscape images (12 eye-level and 12 aerial) across four different landscapes. Respondents rated their preferences for living, visiting, scenic beauty, well-being, perceived risk, and disturbance degree using a seven-point Likert scale.    To analyze the data, the study applied two-way ANOVA to compare perceptions based on image type and landscape. It also explored correlations between landscape disturbance gradients and preference measures, utilizing empirical indicators such as land cover type proportions. The results highlighted that preferences differed significantly based on the image type, with eye-level images yielding higher preference scores than aerial images. This difference in perception was linked to the visibility of landscape features, suggesting that the type of scene significantly influences how societal benefits of landscapes are understood and valued. The findings emphasize the importance of considering image presentation in landscape assessment and urban planning to capture diverse public perceptions effectively.",NA,1,include,,"eye level or aerial images to show types of scenes in landscape preference studies - with participants responding Likert style to ìI like this place for livingî, ìI like this place for visitingî, ìThis place is niceî, ìThis place makes me feel goodî, ìThis place makes me feel at riskî, and ìThis place is naturalî.",likert survey,preference,preference,Google Earth imagery,,"very cool, Rachelle would probably be interested"
"The Gavkhouni Wetland Dryness and Its Impact on Air Temperature Variability in the Eastern Part of the Zayandeh-Rud River Basin, Iran","Azadi, S. and Yazdanpanah, H. and {Nasr-Esfahani}, M. A. and Pourmanafi, S. and Dorigo, W.",2022,azadi_gavkhouniwetlanddrynessimpact_2022,14259,"The paper employs a combination of remote sensing techniques and in-situ data to quantify the societal benefits associated with the Gavkhouni wetland and its climatic impacts. Key methods include the use of satellite-derived indices such as the Normalized Difference Water Index (NDWI) and Normalized Difference Vegetation Index (NDVI) to assess water presence and vegetation cover trends from 1984 to 2020. Landsat imagery is analyzed to calculate Land Surface Temperature (LST), which serves as a proxy for assessing thermal variations over time.    The researchers conducted linear regression analyses between observed air temperature and LST to evaluate temperature variability in relation to wetland dryness. They utilized the Mann-Kendall test for trend analysis of temperature data over various decades, revealing significant increases in air temperatures correlating with wetland desiccation.    Additionally, the study underscores the importance of these methods for effective water allocation and management decisions, highlighting the ecological and economic significance of the wetland. The findings suggest that remote sensing tools can play a crucial role in understanding and mitigating the impacts of climate change on local ecosystems.",NA,1,exclude,data not valued,,,,,,,
Predicting Breeding Habitat for Amphibians: A Spatiotemporal Analysis across Yellowstone National Park,"Bartelt, Paul E. and Gallant, Alisa L. and Klaver, Robert W. and Wright, Chris K. and Patla, Debra A. and Peterson, Charles R.",2011,bartelt_predictingbreedinghabitatamphibians_2011,17613,"The study developed geospatial models to predict amphibian breeding habitats in Yellowstone National Park using a combination of field data and remotely sensed data. Researchers employed three modeling approaches: (1) field survey data only, (2) a hybrid of field data and geospatial variables, and (3) geospatial data exclusively. The models were built using polytomous regression, which categorized the response variable into three levels: present and breeding, present but not breeding, and not detected.    Key predictors included environmental variables derived from digital elevation models, land cover types, and wetland probabilities. Model performance was assessed using Receiver Operating Characteristic (ROC) scores, indicating that the hybrid models (field plus GIS data) provided the best explanations for breeding habitat, with ROC values ranging from 0.70 to 0.88. The study produced maps identifying 'core' breeding areas based on multiyear data, which can inform conservation efforts and land management decisions. Overall, the integration of remote sensing and field data allowed for comprehensive modeling of amphibian habitats across a large landscape, providing insights into spatial and temporal habitat variability.",NA,1,exclude,data not valued,"compares models based on field survey data, geospatial models, and combined - but the geospatial models are not strictly tied to ESIÖ also, results highlight areas for potential conservation but not translated into conservation benefit",,,,,,
Evaluating Performance of Community-Based Irrigation Schemes Using Remote-Sensing Technologies to Enhance Sustainable Irrigation Water Management,"Bashe, Tsigemariam and Alamirew, Tena and Dejen, Zeleke Agide",2023,bashe_evaluatingperformancecommunitybased_2023,10737,"The paper assesses the performance of the Koga irrigation scheme in Ethiopia using remote-sensing technologies, specifically Landsat 8 images and the Surface Energy Balance Algorithm for Land (SEBAL) to estimate actual evapotranspiration (ETA). The study employs the FAO-Penman-Monteith method to calculate crop water requirements (ETC) for performance evaluation. Key metrics include Relative Irrigation Supply (RIS), Depletion Fraction (DF), and Relative Evapotranspiration Deficit (RETdeficit). RIS quantifies the ratio of irrigation water supply to crop demand, while DF indicates the efficiency of water use. Temporal and spatial variations in these metrics were analyzed to identify discrepancies between actual and required irrigation.    The research highlights the potential of remote sensing in managing water resources by providing accurate and timely data, which is essential for improving irrigation management and sustainability. The findings indicate that water application often exceeds demand, leading to inefficiencies, and that better coordination among users is necessary for enhancing water productivity and food security. The study ultimately emphasizes the need for improved water management strategies based on reliable data to address the challenges of irrigation performance in community-managed schemes.",NA,1,exclude,calibration/validation,,,,,,,
Do Big Unstructured Biodiversity Data Mean More Knowledge?,"Bayraktarov, Elisa and Ehmke, Glenn and O'Connor, James and Burns, Emma L. and Nguyen, Hoang A. and McRae, Louise and Possingham, Hugh P. and Lindenmayer, David B.",2019,bayraktarov_unstructuredbiodiversitydataknowledge_2019,5987,"The paper by Bayraktarov et al. (2019) discusses the societal benefits of satellite and Earth Observation data within the context of biodiversity conservation, emphasizing the need for robust species population monitoring. The authors argue that while ""big unstructured data"" from sources like remote sensing and citizen science offer extensive datasets, their effectiveness in tracking species trends has not been rigorously validated against high-quality structured datasets. The methodology includes a comparative analysis of structured monitoring data (e.g., Living Planet Index) versus unstructured data (e.g., Global Biodiversity Information Facility) to highlight discrepancies in data quality and their implications for conservation outcomes. The authors propose a research agenda focused on benchmarking big unstructured data against established long-term monitoring frameworks, advocating for the maintenance of high-quality datasets to ensure sound decision-making in conservation policies. They emphasize the importance of data curation, consistent methodologies, and long-term funding to avoid the ""data trap,"" where the quantity of data may overshadow its quality and thus misguide conservation efforts. Overall, the paper presents a critical evaluation of how Earth Observation data can be effectively utilized to enhance biodiversity knowledge and inform environmental management.",NA,1,exclude,data not valued,"interesting points, but conceptual",,,,,,
Image to Attribute Model for Trees (Itam-t): Individual Tree Detection and Classification in Alberta Boreal Forest for Wildland Fire Fuel Characterization,"Bennett, L. and Wilson, B. and Selland, S. and Qian, L. and Wood, M. and Zhao, H. and Boisvert, J.",2022,bennett_imageattributemodeltrees_2022,15996,"The paper presents a two-stage method for estimating societal benefits of satellite and UAV-derived Earth Observation data, specifically in the context of wildfire fuel characterization. The methodology employs a convolutional neural network (CNN) architecture, specifically a variant of DeepForest and VGG19, to detect and classify individual trees from high-resolution RGB drone imagery (1.8 cm/pixel) in Alberta's boreal forests.    The first stage utilizes the DeepForest framework for tree detection, which includes adaptive window sizing to optimize bounding box dimensions for varying tree sizes, achieving F1 scores of up to 85% in tree detection. The second stage involves classifying detected trees as either coniferous or deciduous, yielding average F1 scores of 72% for coniferous and 57% for deciduous trees.    The societal benefits are quantified by extracting tree attributes such as height, size, and stem density from the detection outputs. These metrics are then compared to manual measurements, yielding a strong correlation (average R¬≤ of 0.90). The model's outputs can support wildfire management by enabling accurate proximity-based hazard assessments and facilitating efficient resource allocation for fire prevention efforts, thus enhancing community resilience against wildfires.",NA,1,exclude,calibration/validation,"""The results indicate a potential extension to low-cost decision support in enterprise and fire-related applications"" but don't actually do this",,,,,,
Avhrr Data for Real-Time Operational Flood Forecasting in Malaysia,"Billa, L. and Mansor, S. and Mahmud, A. R. and Ghazali, A. H.",2005,billa_avhrrdatarealtime_2005,4767,"The paper employs NOAA AVHRR satellite data to enhance real-time flood forecasting in Malaysia, particularly during the monsoon season. The methodology focuses on processing multi-spectral satellite imagery to classify cloud types and estimate rainfall intensity. Key techniques include cloud indexing and pattern recognition, which assign rainfall rates to identified cloud types based on their brightness and temperature. Cold clouds with temperatures below 235 K are identified as likely to produce precipitation, with an estimated rain rate of 3 mm/h.    The algorithm integrates various processing steps: radiometric calibration, atmospheric correction, and cloud detection. It classifies cloud cover using visible (VIS) and infrared (IR) channels to derive cloud base heights and determine precipitation potential. The study emphasizes the need for timely meteorological inputs to improve the effectiveness of flood forecasting systems, demonstrating the utility of satellite data in providing critical early warning information. The findings highlight the broader societal benefits of using satellite-derived data for disaster risk reduction, potentially mitigating economic losses and enhancing emergency response capabilities in flood-prone regions.",NA,1,exclude,calibration/validation,,,,,,,
Index-Based Insurance for Climate Risk Management and Rural Development in Syria,"Bobojonov, Ihtiyor and {Aw-Hassan}, Aden and Sommer, Rolf",2014,bobojonov_indexbasedinsuranceclimate_2014,9924,"The paper by Bobojonov et al. (2014) employs three distinct methodologies to estimate the societal benefits of index-based insurance schemes for climate risk management in Syria. The first method utilizes a statistical approach, analyzing historical yield data alongside weather data to establish correlations between agricultural output and climatic variables. The authors apply a log-linear trend model to de-trend yield data and identify significant hydro-meteorological indices for insurance design.    The second method involves an agro-meteorological index that combines rainfall data with crop evapotranspiration estimates to create a rainfall deficit index. This index quantifies the impact of rainfall variability on crop yields, facilitating the assessment of risk reduction potential.    The third method leverages remote sensing data, specifically the Normalized Difference Vegetation Index (NDVI), to gauge vegetation health and predict yields. The study demonstrates that all three indices‚Äîstatistical, agro-meteorological, and NDVI-based‚Äîoffer substantial potential for risk management and income stabilization for farmers, thereby contributing to rural development and food security. The findings suggest that index-based insurance can enhance farmers' access to credit and encourage investment in agricultural production amid increasing climate risks.",NA,1,include,,borderline - NDVI vs rainfall deficit index data to predict risk for insurance,insurance to cover revenue losses,insurance to cover revenue losses,Syrian pounds,Modis NDVI,agriculture,borderline - NDVI vs rainfall deficit index data to predict risk for insurance
Mapping a Specific Class for Priority Habitats Monitoring from Satellite Sensor Data,"Boyd, Doreen S. and {Sanchez-Hernandez}, Carolina and Foody, Giles M.",2006,boyd_mappingspecificclasspriority_2006,9319,"The paper by Boyd et al. (2006) investigates the societal benefits of using satellite imagery to monitor specific priority habitats, particularly fenlands, under the EU's habitats directive. The authors employ several classification techniques to map habitats from Landsat ETM+ imagery, focusing on binary classification methods that separate the habitat of interest from all others.    The study compares traditional maximum likelihood classification (MLC) with decision tree (DT) and support vector machine (SVM) classifiers. The methodology emphasizes the efficiency of binary classification, which requires smaller training datasets and reduces resource waste associated with exhaustively defining all possible classes. The classifiers used include a standard MLC benchmark, a binary discriminant analysis, and the aforementioned DT and SVM methods.    The results demonstrate that both DT and SVM classifiers significantly outperform the traditional MLC in terms of accuracy‚Äîachieving overall accuracies of 91.6% and 93.6%, respectively. Notably, the producer‚Äôs accuracy for fen classification is highlighted as particularly important for conservation efforts, thereby illustrating the potential of remote sensing technologies to provide targeted information for habitat management and monitoring. This work underlines the importance of efficient data use in supporting biodiversity conservation initiatives.",NA,1,exclude,calibration/validation,"""The results highlight the ability to focus the analysis on the class of interest in a manner that is less wasteful of resources and effort and that yields a more accurate classification than the standard approach"" - but leaves as concetual/potential",,,,,,
Integrating Field and Satellite Data for Spatially Explicit Inference on the Density of Threatened Arboreal Primates,"Cavada, Nathalie and Ciolli, Marco and Rocchini, Duccio and Barelli, Claudia and Marshall, Andrew R. and Rovero, Francesco",2017,cavada_integratingfieldsatellitedata_2017,9263,"The paper by Cavada et al. (2017) employs a combination of field and satellite data to estimate the density of endangered arboreal primates in tropical forests. The authors first calibrated remote-sensing imagery from Landsat 8 with ground measurements of tree basal area, a critical predictor for primate density, using generalized linear models (GLM). They analyzed 9.8-ha ground samples of tree basal area against various metrics extracted from the Landsat imagery, including vegetation indices.    The study developed an empirical model to relate the measured basal area to satellite-derived metrics, validating the model‚Äôs accuracy through bootstrapping and comparing predicted values to observed field data. They then derived spatially explicit predictions of primate density based on the best-performing model, which integrated environmental variables such as elevation and distance from disturbance. The results demonstrated the utility of remote sensing in producing reliable estimates of species abundance, particularly in complex and heterogeneous habitats, thereby informing conservation strategies for threatened species. This approach highlights the potential societal benefits of satellite data in enhancing ecological research and conservation planning, particularly in regions where field data is scarce.",NA,1,exclude,calibration/validation,"""We have confirmed that the use of remote sensing represents a robust tool to improve model performance and to reduce the costs of data collection"" but they don't measure those reduced costs",,,,,,
